classifier,target_class,n_pos,n_neg,family,a,b,c,T,eps,status,skip_reason,n_reliability_bins_used,identity_vetoed,identity_veto_reason
PLM_Domains,TPS,1256,10118,temperature,,,,0.17496690060629816,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,IDS,181,11193,temperature,,,,0.34288842757399046,1e-06,fit,,10,True,raw-score reliability has 9 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,FPP,597,10777,logit_platt,2.0278563047859017,-1.1884047199940366,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,GPP,298,11076,logit_platt,1.6839350709856695,-1.1203435612647814,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,GGPP,230,11144,temperature,,,,0.4158961572172674,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,EDSQ,88,11286,temperature,,,,0.6626083646654162,1e-06,fit_caveat,"n_pos=88 in [50, 100); calibration fitted with caveat",5,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=5)
PLM_Domains,CPP,94,11280,temperature,,,,0.6008492522280915,1e-06,fit_caveat,"n_pos=94 in [50, 100); calibration fitted with caveat",6,True,raw-score reliability has 7 bin(s) outside Wilson 95% CI (n_bins_eff=6)
PLM_Domains,GFPP,61,11313,temperature,,,,0.6382436088881311,1e-06,fit_caveat,"n_pos=61 in [50, 100); calibration fitted with caveat",4,True,raw-score reliability has 4 bin(s) outside Wilson 95% CI (n_bins_eff=4)
PLM,TPS,1256,10118,temperature,,,,0.18034291949578024,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,IDS,181,11193,logit_platt,4.014447659048174,3.93917397280833,,,1e-06,fit,,10,True,raw-score reliability has 9 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,FPP,597,10777,logit_platt,2.2080817755138913,-0.9026926883702253,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,GPP,298,11076,logit_platt,1.690644934516175,-0.8184177084422727,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,GGPP,230,11144,temperature,,,,0.42146483468798446,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,EDSQ,88,11286,temperature,,,,0.5900121238970734,1e-06,fit_caveat,"n_pos=88 in [50, 100); calibration fitted with caveat",5,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=5)
PLM,CPP,94,11280,temperature,,,,0.5751897272608736,1e-06,fit_caveat,"n_pos=94 in [50, 100); calibration fitted with caveat",6,True,raw-score reliability has 7 bin(s) outside Wilson 95% CI (n_bins_eff=6)
PLM,GFPP,61,11313,temperature,,,,0.6057195336651411,1e-06,fit_caveat,"n_pos=61 in [50, 100); calibration fitted with caveat",4,True,raw-score reliability has 4 bin(s) outside Wilson 95% CI (n_bins_eff=4)
