classifier,class,tier,target_type,target_value,lower_bound,achieved_precision,recall,n_above_lower,reachable
PLM_Domains,TPS,Ultra-High Confidence,precision,0.9999,0.87,1.0,0.982484076433121,1234,True
PLM_Domains,TPS,Very High Confidence,precision,0.99,0.5525,0.9904534606205251,0.9912420382165605,1257,True
PLM_Domains,TPS,High Confidence,precision,0.95,0.18,0.95,0.9984076433121019,1320,True
PLM_Domains,TPS,Mid Confidence,precision,0.8,0.05,0.8005098789037604,1.0,1569,True
PLM_Domains,TPS,Low Confidence,precision,0.5,0.015479876160990712,0.542548596112311,1.0,2315,True
PLM_Domains,TPS,Very Low Confidence,recall,1.0,0.115,0.9062049062049062,1.0,1386,True
PLM_Domains,IDS,Very High Confidence,precision,0.99,0.89,0.9917355371900827,0.6629834254143646,121,True
PLM_Domains,IDS,High Confidence,precision,0.95,0.39,0.9518716577540107,0.9834254143646409,187,True
PLM_Domains,IDS,Mid Confidence,precision,0.8,0.0625,0.8044444444444444,1.0,225,True
PLM_Domains,IDS,Low Confidence,precision,0.5,0.011111111111111112,0.5156695156695157,1.0,351,True
PLM_Domains,IDS,Very Low Confidence,recall,1.0,0.16,0.9476439790575916,1.0,191,True
PLM_Domains,FPP,Very High Confidence,precision,0.99,0.8527777777777777,0.9913294797687862,0.5745393634840871,346,True
PLM_Domains,FPP,High Confidence,precision,0.95,0.7525,0.9502369668246445,0.6716917922948074,422,True
PLM_Domains,FPP,Mid Confidence,precision,0.8,0.535,0.8006042296072508,0.8877721943048577,662,True
PLM_Domains,FPP,Low Confidence,precision,0.5,0.0325,0.5004191114836547,1.0,1193,True
PLM_Domains,FPP,Very Low Confidence,recall,1.0,0.065,0.5669515669515669,1.0,1053,True
PLM_Domains,GPP,Very High Confidence,precision,0.99,0.9071207430340558,1.0,0.053691275167785234,16,True
PLM_Domains,GPP,High Confidence,precision,0.95,0.7972222222222223,0.9506172839506173,0.25838926174496646,81,True
PLM_Domains,GPP,Mid Confidence,precision,0.8,0.365,0.8031088082901554,0.5201342281879194,193,True
PLM_Domains,GPP,Low Confidence,precision,0.5,0.17027863777089783,0.5030800821355236,0.8221476510067114,487,True
PLM_Domains,GPP,Very Low Confidence,recall,1.0,0.0175,0.2514767932489452,1.0,1185,True
PLM_Domains,GGPP,Very High Confidence,precision,0.99,0.9575,1.0,0.0782608695652174,18,True
PLM_Domains,GGPP,High Confidence,precision,0.95,0.6725,0.96,0.3130434782608696,75,True
PLM_Domains,GGPP,Mid Confidence,precision,0.8,0.51,0.8013245033112583,0.5260869565217391,151,True
PLM_Domains,GGPP,Low Confidence,precision,0.5,0.2075,0.5,0.9130434782608695,420,True
PLM_Domains,GGPP,Very Low Confidence,recall,1.0,0.02476780185758514,0.18744906275468623,1.0,1227,True
PLM_Domains,EDSQ,Very High Confidence,precision,0.99,0.9972222222222222,1.0,0.25,22,True
PLM_Domains,EDSQ,High Confidence,precision,0.95,0.3138888888888889,0.9560439560439561,0.9886363636363636,91,True
PLM_Domains,EDSQ,Mid Confidence,precision,0.8,0.01,0.8,1.0,110,True
PLM_Domains,EDSQ,Low Confidence,precision,0.5,0.0030959752321981426,0.55,1.0,160,True
PLM_Domains,EDSQ,Very Low Confidence,recall,1.0,0.1925,0.946236559139785,1.0,93,True
