leaf_id,source,uniprot,kingdom,marts_id
marts_E00000,martsdb,W6HUT3,Plants,marts_E00000
marts_E00001,martsdb,,Animals,marts_E00001
marts_E00002,martsdb,X5AIS9,Plants,marts_E00002
marts_E00003,martsdb,X5AHD9,Plants,marts_E00003
marts_E00004,martsdb,X5A4D6,Plants,marts_E00004
marts_E00005,martsdb,X5A2Z7,Plants,marts_E00005
marts_E00006,martsdb,X4ZWN5,Plants,marts_E00006
marts_E00007,martsdb,A0A6P6W6H5,Plants,marts_E00007
marts_E00008,martsdb,,Bacteria,marts_E00008
marts_E00009,martsdb,,Bacteria,marts_E00009
marts_E00010,martsdb,,Fungi,marts_E00010
marts_E00012,martsdb,,Animals,marts_E00012
marts_E00013,martsdb,,Animals,marts_E00013
marts_E00014,martsdb,,Animals,marts_E00014
marts_E00015,martsdb,,Animals,marts_E00015
marts_E00016,martsdb,W8QMF8,Plants,marts_E00016
marts_E00017,martsdb,W8QEG7,Plants,marts_E00017
marts_E00018,martsdb,W8NXF3,Plants,marts_E00018
marts_E00019,martsdb,W6QAE7,Fungi,marts_E00019
marts_E00020,martsdb,W6Q4Q9,Fungi,marts_E00020
marts_E00021,martsdb,W4JX79,Fungi,marts_E00021
marts_E00022,martsdb,W0FFD7,Plants,marts_E00022
marts_E00024,martsdb,UTU07507,Plants,marts_E00024
marts_E00025,martsdb,UTU07506,Plants,marts_E00025
marts_E00026,martsdb,,Animals,marts_E00026
marts_E00027,martsdb,,Animals,marts_E00027
marts_E00029,martsdb,U5PZT6,Plants,marts_E00029
marts_E00030,martsdb,U5N1F1,Plants,marts_E00030
marts_E00031,martsdb,U5N0S4,Plants,marts_E00031
marts_E00032,martsdb,U3LW50,Plants,marts_E00032
marts_E00033,martsdb,U3LVZ7,Plants,marts_E00033
marts_E00034,martsdb,U3LVL5,Plants,marts_E00034
marts_E00035,martsdb,U3KYL2,Plants,marts_E00035
marts_E00036,martsdb,,Plants,marts_E00036
marts_E00037,martsdb,,Plants,marts_E00037
marts_E00038,martsdb,,Plants,marts_E00038
marts_E00039,martsdb,,Animals,marts_E00039
marts_E00040,martsdb,,Animals,marts_E00040
