Enzyme_marts_ID,Type,SMILES_substrate_canonical_no_stereo,RHEA_ID,MASTER_ID,ID
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,32547,32547,4.2.3.110
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25508,25508,4.2.3.109
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,32575,32575,4.2.3.121
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25488,25488,4.2.3.119
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25496,25496,4.2.3.120
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,32579,32579,4.2.3.122
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,32563,32563,4.2.3.115
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25492,25492,4.2.3.52
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,27830,27830,4.2.3.51
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,32559,32559,4.2.3.114
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25500,25500,4.2.3.113
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,16965,16965,4.2.3.15
marts_E00001,sesq,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,31815,31815,4.2.3.89
marts_E00001,sesq,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,34703,34703,4.2.3.137
marts_E00001,sesq,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,28294,28294,4.2.3.57
marts_E00001,sesq,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,54056,54056,4.2.3.174
marts_E00001,sesq,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,54060,54060,4.2.3.187
marts_E00002,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,14841,14841,5.5.1.13
marts_E00002,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,24316,24316,5.5.1.12
marts_E00002,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25524,25524,5.5.1.14
marts_E00003,di,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,33983,33983,4.2.3.131
marts_E00004,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,14841,14841,5.5.1.13
marts_E00004,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,24316,24316,5.5.1.12
marts_E00004,di,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,25524,25524,5.5.1.14
marts_E00005,di,CC1(C)CCCC2(C)C1CCC(C)(O)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,18721,18721,4.2.3.186
marts_E00005,di,CC1(C)CCCC2(C)C1CCC(C)(O)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,54516,54516,4.2.3.190
