Enzyme_marts_ID,Type,SMILES_substrate_canonical_no_stereo,SMILES_product_canonical_no_stereo,canonical_substrates_no_stereo,canonical_products_no_stereo,rhea_ids
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)C12CCC(=C)C1C2,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)C12CCC(=C)C1C2'],"{68637, 32548, 25509}"
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)C12CC=C(C)C1C2,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)C12CC=C(C)C1C2'],{68645}
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1=CCC2CC1C2(C)C,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC1=CCC2CC1C2(C)C'],"{32576, 25489, 25663}"
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1(C)C2CC1CCC2=C,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC1(C)C2CC1CCC2=C'],"{25497, 25667, 32580}"
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)C1CC=C(C)C=C1,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)C1CC=C(C)C=C1'],set()
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1CCC(=CC=1)C(C)C,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC1CCC(=CC=1)C(C)C'],{32564}
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)C1CCC(=C)C=C1,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)C1CCC(=C)C=C1'],"{25505, 25493, 27831}"
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1CC=C(CC=1)C(C)C,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC1CC=C(CC=1)C(C)C'],{32560}
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=C1CC=C(C)CC1,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)=C1CC=C(C)CC1'],{25501}
marts_E00000,mono,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(=C)C=C,['CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O'],['CC(C)=CCCC(=C)C=C'],{16966}
