clade_id,auto_label,final_label,representative,n,mean_intra_tm,mean_inter_tm,top_kingdom,top_kingdom_frac,top_reaction_label,top_reaction_label_frac,reaction_label_perplexity,transitional_frac,bootstrap_support,is_unassigned
dtc_1,alpha1,alpha1D,marts_E01427_alpha_0,713,0.8988411297975035,0.4630711222936559,Plants,0.9957924263674615,sesq Class 1,0.44485294117647056,3.5898812826496322,0.008415147265077139,0.89,False
dtc_2,beta1,beta,marts_E00620_beta_0,708,0.8959173582693967,0.35839213071897624,Plants,1.0,sesq Class 1,0.445679012345679,3.5798194880808185,0.0,1.0,False
dtc_3,alpha2,alpha1F,marts_E01496_alpha_0,265,0.8748866523394443,0.5223171228586196,Bacteria,0.44528301886792454,sesq Class 1,0.6354515050167224,2.568679039291137,0.07924528301886792,0.98,False
dtc_4,gamma1,gamma,marts_E00641_gamma_0,172,0.8797966952058786,0.40719886530222016,Plants,0.8895348837209303,di Class 1,0.45588235294117646,2.8588026469575984,0.0,1.0,False
dtc_5,alpha3,alpha2C,marts_E00019_ids_0,145,0.8888156704922008,0.47666588292260337,Fungi,0.7379310344827587,pt,0.6181818181818182,3.1368254817556127,0.2206896551724138,0.76,False
dtc_6,delta1,delta2,marts_E00531_delta_0,96,0.9549116447069361,0.4228047989986716,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_7,epsilon1,epsilon,marts_E00407_epsilon_0,96,0.9397439692319878,0.3403500009181097,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_8,alpha4,alpha1B,marts_E01211_alpha_0,64,0.8658602182270746,0.5154625151835113,Fungi,1.0,pt,0.4732824427480916,3.1628307451364046,0.0,0.99,False
dtc_9,alpha5,alpha2B,marts_E00574_ids_0,46,0.9027634782203308,0.4921882265728975,Bacteria,0.391304347826087,pt,0.9782608695652174,1.110413467384501,0.06521739130434782,0.76,False
dtc_10,delta2,delta1,marts_E00566_delta_0,20,0.8410473679063695,0.4503890839233951,Fungi,0.55,di Class 2,0.6206896551724138,2.438479520266363,0.35,0.21,False
dtc_11,alpha6,alpha3B,marts_E00491_ids_0,20,0.9060868421079297,0.4795068445557819,Bacteria,0.45,psy,0.6,3.127783626197224,0.0,1.0,False
dtc_12,alpha7,alpha1G,marts_E00872_alpha_0,20,0.8321178946521526,0.5081995180742618,Fungi,0.75,sesq Class 1,0.7272727272727273,2.1705764088025314,0.15,0.87,False
dtc_14,alpha9,alpha1E,marts_E00881_alpha_0,17,0.9321286763023475,0.5510231729652318,Animals,1.0,sesq Class 1,0.41935483870967744,2.856713324433877,0.0,1.0,False
dtc_13,alpha8,alpha3A,marts_E00554_ids_0,17,0.9291970588143587,0.4924987943093312,Plants,0.5882352941176471,sqs,0.8888888888888888,1.4174111811317323,0.0,1.0,False
dtc_15,alpha10,alpha1C,marts_E00106_alpha_0,10,0.8787088892074988,0.5221532270725374,Fungi,0.9,di Class 1,0.5294117647058824,1.996540789103284,0.1,0.9,False
dtc_16,alpha11,alpha1A,marts_E00015_alpha_0,9,0.8181166667749898,0.539019387034264,Animals,0.6666666666666666,mono Class 1,0.23809523809523808,5.704615457688975,0.0,0.01,False
dtc_17,alpha12,alpha2A,marts_E01534_ids_0,7,0.9357952381528559,0.44674987010789735,Bacteria,0.7142857142857143,di Class 1,1.0,1.0,0.0,1.0,False
dtc_unassigned,unassigned,zeta,marts_E00254_zeta_0,2,0.9187000021338463,0.29618214435184126,Fungi,1.0,psy,0.5,2.0,0.0,,True
