config_id,deep_split,min_cluster_size,n_clusters,n_clusters_n_ge_2,n_unassigned,n_total_domains,mean_intra_tm_weighted,mean_inter_tm_weighted,kingdom_purity_weighted,reaction_purity_weighted,transitional_frac_weighted,bootstrap_support_weighted,frac_clades_boot_ge_0.7
d0_m3,0,3,19,19,2,2425,0.896742198771755,0.43302462354965426,0.8758762886597938,0.5402681555497645,0.03257731958762886,0.9393773195876289,0.9473684210526315
d0_m5,0,5,17,17,2,2425,0.8956655174929168,0.433020615490037,0.8734020618556702,0.5385938586041707,0.030103092783505155,0.9346309278350515,0.8823529411764706
d0_m10,0,10,14,14,2,2425,0.8918235816276756,0.43237525176410374,0.8651546391752577,0.5335538199295692,0.02845360824742268,0.8043876288659795,0.7857142857142857
d0_m15,0,15,11,11,2,2425,0.8872165811067934,0.4313456630222228,0.8569072164948454,0.5181800031127579,0.029690721649484535,0.5077237113402062,0.6363636363636364
d0_m20,0,20,11,11,2,2425,0.8872333288774931,0.4314129614200806,0.857319587628866,0.518197898250531,0.029690721649484535,0.5065237113402062,0.6363636363636364
d1_m3,1,3,22,22,2,2425,0.9008990213109221,0.4336238776870172,0.8808247422680412,0.5421870525773271,0.021855670103092785,0.93819793814433,0.9090909090909091
d1_m5,1,5,19,19,2,2425,0.8993024959445739,0.4335497726964399,0.876701030927835,0.5389835864382827,0.018556701030927835,0.9369154639175258,0.8421052631578947
d1_m10,1,10,16,16,2,2425,0.8966295306636851,0.43331109690338604,0.8734020618556702,0.5346253365528029,0.030515463917525774,0.8143546391752579,0.8125
d1_m15,1,15,15,15,2,2425,0.8952564473969759,0.43252574789147796,0.8696907216494846,0.5315698978824894,0.03463917525773196,0.5489649484536082,0.7333333333333333
d1_m20,1,20,12,12,2,2425,0.8903827946111083,0.4318507392928794,0.8581443298969073,0.5185697309468699,0.030515463917525774,0.511880412371134,0.6666666666666666
d2_m3,2,3,38,38,2,2425,0.9191653459440445,0.46811233372208017,0.8919587628865979,0.633224713465927,0.6445360824742268,0.35310111423513485,0.5789473684210527
d2_m5,2,5,31,31,2,2425,0.916732529666447,0.4674957461233815,0.8878350515463918,0.6290078619186702,0.5443298969072164,0.34501864000833077,0.4838709677419355
d2_m10,2,10,25,25,2,2425,0.9133784597206415,0.4672829820517886,0.8841237113402062,0.6211703014730242,0.5579381443298969,0.3289072164948454,0.44
d2_m15,2,15,20,20,2,2425,0.9096330302340856,0.46402210256320864,0.8758762886597938,0.6202250665454024,0.3542268041237113,0.3342680412371134,0.5
d2_m20,2,20,16,16,2,2425,0.9041053128965275,0.46252660114755995,0.8581443298969073,0.6064147621527383,0.29195876288659794,0.2971835051546392,0.4375
