classifier,class,metric,ap_type,value
Domains,2xFPP,ap,pooled_oof,0.9592234451135377
Domains,2xFPP,roc_auc,pooled_oof,0.999930473475631
Domains,2xGGPP,ap,pooled_oof,0.6331245874548291
Domains,2xGGPP,roc_auc,pooled_oof,0.9980991251832247
Domains,CPP,ap,pooled_oof,0.6709602159474508
Domains,CPP,roc_auc,pooled_oof,0.9949100271616116
Domains,EDSQ,ap,pooled_oof,0.9749912342146086
Domains,EDSQ,roc_auc,pooled_oof,0.9998801813993201
Domains,FPP,ap,pooled_oof,0.8025950038119313
Domains,FPP,roc_auc,pooled_oof,0.9891022027336894
Domains,GFPP,ap,pooled_oof,0.6338784361325742
Domains,GFPP,roc_auc,pooled_oof,0.9792274374613277
Domains,GGPP,ap,pooled_oof,0.6611702208004625
Domains,GGPP,roc_auc,pooled_oof,0.9861773931770654
Domains,GPP,ap,pooled_oof,0.6599950486178678
Domains,GPP,roc_auc,pooled_oof,0.9856782668130623
Domains,IDS,ap,pooled_oof,0.9654116620443667
Domains,IDS,roc_auc,pooled_oof,0.9995705682270836
Domains,TPS,ap,pooled_oof,0.9991707657564074
Domains,TPS,roc_auc,pooled_oof,0.9998881825037802
PLM,2xFPP,ap,pooled_oof,0.9385472012793994
PLM,2xFPP,roc_auc,pooled_oof,0.9998794873577603
PLM,2xGGPP,ap,pooled_oof,0.9011050047898039
PLM,2xGGPP,roc_auc,pooled_oof,0.9995856403669154
PLM,CPP,ap,pooled_oof,0.6416520129953587
PLM,CPP,roc_auc,pooled_oof,0.9845622076354308
PLM,EDSQ,ap,pooled_oof,0.9811972424462656
PLM,EDSQ,roc_auc,pooled_oof,0.9999003189792663
PLM,FPP,ap,pooled_oof,0.9168214689084452
PLM,FPP,roc_auc,pooled_oof,0.9902714836127374
PLM,GFPP,ap,pooled_oof,0.6380940925746348
PLM,GFPP,roc_auc,pooled_oof,0.8961154511058653
PLM,GGPP,ap,pooled_oof,0.7658693785912783
PLM,GGPP,roc_auc,pooled_oof,0.9847502262867132
PLM,GPP,ap,pooled_oof,0.68950466922843
PLM,GPP,roc_auc,pooled_oof,0.9859557880755536
PLM,IDS,ap,pooled_oof,0.989050466966329
PLM,IDS,roc_auc,pooled_oof,0.9995626706312598
PLM,TPS,ap,pooled_oof,0.9978014081750749
PLM,TPS,roc_auc,pooled_oof,0.9993398754568701
PLM_Domains,2xFPP,ap,pooled_oof,0.9295397269361716
PLM_Domains,2xFPP,roc_auc,pooled_oof,0.9998655820528864
PLM_Domains,2xGGPP,ap,pooled_oof,0.8444915577639256
PLM_Domains,2xGGPP,roc_auc,pooled_oof,0.999544204403607
PLM_Domains,CPP,ap,pooled_oof,0.7042796113205496
PLM_Domains,CPP,roc_auc,pooled_oof,0.995767315527388
PLM_Domains,EDSQ,ap,pooled_oof,0.9855131772543191
PLM_Domains,EDSQ,roc_auc,pooled_oof,0.9999194496802153
PLM_Domains,FPP,ap,pooled_oof,0.9092629445937916
PLM_Domains,FPP,roc_auc,pooled_oof,0.9936756561254201
PLM_Domains,GFPP,ap,pooled_oof,0.6656256983047495
PLM_Domains,GFPP,roc_auc,pooled_oof,0.9017878749675768
PLM_Domains,GGPP,ap,pooled_oof,0.7557515894000617
PLM_Domains,GGPP,roc_auc,pooled_oof,0.9857029713786324
PLM_Domains,GPP,ap,pooled_oof,0.6987817143687776
PLM_Domains,GPP,roc_auc,pooled_oof,0.9879105557454173
PLM_Domains,IDS,ap,pooled_oof,0.9906933864871971
PLM_Domains,IDS,roc_auc,pooled_oof,0.9998672216702131
PLM_Domains,TPS,ap,pooled_oof,0.9996510376420724
PLM_Domains,TPS,roc_auc,pooled_oof,0.9999512913228994
Domains,Substrate_mAP,ap,pooled_oof,0.7494922740116577
Domains,Substrate_mAP,roc_auc,pooled_oof,0.9916256384256166
PLM,Substrate_mAP,ap,pooled_oof,0.809098883851702
PLM,Substrate_mAP,roc_auc,pooled_oof,0.9801275754275303
PLM_Domains,Substrate_mAP,ap,pooled_oof,0.8116557524927933
PLM_Domains,Substrate_mAP,roc_auc,pooled_oof,0.9830217012351429
