classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains,Domains,2xFPP,ap,pooled_oof,-0.029683718177366147
PLM_Domains,PLM,2xFPP,ap,pooled_oof,-0.009007474343227795
PLM_Domains,Domains,2xFPP,roc_auc,pooled_oof,-6.489142274457294e-05
PLM_Domains,PLM,2xFPP,roc_auc,pooled_oof,-1.3905304873884639e-05
PLM_Domains,Domains,2xGGPP,ap,pooled_oof,0.21136697030909646
PLM_Domains,PLM,2xGGPP,ap,pooled_oof,-0.05661344702587834
PLM_Domains,Domains,2xGGPP,roc_auc,pooled_oof,0.0014450792203822838
PLM_Domains,PLM,2xGGPP,roc_auc,pooled_oof,-4.1435963308411594e-05
PLM_Domains,Domains,CPP,ap,pooled_oof,0.033319395373098804
PLM_Domains,PLM,CPP,ap,pooled_oof,0.06262759832519094
PLM_Domains,Domains,CPP,roc_auc,pooled_oof,0.0008572883657763652
PLM_Domains,PLM,CPP,roc_auc,pooled_oof,0.011205107891957167
PLM_Domains,Domains,EDSQ,ap,pooled_oof,0.010521943039710435
PLM_Domains,PLM,EDSQ,ap,pooled_oof,0.004315934808053479
PLM_Domains,Domains,EDSQ,roc_auc,pooled_oof,3.92682808951772e-05
PLM_Domains,PLM,EDSQ,roc_auc,pooled_oof,1.913070094894387e-05
PLM_Domains,Domains,FPP,ap,pooled_oof,0.10666794078186037
PLM_Domains,PLM,FPP,ap,pooled_oof,-0.007558524314653536
PLM_Domains,Domains,FPP,roc_auc,pooled_oof,0.004573453391730653
PLM_Domains,PLM,FPP,roc_auc,pooled_oof,0.003404172512682657
PLM_Domains,Domains,GFPP,ap,pooled_oof,0.03174726217217527
PLM_Domains,PLM,GFPP,ap,pooled_oof,0.027531605730114705
PLM_Domains,Domains,GFPP,roc_auc,pooled_oof,-0.07743956249375084
PLM_Domains,PLM,GFPP,roc_auc,pooled_oof,0.0056724238617115175
PLM_Domains,Domains,GGPP,ap,pooled_oof,0.0945813685995992
PLM_Domains,PLM,GGPP,ap,pooled_oof,-0.010117789191216642
PLM_Domains,Domains,GGPP,roc_auc,pooled_oof,-0.00047442179843304455
PLM_Domains,PLM,GGPP,roc_auc,pooled_oof,0.0009527450919192271
PLM_Domains,Domains,GPP,ap,pooled_oof,0.03878666575090972
PLM_Domains,PLM,GPP,ap,pooled_oof,0.00927704514034755
PLM_Domains,Domains,GPP,roc_auc,pooled_oof,0.002232288932355053
PLM_Domains,PLM,GPP,roc_auc,pooled_oof,0.0019547676698636884
PLM_Domains,Domains,IDS,ap,pooled_oof,0.02528172444283039
PLM_Domains,PLM,IDS,ap,pooled_oof,0.0016429195208680358
PLM_Domains,Domains,IDS,roc_auc,pooled_oof,0.00029665344312956865
PLM_Domains,PLM,IDS,roc_auc,pooled_oof,0.0003045510389533268
PLM_Domains,Domains,TPS,ap,pooled_oof,0.0004802718856650179
PLM_Domains,PLM,TPS,ap,pooled_oof,0.0018496294669975155
PLM_Domains,Domains,TPS,roc_auc,pooled_oof,6.31088191191953e-05
PLM_Domains,PLM,TPS,roc_auc,pooled_oof,0.0006114158660293079
PLM_Domains,Domains,Substrate_mAP,ap,pooled_oof,0.062163478481135515
PLM_Domains,Domains,Substrate_mAP,roc_auc,pooled_oof,-0.008603937190473615
PLM_Domains,PLM,Substrate_mAP,ap,pooled_oof,0.002556868641091295
PLM_Domains,PLM,Substrate_mAP,roc_auc,pooled_oof,0.002894125807612613
