classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
PLM_Domains,Domains,2xFPP,ap,pooled_oof,0.466,0.932,holm
PLM_Domains,PLM,2xFPP,ap,pooled_oof,0.794,0.932,holm
PLM_Domains,Domains,2xFPP,roc_auc,pooled_oof,0.534,1.0,holm
PLM_Domains,PLM,2xFPP,roc_auc,pooled_oof,1.0,1.0,holm
PLM_Domains,Domains,2xGGPP,ap,pooled_oof,0.112,0.224,holm
PLM_Domains,PLM,2xGGPP,ap,pooled_oof,0.326,0.326,holm
PLM_Domains,Domains,2xGGPP,roc_auc,pooled_oof,0.094,0.188,holm
PLM_Domains,PLM,2xGGPP,roc_auc,pooled_oof,0.9,0.9,holm
PLM_Domains,Domains,CPP,ap,pooled_oof,0.034,0.068,holm
PLM_Domains,PLM,CPP,ap,pooled_oof,0.072,0.072,holm
PLM_Domains,Domains,CPP,roc_auc,pooled_oof,0.376,0.376,holm
PLM_Domains,PLM,CPP,roc_auc,pooled_oof,0.001,0.002,holm
PLM_Domains,Domains,EDSQ,ap,pooled_oof,0.62,0.62,holm
PLM_Domains,PLM,EDSQ,ap,pooled_oof,0.266,0.532,holm
PLM_Domains,Domains,EDSQ,roc_auc,pooled_oof,0.65,0.65,holm
PLM_Domains,PLM,EDSQ,roc_auc,pooled_oof,0.29,0.58,holm
PLM_Domains,Domains,FPP,ap,pooled_oof,0.001,0.002,holm
PLM_Domains,PLM,FPP,ap,pooled_oof,0.246,0.246,holm
PLM_Domains,Domains,FPP,roc_auc,pooled_oof,0.002,0.004,holm
PLM_Domains,PLM,FPP,roc_auc,pooled_oof,0.252,0.252,holm
PLM_Domains,Domains,GFPP,ap,pooled_oof,0.41,0.82,holm
PLM_Domains,PLM,GFPP,ap,pooled_oof,0.64,0.82,holm
PLM_Domains,Domains,GFPP,roc_auc,pooled_oof,0.354,0.354,holm
PLM_Domains,PLM,GFPP,roc_auc,pooled_oof,0.056,0.112,holm
PLM_Domains,Domains,GGPP,ap,pooled_oof,0.001,0.002,holm
PLM_Domains,PLM,GGPP,ap,pooled_oof,0.296,0.296,holm
PLM_Domains,Domains,GGPP,roc_auc,pooled_oof,0.994,1.0,holm
PLM_Domains,PLM,GGPP,roc_auc,pooled_oof,0.568,1.0,holm
PLM_Domains,Domains,GPP,ap,pooled_oof,0.214,0.428,holm
PLM_Domains,PLM,GPP,ap,pooled_oof,0.766,0.766,holm
PLM_Domains,Domains,GPP,roc_auc,pooled_oof,0.154,0.308,holm
PLM_Domains,PLM,GPP,roc_auc,pooled_oof,0.216,0.308,holm
PLM_Domains,Domains,IDS,ap,pooled_oof,0.001,0.002,holm
PLM_Domains,PLM,IDS,ap,pooled_oof,0.876,0.876,holm
PLM_Domains,Domains,IDS,roc_auc,pooled_oof,0.001,0.002,holm
PLM_Domains,PLM,IDS,roc_auc,pooled_oof,0.668,0.668,holm
PLM_Domains,Domains,Substrate_mAP,ap,pooled_oof,0.004,0.008,holm
PLM_Domains,PLM,Substrate_mAP,ap,pooled_oof,0.956,0.956,holm
PLM_Domains,Domains,Substrate_mAP,roc_auc,pooled_oof,0.606,0.606,holm
PLM_Domains,PLM,Substrate_mAP,roc_auc,pooled_oof,0.001,0.002,holm
PLM_Domains,Domains,TPS,ap,pooled_oof,0.032,0.032,holm
PLM_Domains,PLM,TPS,ap,pooled_oof,0.001,0.002,holm
PLM_Domains,Domains,TPS,roc_auc,pooled_oof,0.054,0.054,holm
PLM_Domains,PLM,TPS,roc_auc,pooled_oof,0.001,0.002,holm
