classifier,class,metric,ap_type,value
PLM_Domains_LR,2xFPP,ap,pooled_oof,0.9056320679935637
PLM_Domains_LR,2xFPP,roc_auc,pooled_oof,0.9998980277642587
PLM_Domains_LR,2xGGPP,ap,pooled_oof,0.7389392562485892
PLM_Domains_LR,2xGGPP,roc_auc,pooled_oof,0.9995027684402986
PLM_Domains_LR,CPP,ap,pooled_oof,0.649466447831067
PLM_Domains_LR,CPP,roc_auc,pooled_oof,0.9957890070921985
PLM_Domains_LR,EDSQ,ap,pooled_oof,0.9770558412175463
PLM_Domains_LR,EDSQ,roc_auc,pooled_oof,0.9998821951573148
PLM_Domains_LR,FPP,ap,pooled_oof,0.7877830340897694
PLM_Domains_LR,FPP,roc_auc,pooled_oof,0.9859759345426523
PLM_Domains_LR,GFPP,ap,pooled_oof,0.5218914063563748
PLM_Domains_LR,GFPP,roc_auc,pooled_oof,0.8966965322065288
PLM_Domains_LR,GGPP,ap,pooled_oof,0.6770178884561099
PLM_Domains_LR,GGPP,roc_auc,pooled_oof,0.9877368207497113
PLM_Domains_LR,GPP,ap,pooled_oof,0.629290501797564
PLM_Domains_LR,GPP,roc_auc,pooled_oof,0.9860403169317056
PLM_Domains_LR,IDS,ap,pooled_oof,0.9815859170634615
PLM_Domains_LR,IDS,roc_auc,pooled_oof,0.9997497449323348
PLM_Domains_LR,TPS,ap,pooled_oof,0.9961573875713995
PLM_Domains_LR,TPS,roc_auc,pooled_oof,0.9971399586786746
PLM_Domains_MLP,2xFPP,ap,pooled_oof,0.6845545284071342
PLM_Domains_MLP,2xFPP,roc_auc,pooled_oof,0.9993788963823032
PLM_Domains_MLP,2xGGPP,ap,pooled_oof,0.3357072879844931
PLM_Domains_MLP,2xGGPP,roc_auc,pooled_oof,0.9979385608254044
PLM_Domains_MLP,CPP,ap,pooled_oof,0.640737095294532
PLM_Domains_MLP,CPP,roc_auc,pooled_oof,0.9939084427342689
PLM_Domains_MLP,EDSQ,ap,pooled_oof,0.9763111746996844
PLM_Domains_MLP,EDSQ,roc_auc,pooled_oof,0.999876153883331
PLM_Domains_MLP,FPP,ap,pooled_oof,0.8418663625581436
PLM_Domains_MLP,FPP,roc_auc,pooled_oof,0.9902032509521098
PLM_Domains_MLP,GFPP,ap,pooled_oof,0.4994903390830141
PLM_Domains_MLP,GFPP,roc_auc,pooled_oof,0.9149737788964676
PLM_Domains_MLP,GGPP,ap,pooled_oof,0.6462503571400344
PLM_Domains_MLP,GGPP,roc_auc,pooled_oof,0.9867087768032711
PLM_Domains_MLP,GPP,ap,pooled_oof,0.6390360206145418
PLM_Domains_MLP,GPP,roc_auc,pooled_oof,0.9857682491438046
PLM_Domains_MLP,IDS,ap,pooled_oof,0.9889620518320622
PLM_Domains_MLP,IDS,roc_auc,pooled_oof,0.99983958008483
PLM_Domains_MLP,TPS,ap,pooled_oof,0.99823053737795
PLM_Domains_MLP,TPS,roc_auc,pooled_oof,0.9996279569865397
PLM_Domains_RF,2xFPP,ap,pooled_oof,0.9295397269361716
PLM_Domains_RF,2xFPP,roc_auc,pooled_oof,0.9998655820528864
PLM_Domains_RF,2xGGPP,ap,pooled_oof,0.8444915577639256
PLM_Domains_RF,2xGGPP,roc_auc,pooled_oof,0.999544204403607
PLM_Domains_RF,CPP,ap,pooled_oof,0.7042796113205496
PLM_Domains_RF,CPP,roc_auc,pooled_oof,0.995767315527388
PLM_Domains_RF,EDSQ,ap,pooled_oof,0.9855131772543191
PLM_Domains_RF,EDSQ,roc_auc,pooled_oof,0.9999194496802153
PLM_Domains_RF,FPP,ap,pooled_oof,0.9092629445937916
PLM_Domains_RF,FPP,roc_auc,pooled_oof,0.9936756561254201
PLM_Domains_RF,GFPP,ap,pooled_oof,0.6656256983047495
PLM_Domains_RF,GFPP,roc_auc,pooled_oof,0.9017878749675768
PLM_Domains_RF,GGPP,ap,pooled_oof,0.7557515894000617
PLM_Domains_RF,GGPP,roc_auc,pooled_oof,0.9857029713786324
PLM_Domains_RF,GPP,ap,pooled_oof,0.6987817143687776
PLM_Domains_RF,GPP,roc_auc,pooled_oof,0.9879105557454173
PLM_Domains_RF,IDS,ap,pooled_oof,0.9906933864871971
PLM_Domains_RF,IDS,roc_auc,pooled_oof,0.9998672216702131
PLM_Domains_RF,TPS,ap,pooled_oof,0.9996510376420724
PLM_Domains_RF,TPS,roc_auc,pooled_oof,0.9999512913228994
PLM_Domains_LR,Substrate_mAP,ap,pooled_oof,0.735884555498823
PLM_Domains_LR,Substrate_mAP,roc_auc,pooled_oof,0.9814402003605835
PLM_Domains_MLP,Substrate_mAP,ap,pooled_oof,0.6579941457226972
PLM_Domains_MLP,Substrate_mAP,roc_auc,pooled_oof,0.9835945137026201
PLM_Domains_RF,Substrate_mAP,ap,pooled_oof,0.8116557524927933
PLM_Domains_RF,Substrate_mAP,roc_auc,pooled_oof,0.9830217012351429
