classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains_RF,PLM_Domains_LR,2xFPP,ap,pooled_oof,0.023907658942607934
PLM_Domains_RF,PLM_Domains_MLP,2xFPP,ap,pooled_oof,0.24498519852903744
PLM_Domains_RF,PLM_Domains_LR,2xFPP,roc_auc,pooled_oof,-3.244571137228647e-05
PLM_Domains_RF,PLM_Domains_MLP,2xFPP,roc_auc,pooled_oof,0.0004866856705832978
PLM_Domains_RF,PLM_Domains_LR,2xGGPP,ap,pooled_oof,0.10555230151533634
PLM_Domains_RF,PLM_Domains_MLP,2xGGPP,ap,pooled_oof,0.5087842697794325
PLM_Domains_RF,PLM_Domains_LR,2xGGPP,roc_auc,pooled_oof,4.1435963308411594e-05
PLM_Domains_RF,PLM_Domains_MLP,2xGGPP,roc_auc,pooled_oof,0.0016056435782025869
PLM_Domains_RF,PLM_Domains_LR,CPP,ap,pooled_oof,0.05481316348948262
PLM_Domains_RF,PLM_Domains_MLP,CPP,ap,pooled_oof,0.06354251602601757
PLM_Domains_RF,PLM_Domains_LR,CPP,roc_auc,pooled_oof,-2.1691564810577546e-05
PLM_Domains_RF,PLM_Domains_MLP,CPP,roc_auc,pooled_oof,0.0018588727931190263
PLM_Domains_RF,PLM_Domains_LR,EDSQ,ap,pooled_oof,0.008457336036772789
PLM_Domains_RF,PLM_Domains_MLP,EDSQ,ap,pooled_oof,0.009202002554634658
PLM_Domains_RF,PLM_Domains_LR,EDSQ,roc_auc,pooled_oof,3.725452290048725e-05
PLM_Domains_RF,PLM_Domains_MLP,EDSQ,roc_auc,pooled_oof,4.329579688433505e-05
PLM_Domains_RF,PLM_Domains_LR,FPP,ap,pooled_oof,0.12147991050402229
PLM_Domains_RF,PLM_Domains_MLP,FPP,ap,pooled_oof,0.06739658203564802
PLM_Domains_RF,PLM_Domains_LR,FPP,roc_auc,pooled_oof,0.007699721582767771
PLM_Domains_RF,PLM_Domains_MLP,FPP,roc_auc,pooled_oof,0.0034724051733102668
PLM_Domains_RF,PLM_Domains_LR,GFPP,ap,pooled_oof,0.14373429194837473
PLM_Domains_RF,PLM_Domains_MLP,GFPP,ap,pooled_oof,0.1661353592217354
PLM_Domains_RF,PLM_Domains_LR,GFPP,roc_auc,pooled_oof,0.005091342761048057
PLM_Domains_RF,PLM_Domains_MLP,GFPP,roc_auc,pooled_oof,-0.013185903928890741
PLM_Domains_RF,PLM_Domains_LR,GGPP,ap,pooled_oof,0.07873370094395182
PLM_Domains_RF,PLM_Domains_MLP,GGPP,ap,pooled_oof,0.10950123226002728
PLM_Domains_RF,PLM_Domains_LR,GGPP,roc_auc,pooled_oof,-0.0020338493710788663
PLM_Domains_RF,PLM_Domains_MLP,GGPP,roc_auc,pooled_oof,-0.0010058054246386838
PLM_Domains_RF,PLM_Domains_LR,GPP,ap,pooled_oof,0.0694912125712136
PLM_Domains_RF,PLM_Domains_MLP,GPP,ap,pooled_oof,0.059745693754235774
PLM_Domains_RF,PLM_Domains_LR,GPP,roc_auc,pooled_oof,0.0018702388137117332
PLM_Domains_RF,PLM_Domains_MLP,GPP,roc_auc,pooled_oof,0.0021423066016127423
PLM_Domains_RF,PLM_Domains_LR,IDS,ap,pooled_oof,0.009107469423735526
PLM_Domains_RF,PLM_Domains_MLP,IDS,ap,pooled_oof,0.001731334655134864
PLM_Domains_RF,PLM_Domains_LR,IDS,roc_auc,pooled_oof,0.00011747673787831925
PLM_Domains_RF,PLM_Domains_MLP,IDS,roc_auc,pooled_oof,2.7641585383153533e-05
PLM_Domains_RF,PLM_Domains_LR,TPS,ap,pooled_oof,0.0034936500706729268
PLM_Domains_RF,PLM_Domains_MLP,TPS,ap,pooled_oof,0.0014205002641224374
PLM_Domains_RF,PLM_Domains_LR,TPS,roc_auc,pooled_oof,0.00281133264422484
PLM_Domains_RF,PLM_Domains_MLP,TPS,roc_auc,pooled_oof,0.0003233343363596708
PLM_Domains_RF,PLM_Domains_LR,Substrate_mAP,ap,pooled_oof,0.07577119699397027
PLM_Domains_RF,PLM_Domains_LR,Substrate_mAP,roc_auc,pooled_oof,0.0015815008745593412
PLM_Domains_RF,PLM_Domains_MLP,Substrate_mAP,ap,pooled_oof,0.15366160677009608
PLM_Domains_RF,PLM_Domains_MLP,Substrate_mAP,roc_auc,pooled_oof,-0.0005728124674771462
