classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
PLM_Domains_RF,PLM_Domains_LR,2xFPP,ap,pooled_oof,0.878,0.878,holm
PLM_Domains_RF,PLM_Domains_MLP,2xFPP,ap,pooled_oof,0.194,0.388,holm
PLM_Domains_RF,PLM_Domains_LR,2xFPP,roc_auc,pooled_oof,0.982,0.982,holm
PLM_Domains_RF,PLM_Domains_MLP,2xFPP,roc_auc,pooled_oof,0.212,0.424,holm
PLM_Domains_RF,PLM_Domains_LR,2xGGPP,ap,pooled_oof,0.726,0.726,holm
PLM_Domains_RF,PLM_Domains_MLP,2xGGPP,ap,pooled_oof,0.064,0.128,holm
PLM_Domains_RF,PLM_Domains_LR,2xGGPP,roc_auc,pooled_oof,1.0,1.0,holm
PLM_Domains_RF,PLM_Domains_MLP,2xGGPP,roc_auc,pooled_oof,0.152,0.304,holm
PLM_Domains_RF,PLM_Domains_LR,CPP,ap,pooled_oof,0.158,0.316,holm
PLM_Domains_RF,PLM_Domains_MLP,CPP,ap,pooled_oof,0.164,0.316,holm
PLM_Domains_RF,PLM_Domains_LR,CPP,roc_auc,pooled_oof,0.964,0.964,holm
PLM_Domains_RF,PLM_Domains_MLP,CPP,roc_auc,pooled_oof,0.372,0.744,holm
PLM_Domains_RF,PLM_Domains_LR,EDSQ,ap,pooled_oof,0.606,0.606,holm
PLM_Domains_RF,PLM_Domains_MLP,EDSQ,ap,pooled_oof,0.142,0.284,holm
PLM_Domains_RF,PLM_Domains_LR,EDSQ,roc_auc,pooled_oof,0.642,0.642,holm
PLM_Domains_RF,PLM_Domains_MLP,EDSQ,roc_auc,pooled_oof,0.15,0.3,holm
PLM_Domains_RF,PLM_Domains_LR,FPP,ap,pooled_oof,0.001,0.002,holm
PLM_Domains_RF,PLM_Domains_MLP,FPP,ap,pooled_oof,0.002,0.002,holm
PLM_Domains_RF,PLM_Domains_LR,FPP,roc_auc,pooled_oof,0.008,0.016,holm
PLM_Domains_RF,PLM_Domains_MLP,FPP,roc_auc,pooled_oof,0.016,0.016,holm
PLM_Domains_RF,PLM_Domains_LR,GFPP,ap,pooled_oof,0.036,0.036,holm
PLM_Domains_RF,PLM_Domains_MLP,GFPP,ap,pooled_oof,0.01,0.02,holm
PLM_Domains_RF,PLM_Domains_LR,GFPP,roc_auc,pooled_oof,0.126,0.252,holm
PLM_Domains_RF,PLM_Domains_MLP,GFPP,roc_auc,pooled_oof,0.508,0.508,holm
PLM_Domains_RF,PLM_Domains_LR,GGPP,ap,pooled_oof,0.004,0.004,holm
PLM_Domains_RF,PLM_Domains_MLP,GGPP,ap,pooled_oof,0.001,0.002,holm
PLM_Domains_RF,PLM_Domains_LR,GGPP,roc_auc,pooled_oof,0.696,1.0,holm
PLM_Domains_RF,PLM_Domains_MLP,GGPP,roc_auc,pooled_oof,0.906,1.0,holm
PLM_Domains_RF,PLM_Domains_LR,GPP,ap,pooled_oof,0.062,0.124,holm
PLM_Domains_RF,PLM_Domains_MLP,GPP,ap,pooled_oof,0.382,0.382,holm
PLM_Domains_RF,PLM_Domains_LR,GPP,roc_auc,pooled_oof,0.058,0.116,holm
PLM_Domains_RF,PLM_Domains_MLP,GPP,roc_auc,pooled_oof,0.166,0.166,holm
PLM_Domains_RF,PLM_Domains_LR,IDS,ap,pooled_oof,0.048,0.096,holm
PLM_Domains_RF,PLM_Domains_MLP,IDS,ap,pooled_oof,0.432,0.432,holm
PLM_Domains_RF,PLM_Domains_LR,IDS,roc_auc,pooled_oof,0.058,0.116,holm
PLM_Domains_RF,PLM_Domains_MLP,IDS,roc_auc,pooled_oof,0.352,0.352,holm
PLM_Domains_RF,PLM_Domains_LR,Substrate_mAP,ap,pooled_oof,0.006,0.008,holm
PLM_Domains_RF,PLM_Domains_MLP,Substrate_mAP,ap,pooled_oof,0.004,0.008,holm
PLM_Domains_RF,PLM_Domains_LR,Substrate_mAP,roc_auc,pooled_oof,0.064,0.128,holm
PLM_Domains_RF,PLM_Domains_MLP,Substrate_mAP,roc_auc,pooled_oof,0.776,0.776,holm
PLM_Domains_RF,PLM_Domains_LR,TPS,ap,pooled_oof,0.001,0.002,holm
PLM_Domains_RF,PLM_Domains_MLP,TPS,ap,pooled_oof,0.024,0.024,holm
PLM_Domains_RF,PLM_Domains_LR,TPS,roc_auc,pooled_oof,0.001,0.002,holm
PLM_Domains_RF,PLM_Domains_MLP,TPS,roc_auc,pooled_oof,0.02,0.02,holm
