classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
PLM_Domains_LR,2xFPP,ap,pooled_oof,0.9056320679935637,0.5393068252068086,1.0,bca,bca
PLM_Domains_LR,2xFPP,roc_auc,pooled_oof,0.9998980277642587,0.9995068620750099,1.0,bca,bca
PLM_Domains_LR,2xGGPP,ap,pooled_oof,0.7389392562485892,0.1984721332224516,0.9539076296369582,bca,bca
PLM_Domains_LR,2xGGPP,roc_auc,pooled_oof,0.9995027684402986,0.9984830283770485,0.9999240087249412,bca,bca
PLM_Domains_LR,CPP,ap,pooled_oof,0.649466447831067,0.36893790070562676,0.8037580177020642,bca,bca
PLM_Domains_LR,CPP,roc_auc,pooled_oof,0.9957890070921985,0.991000074194082,0.9980471276270696,bca,bca
PLM_Domains_LR,EDSQ,ap,pooled_oof,0.9770558412175463,0.8095238102846104,0.9774827503083169,bca,bca
PLM_Domains_LR,EDSQ,roc_auc,pooled_oof,0.9998821951573148,0.9994060356282017,1.0,bca,bca
PLM_Domains_LR,FPP,ap,pooled_oof,0.7877830340897694,0.5340390378976971,0.8796751985284109,bca,bca
PLM_Domains_LR,FPP,roc_auc,pooled_oof,0.9859759345426523,0.9708182923904062,0.9926790472041611,bca,bca
PLM_Domains_LR,GFPP,ap,pooled_oof,0.5218914063563748,0.25858406711164567,0.7091090593661418,bca,bca
PLM_Domains_LR,GFPP,roc_auc,pooled_oof,0.8966965322065288,0.6142108406256795,0.9950678730331612,bca,bca
PLM_Domains_LR,GGPP,ap,pooled_oof,0.6770178884561099,0.5297866420476256,0.82449191469139,bca,bca
PLM_Domains_LR,GGPP,roc_auc,pooled_oof,0.9877368207497113,0.9821281701376959,0.9923444664599698,bca,bca
PLM_Domains_LR,GPP,ap,pooled_oof,0.629290501797564,0.42386937475885966,0.805862056604441,bca,bca
PLM_Domains_LR,GPP,roc_auc,pooled_oof,0.9860403169317056,0.976806910530278,0.9920887494692489,bca,bca
PLM_Domains_LR,IDS,ap,pooled_oof,0.9815859170634615,0.9587143892732606,0.992555267706651,bca,bca
PLM_Domains_LR,IDS,roc_auc,pooled_oof,0.9997497449323348,0.9994375900078314,0.9999039359996621,bca,bca
PLM_Domains_LR,Substrate_mAP,ap,pooled_oof,0.735884555498823,0.6679439910239747,0.7907653474549637,bca,bca
PLM_Domains_LR,Substrate_mAP,roc_auc,pooled_oof,0.9814402003605835,0.9457454922577706,0.9941846594335907,bca,bca
PLM_Domains_LR,TPS,ap,pooled_oof,0.9961573875713995,0.9898056049897324,0.9983782248017381,bca,bca
PLM_Domains_LR,TPS,roc_auc,pooled_oof,0.9971399586786746,0.9916308099980898,0.9990960421567838,bca,bca
PLM_Domains_MLP,2xFPP,ap,pooled_oof,0.6845545284071342,0.23346717068752312,0.9560028669106058,bca,bca
PLM_Domains_MLP,2xFPP,roc_auc,pooled_oof,0.9993788963823032,0.9966914438787333,0.9999115895760381,bca,bca
PLM_Domains_MLP,2xGGPP,ap,pooled_oof,0.3357072879844931,0.06478900255830337,0.6213132044924693,bca,bca
PLM_Domains_MLP,2xGGPP,roc_auc,pooled_oof,0.9979385608254044,0.9945776260299263,0.9993587701155542,bca,bca
PLM_Domains_MLP,CPP,ap,pooled_oof,0.640737095294532,0.37599452772219816,0.7973582265553784,bca,bca
PLM_Domains_MLP,CPP,roc_auc,pooled_oof,0.9939084427342689,0.9857885322951823,0.997148655989759,bca,bca
PLM_Domains_MLP,EDSQ,ap,pooled_oof,0.9763111746996844,0.8334949017158402,0.9911098610986139,bca,bca
PLM_Domains_MLP,EDSQ,roc_auc,pooled_oof,0.999876153883331,0.999442913561044,0.9999852138453532,bca,bca
