classifier,class,metric,ap_type,value
PLM_Domains_AnkhBase,2xFPP,ap,pooled_oof,0.9392107485149688
PLM_Domains_AnkhBase,2xFPP,roc_auc,pooled_oof,0.999847041646388
PLM_Domains_AnkhBase,2xGGPP,ap,pooled_oof,0.7783531468399026
PLM_Domains_AnkhBase,2xGGPP,roc_auc,pooled_oof,0.9992800501375156
PLM_Domains_AnkhBase,CPP,ap,pooled_oof,0.6865517414700173
PLM_Domains_AnkhBase,CPP,roc_auc,pooled_oof,0.9963360117700317
PLM_Domains_AnkhBase,EDSQ,ap,pooled_oof,0.9751874446337986
PLM_Domains_AnkhBase,EDSQ,roc_auc,pooled_oof,0.999899312100269
PLM_Domains_AnkhBase,FPP,ap,pooled_oof,0.9143814587209345
PLM_Domains_AnkhBase,FPP,roc_auc,pooled_oof,0.9951399383481385
PLM_Domains_AnkhBase,GFPP,ap,pooled_oof,0.6248646083731036
PLM_Domains_AnkhBase,GFPP,roc_auc,pooled_oof,0.9173604137413363
PLM_Domains_AnkhBase,GGPP,ap,pooled_oof,0.7306852732409872
PLM_Domains_AnkhBase,GGPP,roc_auc,pooled_oof,0.9863818315178375
PLM_Domains_AnkhBase,GPP,ap,pooled_oof,0.6733961752565191
PLM_Domains_AnkhBase,GPP,roc_auc,pooled_oof,0.9872873447880537
PLM_Domains_AnkhBase,IDS,ap,pooled_oof,0.9830038908262564
PLM_Domains_AnkhBase,IDS,roc_auc,pooled_oof,0.9997645529245044
PLM_Domains_AnkhBase,TPS,ap,pooled_oof,0.99958161804601
PLM_Domains_AnkhBase,TPS,roc_auc,pooled_oof,0.9999443666644423
PLM_Domains_AnkhLarge,2xFPP,ap,pooled_oof,0.9295397269361716
PLM_Domains_AnkhLarge,2xFPP,roc_auc,pooled_oof,0.9998655820528864
PLM_Domains_AnkhLarge,2xGGPP,ap,pooled_oof,0.8444915577639256
PLM_Domains_AnkhLarge,2xGGPP,roc_auc,pooled_oof,0.999544204403607
PLM_Domains_AnkhLarge,CPP,ap,pooled_oof,0.7042796113205496
PLM_Domains_AnkhLarge,CPP,roc_auc,pooled_oof,0.995767315527388
PLM_Domains_AnkhLarge,EDSQ,ap,pooled_oof,0.9855131772543191
PLM_Domains_AnkhLarge,EDSQ,roc_auc,pooled_oof,0.9999194496802153
PLM_Domains_AnkhLarge,FPP,ap,pooled_oof,0.9092629445937916
PLM_Domains_AnkhLarge,FPP,roc_auc,pooled_oof,0.9936756561254201
PLM_Domains_AnkhLarge,GFPP,ap,pooled_oof,0.6656256983047495
PLM_Domains_AnkhLarge,GFPP,roc_auc,pooled_oof,0.9017878749675768
PLM_Domains_AnkhLarge,GGPP,ap,pooled_oof,0.7557515894000617
PLM_Domains_AnkhLarge,GGPP,roc_auc,pooled_oof,0.9857029713786324
PLM_Domains_AnkhLarge,GPP,ap,pooled_oof,0.6987817143687776
PLM_Domains_AnkhLarge,GPP,roc_auc,pooled_oof,0.9879105557454173
PLM_Domains_AnkhLarge,IDS,ap,pooled_oof,0.9906933864871971
PLM_Domains_AnkhLarge,IDS,roc_auc,pooled_oof,0.9998672216702131
PLM_Domains_AnkhLarge,TPS,ap,pooled_oof,0.9996510376420724
PLM_Domains_AnkhLarge,TPS,roc_auc,pooled_oof,0.9999512913228994
PLM_Domains_Esm1v,2xFPP,ap,pooled_oof,0.9586060424447151
PLM_Domains_Esm1v,2xFPP,roc_auc,pooled_oof,0.9999258383740063
PLM_Domains_Esm1v,2xGGPP,ap,pooled_oof,0.7957117099540769
PLM_Domains_Esm1v,2xGGPP,roc_auc,pooled_oof,0.9995079479357121
PLM_Domains_Esm1v,CPP,ap,pooled_oof,0.6999902348624407
PLM_Domains_Esm1v,CPP,roc_auc,pooled_oof,0.9956409385845783
PLM_Domains_Esm1v,EDSQ,ap,pooled_oof,0.9915032430420375
PLM_Domains_Esm1v,EDSQ,roc_auc,pooled_oof,0.9999466354131425
PLM_Domains_Esm1v,FPP,ap,pooled_oof,0.8968247737367727
PLM_Domains_Esm1v,FPP,roc_auc,pooled_oof,0.9932578670781144
PLM_Domains_Esm1v,GFPP,ap,pooled_oof,0.6325689864452377
PLM_Domains_Esm1v,GFPP,roc_auc,pooled_oof,0.9081804916148983
PLM_Domains_Esm1v,GGPP,ap,pooled_oof,0.709863218784992
PLM_Domains_Esm1v,GGPP,roc_auc,pooled_oof,0.9742712007241174
PLM_Domains_Esm1v,GPP,ap,pooled_oof,0.6900074640848897
PLM_Domains_Esm1v,GPP,roc_auc,pooled_oof,0.9875266917284123
PLM_Domains_Esm1v,IDS,ap,pooled_oof,0.9824737730154705
PLM_Domains_Esm1v,IDS,roc_auc,pooled_oof,0.9997507321318128
PLM_Domains_Esm1v,TPS,ap,pooled_oof,0.9996134898269864
PLM_Domains_Esm1v,TPS,roc_auc,pooled_oof,0.9999490093331805
PLM_Domains_Esm2,2xFPP,ap,pooled_oof,0.9575986219326504
PLM_Domains_Esm2,2xFPP,roc_auc,pooled_oof,0.9999258383740064
PLM_Domains_Esm2,2xGGPP,ap,pooled_oof,0.8803794793779581
PLM_Domains_Esm2,2xGGPP,roc_auc,pooled_oof,0.9989744599081157
PLM_Domains_Esm2,CPP,ap,pooled_oof,0.7065529096554424
PLM_Domains_Esm2,CPP,roc_auc,pooled_oof,0.9954494869473367
PLM_Domains_Esm2,EDSQ,ap,pooled_oof,0.9945547707664883
PLM_Domains_Esm2,EDSQ,roc_auc,pooled_oof,0.9999607317191049
PLM_Domains_Esm2,FPP,ap,pooled_oof,0.8700752874321259
PLM_Domains_Esm2,FPP,roc_auc,pooled_oof,0.9916437527714662
PLM_Domains_Esm2,GFPP,ap,pooled_oof,0.5934962150719051
PLM_Domains_Esm2,GFPP,roc_auc,pooled_oof,0.9166648553166022
PLM_Domains_Esm2,GGPP,ap,pooled_oof,0.7330994112558223
PLM_Domains_Esm2,GGPP,roc_auc,pooled_oof,0.9823874808826742
PLM_Domains_Esm2,GPP,ap,pooled_oof,0.6955915732183658
PLM_Domains_Esm2,GPP,roc_auc,pooled_oof,0.9879090408913644
PLM_Domains_Esm2,IDS,ap,pooled_oof,0.9886352600862404
PLM_Domains_Esm2,IDS,roc_auc,pooled_oof,0.9998455032816979
PLM_Domains_Esm2,TPS,ap,pooled_oof,0.9997590976558108
PLM_Domains_Esm2,TPS,roc_auc,pooled_oof,0.999967658697434
PLM_Domains_TpsAnkhBase,2xFPP,ap,pooled_oof,0.9392107485149688
PLM_Domains_TpsAnkhBase,2xFPP,roc_auc,pooled_oof,0.999847041646388
PLM_Domains_TpsAnkhBase,2xGGPP,ap,pooled_oof,0.7783531468399026
PLM_Domains_TpsAnkhBase,2xGGPP,roc_auc,pooled_oof,0.9992800501375156
PLM_Domains_TpsAnkhBase,CPP,ap,pooled_oof,0.6865517414700173
PLM_Domains_TpsAnkhBase,CPP,roc_auc,pooled_oof,0.9963360117700317
PLM_Domains_TpsAnkhBase,EDSQ,ap,pooled_oof,0.9751874446337986
PLM_Domains_TpsAnkhBase,EDSQ,roc_auc,pooled_oof,0.999899312100269
PLM_Domains_TpsAnkhBase,FPP,ap,pooled_oof,0.9143814587209345
PLM_Domains_TpsAnkhBase,FPP,roc_auc,pooled_oof,0.9951399383481385
PLM_Domains_TpsAnkhBase,GFPP,ap,pooled_oof,0.6248646083731036
PLM_Domains_TpsAnkhBase,GFPP,roc_auc,pooled_oof,0.9173604137413363
PLM_Domains_TpsAnkhBase,GGPP,ap,pooled_oof,0.7306852732409872
PLM_Domains_TpsAnkhBase,GGPP,roc_auc,pooled_oof,0.9863818315178375
PLM_Domains_TpsAnkhBase,GPP,ap,pooled_oof,0.6733961752565191
PLM_Domains_TpsAnkhBase,GPP,roc_auc,pooled_oof,0.9872873447880537
PLM_Domains_TpsAnkhBase,IDS,ap,pooled_oof,0.9830038908262564
PLM_Domains_TpsAnkhBase,IDS,roc_auc,pooled_oof,0.9997645529245044
PLM_Domains_TpsAnkhBase,TPS,ap,pooled_oof,0.99958161804601
PLM_Domains_TpsAnkhBase,TPS,roc_auc,pooled_oof,0.9999443666644423
PLM_Domains_TpsEsm1vSubseq,2xFPP,ap,pooled_oof,0.9127293057246617
PLM_Domains_TpsEsm1vSubseq,2xFPP,roc_auc,pooled_oof,0.9998748522561357
PLM_Domains_TpsEsm1vSubseq,2xGGPP,ap,pooled_oof,0.8407608208652237
PLM_Domains_TpsEsm1vSubseq,2xGGPP,roc_auc,pooled_oof,0.9996115378439833
PLM_Domains_TpsEsm1vSubseq,CPP,ap,pooled_oof,0.6587529956643048
PLM_Domains_TpsEsm1vSubseq,CPP,roc_auc,pooled_oof,0.9938631733816206
PLM_Domains_TpsEsm1vSubseq,EDSQ,ap,pooled_oof,0.9980939189047842
PLM_Domains_TpsEsm1vSubseq,EDSQ,roc_auc,pooled_oof,0.9999848968150403
PLM_Domains_TpsEsm1vSubseq,FPP,ap,pooled_oof,0.8489230191715772
PLM_Domains_TpsEsm1vSubseq,FPP,roc_auc,pooled_oof,0.990902363725466
PLM_Domains_TpsEsm1vSubseq,GFPP,ap,pooled_oof,0.651143717760043
PLM_Domains_TpsEsm1vSubseq,GFPP,roc_auc,pooled_oof,0.913113160110304
PLM_Domains_TpsEsm1vSubseq,GGPP,ap,pooled_oof,0.7219063213208711
PLM_Domains_TpsEsm1vSubseq,GGPP,roc_auc,pooled_oof,0.9806068385405287
PLM_Domains_TpsEsm1vSubseq,GPP,ap,pooled_oof,0.6711817709541635
PLM_Domains_TpsEsm1vSubseq,GPP,roc_auc,pooled_oof,0.9863348045595896
PLM_Domains_TpsEsm1vSubseq,IDS,ap,pooled_oof,0.9823155725472047
PLM_Domains_TpsEsm1vSubseq,IDS,roc_auc,pooled_oof,0.9997546809297247
PLM_Domains_TpsEsm1vSubseq,TPS,ap,pooled_oof,0.9994448404766094
PLM_Domains_TpsEsm1vSubseq,TPS,roc_auc,pooled_oof,0.9999248517178818
PLM_Domains_AnkhBase,Substrate_mAP,ap,pooled_oof,0.790328824631279
PLM_Domains_AnkhBase,Substrate_mAP,roc_auc,pooled_oof,0.9851914930061964
PLM_Domains_AnkhLarge,Substrate_mAP,ap,pooled_oof,0.8116557524927933
PLM_Domains_AnkhLarge,Substrate_mAP,roc_auc,pooled_oof,0.9830217012351429
PLM_Domains_Esm1v,Substrate_mAP,ap,pooled_oof,0.7968844591693953
PLM_Domains_Esm1v,Substrate_mAP,roc_auc,pooled_oof,0.9822822014316227
PLM_Domains_Esm2,Substrate_mAP,ap,pooled_oof,0.8039185335888448
PLM_Domains_Esm2,Substrate_mAP,roc_auc,pooled_oof,0.9841144558513338
PLM_Domains_TpsAnkhBase,Substrate_mAP,ap,pooled_oof,0.790328824631279
PLM_Domains_TpsAnkhBase,Substrate_mAP,roc_auc,pooled_oof,0.9851914930061964
PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,ap,pooled_oof,0.7879364837957037
PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,roc_auc,pooled_oof,0.9830364534040835
