classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xFPP,ap,pooled_oof,-0.009671021578797179
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xFPP,ap,pooled_oof,-0.02906631550854355
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xFPP,ap,pooled_oof,-0.028058894996478845
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xFPP,ap,pooled_oof,-0.009671021578797179
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xFPP,ap,pooled_oof,0.016810421211509885
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xFPP,roc_auc,pooled_oof,1.854040649840183e-05
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xFPP,roc_auc,pooled_oof,-6.02563211198337e-05
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xFPP,roc_auc,pooled_oof,-6.025632111994472e-05
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xFPP,roc_auc,pooled_oof,1.854040649840183e-05
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xFPP,roc_auc,pooled_oof,-9.270203249256426e-06
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xGGPP,ap,pooled_oof,0.06613841092402295
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xGGPP,ap,pooled_oof,0.048779847809848675
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xGGPP,ap,pooled_oof,-0.035887921614032536
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xGGPP,ap,pooled_oof,0.06613841092402295
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xGGPP,ap,pooled_oof,0.0037307368987018474
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xGGPP,roc_auc,pooled_oof,0.0002641542660913876
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xGGPP,roc_auc,pooled_oof,3.625646789495729e-05
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xGGPP,roc_auc,pooled_oof,0.0005697444954912978
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xGGPP,roc_auc,pooled_oof,0.0002641542660913876
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xGGPP,roc_auc,pooled_oof,-6.733344037623823e-05
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,CPP,ap,pooled_oof,0.01772786985053232
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,CPP,ap,pooled_oof,0.0042893764581088956
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,CPP,ap,pooled_oof,-0.0022732983348927593
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,CPP,ap,pooled_oof,0.01772786985053232
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,CPP,ap,pooled_oof,0.04552661565624483
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,CPP,roc_auc,pooled_oof,-0.0005686962426437736
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,CPP,roc_auc,pooled_oof,0.0001263769428097028
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,CPP,roc_auc,pooled_oof,0.00031782858005124925
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,CPP,roc_auc,pooled_oof,-0.0005686962426437736
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,CPP,roc_auc,pooled_oof,0.0019041421457673957
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,EDSQ,ap,pooled_oof,0.0103257326205205
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,EDSQ,ap,pooled_oof,-0.005990065787718435
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,EDSQ,ap,pooled_oof,-0.009041593512169266
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,EDSQ,ap,pooled_oof,0.0103257326205205
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,EDSQ,ap,pooled_oof,-0.012580741650465077
