classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xFPP,ap,pooled_oof,0.702,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xFPP,ap,pooled_oof,0.446,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xFPP,ap,pooled_oof,0.41,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xFPP,ap,pooled_oof,0.702,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xFPP,ap,pooled_oof,0.834,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xFPP,roc_auc,pooled_oof,1.0,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xFPP,roc_auc,pooled_oof,0.506,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xFPP,roc_auc,pooled_oof,0.476,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xFPP,roc_auc,pooled_oof,1.0,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xFPP,roc_auc,pooled_oof,1.0,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xGGPP,ap,pooled_oof,0.432,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xGGPP,ap,pooled_oof,0.56,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xGGPP,ap,pooled_oof,0.76,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xGGPP,ap,pooled_oof,0.432,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xGGPP,ap,pooled_oof,1.0,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,2xGGPP,roc_auc,pooled_oof,0.37,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,2xGGPP,roc_auc,pooled_oof,0.7,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,2xGGPP,roc_auc,pooled_oof,0.55,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,2xGGPP,roc_auc,pooled_oof,0.37,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,2xGGPP,roc_auc,pooled_oof,0.524,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,CPP,ap,pooled_oof,0.106,0.424,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,CPP,ap,pooled_oof,0.698,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,CPP,ap,pooled_oof,0.906,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,CPP,ap,pooled_oof,0.106,0.424,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,CPP,ap,pooled_oof,0.084,0.42000000000000004,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,CPP,roc_auc,pooled_oof,0.534,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,CPP,roc_auc,pooled_oof,0.9,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,CPP,roc_auc,pooled_oof,0.596,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,CPP,roc_auc,pooled_oof,0.534,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,CPP,roc_auc,pooled_oof,0.012,0.06,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,EDSQ,ap,pooled_oof,0.63,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,EDSQ,ap,pooled_oof,0.638,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,EDSQ,ap,pooled_oof,0.682,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,EDSQ,ap,pooled_oof,0.63,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,EDSQ,ap,pooled_oof,0.668,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,EDSQ,roc_auc,pooled_oof,0.604,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,EDSQ,roc_auc,pooled_oof,0.664,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,EDSQ,roc_auc,pooled_oof,0.714,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,EDSQ,roc_auc,pooled_oof,0.604,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,EDSQ,roc_auc,pooled_oof,0.712,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,FPP,ap,pooled_oof,0.792,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,FPP,ap,pooled_oof,0.158,0.474,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,FPP,ap,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,FPP,ap,pooled_oof,0.792,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,FPP,ap,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,FPP,roc_auc,pooled_oof,0.072,0.21599999999999997,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,FPP,roc_auc,pooled_oof,0.516,0.516,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,FPP,roc_auc,pooled_oof,0.026,0.104,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,FPP,roc_auc,pooled_oof,0.072,0.21599999999999997,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,FPP,roc_auc,pooled_oof,0.02,0.1,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GFPP,ap,pooled_oof,0.144,0.576,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GFPP,ap,pooled_oof,0.274,0.576,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GFPP,ap,pooled_oof,0.038,0.19,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GFPP,ap,pooled_oof,0.144,0.576,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GFPP,ap,pooled_oof,0.792,0.792,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GFPP,roc_auc,pooled_oof,0.228,0.684,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GFPP,roc_auc,pooled_oof,0.16,0.64,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GFPP,roc_auc,pooled_oof,0.676,0.684,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GFPP,roc_auc,pooled_oof,0.228,0.684,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GFPP,roc_auc,pooled_oof,0.124,0.62,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GGPP,ap,pooled_oof,0.014,0.056,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GGPP,ap,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GGPP,ap,pooled_oof,0.052,0.076,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GGPP,ap,pooled_oof,0.014,0.056,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GGPP,ap,pooled_oof,0.038,0.076,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GGPP,roc_auc,pooled_oof,0.768,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GGPP,roc_auc,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GGPP,roc_auc,pooled_oof,0.062,0.248,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GGPP,roc_auc,pooled_oof,0.768,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GGPP,roc_auc,pooled_oof,0.35,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GPP,ap,pooled_oof,0.018,0.09,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GPP,ap,pooled_oof,0.658,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GPP,ap,pooled_oof,0.836,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GPP,ap,pooled_oof,0.018,0.09,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GPP,ap,pooled_oof,0.488,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GPP,roc_auc,pooled_oof,0.16,0.8,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GPP,roc_auc,pooled_oof,0.726,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GPP,roc_auc,pooled_oof,0.948,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GPP,roc_auc,pooled_oof,0.16,0.8,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GPP,roc_auc,pooled_oof,0.512,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,IDS,ap,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,IDS,ap,pooled_oof,0.018,0.05399999999999999,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,IDS,ap,pooled_oof,0.402,0.402,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,IDS,ap,pooled_oof,0.001,0.005,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,IDS,ap,pooled_oof,0.048,0.096,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,IDS,roc_auc,pooled_oof,0.002,0.01,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,IDS,roc_auc,pooled_oof,0.01,0.03,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,IDS,roc_auc,pooled_oof,0.506,0.506,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,IDS,roc_auc,pooled_oof,0.002,0.01,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,IDS,roc_auc,pooled_oof,0.04,0.08,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,Substrate_mAP,ap,pooled_oof,0.046,0.184,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,Substrate_mAP,ap,pooled_oof,0.132,0.264,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,Substrate_mAP,ap,pooled_oof,0.372,0.372,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,Substrate_mAP,ap,pooled_oof,0.046,0.184,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,ap,pooled_oof,0.008,0.04,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,Substrate_mAP,roc_auc,pooled_oof,0.074,0.37,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,Substrate_mAP,roc_auc,pooled_oof,0.452,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,Substrate_mAP,roc_auc,pooled_oof,0.738,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,Substrate_mAP,roc_auc,pooled_oof,0.074,0.37,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,roc_auc,pooled_oof,0.992,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,TPS,ap,pooled_oof,0.398,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,TPS,ap,pooled_oof,0.626,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,TPS,ap,pooled_oof,0.03,0.15,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,TPS,ap,pooled_oof,0.398,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,TPS,ap,pooled_oof,0.186,0.744,holm
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,TPS,roc_auc,pooled_oof,0.542,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,TPS,roc_auc,pooled_oof,0.794,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,TPS,roc_auc,pooled_oof,0.03,0.15,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,TPS,roc_auc,pooled_oof,0.542,1.0,holm
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,TPS,roc_auc,pooled_oof,0.224,0.896,holm
