classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
PLM_Domains_AnkhBase,2xFPP,ap,pooled_oof,0.9392107485149688,0.5434140105247951,1.0,bca,bca
PLM_Domains_AnkhBase,2xFPP,roc_auc,pooled_oof,0.999847041646388,0.9986070716655358,1.0,bca,bca
PLM_Domains_AnkhBase,2xGGPP,ap,pooled_oof,0.7783531468399026,0.13293066718519708,0.9722287392088117,bca,bca
PLM_Domains_AnkhBase,2xGGPP,roc_auc,pooled_oof,0.9992800501375156,0.9969076806835552,0.9999562020452584,bca,bca
PLM_Domains_AnkhBase,CPP,ap,pooled_oof,0.6865517414700173,0.39058519002013026,0.8330690567480097,bca,bca
PLM_Domains_AnkhBase,CPP,roc_auc,pooled_oof,0.9963360117700317,0.9922596934810709,0.998165876542883,bca,bca
PLM_Domains_AnkhBase,EDSQ,ap,pooled_oof,0.9751874446337986,0.8095238299910222,0.9755033830033804,bca,bca
PLM_Domains_AnkhBase,EDSQ,roc_auc,pooled_oof,0.999899312100269,0.9995251933867791,1.0,bca,bca
PLM_Domains_AnkhBase,FPP,ap,pooled_oof,0.9143814587209345,0.8465803661765541,0.947430580091821,bca,bca
PLM_Domains_AnkhBase,FPP,roc_auc,pooled_oof,0.9951399383481385,0.9916538115313672,0.9969336693278203,bca,bca
PLM_Domains_AnkhBase,GFPP,ap,pooled_oof,0.6248646083731036,0.3930437604923219,0.7899368242922438,bca,bca
PLM_Domains_AnkhBase,GFPP,roc_auc,pooled_oof,0.9173604137413363,0.6875828010024562,0.9976486525020616,bca,bca
PLM_Domains_AnkhBase,GGPP,ap,pooled_oof,0.7306852732409872,0.6094435426944709,0.859207062934978,bca,bca
PLM_Domains_AnkhBase,GGPP,roc_auc,pooled_oof,0.9863818315178375,0.974313492042758,0.9919619294731404,bca,bca
PLM_Domains_AnkhBase,GPP,ap,pooled_oof,0.6733961752565191,0.4488431592265309,0.85742140987703,bca,bca
PLM_Domains_AnkhBase,GPP,roc_auc,pooled_oof,0.9872873447880537,0.9778495576175096,0.9925252256687904,bca,bca
PLM_Domains_AnkhBase,IDS,ap,pooled_oof,0.9830038908262564,0.9671741657192234,0.992641663632173,bca,bca
PLM_Domains_AnkhBase,IDS,roc_auc,pooled_oof,0.9997645529245044,0.9994860280565625,0.9999002729227129,bca,bca
PLM_Domains_AnkhBase,Substrate_mAP,ap,pooled_oof,0.790328824631279,0.7237535431230415,0.8493393030275606,bca,bca
PLM_Domains_AnkhBase,Substrate_mAP,roc_auc,pooled_oof,0.9851914930061964,0.9564183481414535,0.995678482527151,bca,bca
PLM_Domains_AnkhBase,TPS,ap,pooled_oof,0.99958161804601,0.9988337151630945,0.99985164554206,bca,bca
PLM_Domains_AnkhBase,TPS,roc_auc,pooled_oof,0.9999443666644423,0.9998577460059678,0.9999788158843593,bca,bca
PLM_Domains_AnkhLarge,2xFPP,ap,pooled_oof,0.9295397269361716,0.5590942376753655,1.0,bca,bca
PLM_Domains_AnkhLarge,2xFPP,roc_auc,pooled_oof,0.9998655820528864,0.9990782426550201,1.0,bca,bca
PLM_Domains_AnkhLarge,2xGGPP,ap,pooled_oof,0.8444915577639256,0.38901469880387596,1.0,bca,bca
PLM_Domains_AnkhLarge,2xGGPP,roc_auc,pooled_oof,0.999544204403607,0.9980463601525353,1.0,bca,bca
PLM_Domains_AnkhLarge,CPP,ap,pooled_oof,0.7042796113205496,0.39158628296652814,0.8402150962739958,bca,bca
PLM_Domains_AnkhLarge,CPP,roc_auc,pooled_oof,0.995767315527388,0.9898928774774902,0.9980269568775907,bca,bca
PLM_Domains_AnkhLarge,EDSQ,ap,pooled_oof,0.9855131772543191,0.8095257556675713,0.9866426885520039,bca,bca
PLM_Domains_AnkhLarge,EDSQ,roc_auc,pooled_oof,0.9999194496802153,0.9996471341963,1.0,bca,bca
PLM_Domains_AnkhLarge,FPP,ap,pooled_oof,0.9092629445937916,0.8297823263609186,0.9476686765575473,bca,bca
PLM_Domains_AnkhLarge,FPP,roc_auc,pooled_oof,0.9936756561254201,0.9876506266869375,0.9962347970735623,bca,bca
PLM_Domains_AnkhLarge,GFPP,ap,pooled_oof,0.6656256983047495,0.4456714290133117,0.8324693731795165,bca,bca
PLM_Domains_AnkhLarge,GFPP,roc_auc,pooled_oof,0.9017878749675768,0.6274545228341999,0.9974698680180974,bca,bca
PLM_Domains_AnkhLarge,GGPP,ap,pooled_oof,0.7557515894000617,0.6331678037630162,0.8743993196207592,bca,bca
PLM_Domains_AnkhLarge,GGPP,roc_auc,pooled_oof,0.9857029713786324,0.9704262098195741,0.9924976970110523,bca,bca
PLM_Domains_AnkhLarge,GPP,ap,pooled_oof,0.6987817143687776,0.48926648240474835,0.8679293749534523,bca,bca
