classifier,class,metric,ap_type,value
BLAST,2xFPP,ap,pooled_oof,0.470868756959142
BLAST,2xFPP,roc_auc,pooled_oof,0.9989617372360889
BLAST,2xGGPP,ap,pooled_oof,0.941264390405362
BLAST,2xGGPP,roc_auc,pooled_oof,0.9705649275647567
BLAST,CPP,ap,pooled_oof,0.5914440668686171
BLAST,CPP,roc_auc,pooled_oof,0.9482665610381772
BLAST,EDSQ,ap,pooled_oof,0.9494195170326152
BLAST,EDSQ,roc_auc,pooled_oof,0.9941792325165532
BLAST,FPP,ap,pooled_oof,0.7716916002990583
BLAST,FPP,roc_auc,pooled_oof,0.9698370451745286
BLAST,GFPP,ap,pooled_oof,0.6342259658179381
BLAST,GFPP,roc_auc,pooled_oof,0.8824499016799185
BLAST,GGPP,ap,pooled_oof,0.5637595893245025
BLAST,GGPP,roc_auc,pooled_oof,0.9396996629108273
BLAST,GPP,ap,pooled_oof,0.560486015543721
BLAST,GPP,roc_auc,pooled_oof,0.924698725825959
BLAST,IDS,ap,pooled_oof,0.9764565709157256
BLAST,IDS,roc_auc,pooled_oof,0.9997011253580449
BLAST,TPS,ap,pooled_oof,0.9902563045190086
BLAST,TPS,roc_auc,pooled_oof,0.9949934719356184
HMM,2xFPP,ap,pooled_oof,0.8565212049732174
HMM,2xFPP,roc_auc,pooled_oof,0.9997983730793298
HMM,2xGGPP,ap,pooled_oof,0.5771459777544969
HMM,2xGGPP,roc_auc,pooled_oof,0.9994483837384561
HMM,CPP,ap,pooled_oof,0.5867902568095991
HMM,CPP,roc_auc,pooled_oof,0.9029698581560284
HMM,EDSQ,ap,pooled_oof,0.966507735956044
HMM,EDSQ,roc_auc,pooled_oof,0.9942295764664186
HMM,FPP,ap,pooled_oof,0.5218108722448348
HMM,FPP,roc_auc,pooled_oof,0.9261631686936739
HMM,GFPP,ap,pooled_oof,0.5056845206352135
HMM,GFPP,roc_auc,pooled_oof,0.8110776373619207
HMM,GGPP,ap,pooled_oof,0.2756625807759129
HMM,GGPP,roc_auc,pooled_oof,0.6790438996223352
HMM,GPP,ap,pooled_oof,0.368415418770247
HMM,GPP,roc_auc,pooled_oof,0.8940850402708801
HMM,IDS,ap,pooled_oof,0.9407589482447621
