classifier,ap_type,metric,category,value,class,category_name
BLAST,pooled_oof,ap,di,0.5776018280965598,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,mono,0.560486015543721,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,phytoene,0.941264390405362,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,sesq,0.7716916002990583,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,sester,0.6342259658179381,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,squalene,0.470868756959142,_type_grouped,TPS_Type
BLAST,pooled_oof,ap,tri,0.9494195170326152,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,di,0.9439831119745022,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,mono,0.924698725825959,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,phytoene,0.9705649275647567,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,sesq,0.9698370451745286,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,sester,0.8824499016799185,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,squalene,0.9989617372360889,_type_grouped,TPS_Type
BLAST,pooled_oof,roc_auc,tri,0.9941792325165532,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,di,0.45453832813482964,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,mono,0.3543282563918741,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,phytoene,0.6304279404745897,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,sesq,0.6507938223859973,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,sester,0.3967244411738181,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,squalene,0.8452050794003355,_type_grouped,TPS_Type
CLEAN,pooled_oof,ap,tri,0.966507735956044,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,di,0.8274550911632742,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,mono,0.7132302505447415,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,phytoene,0.940912316322144,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,sesq,0.9055405075857156,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,sester,0.737439736383357,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,squalene,0.947324387587198,_type_grouped,TPS_Type
CLEAN,pooled_oof,roc_auc,tri,0.9942285695874212,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,di,0.5689254544091987,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,mono,0.5556041104638092,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,phytoene,0.941264390405362,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,sesq,0.6802041352409716,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,sester,0.4645782947170007,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,squalene,0.7066561181198915,_type_grouped,TPS_Type
Foldseek,pooled_oof,ap,tri,0.9514729735152283,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,di,0.904193030878192,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,mono,0.9214260351300715,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,phytoene,0.9705649275647567,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,sesq,0.975513878196774,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,sester,0.8645153624221663,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,squalene,0.9995596653456627,_type_grouped,TPS_Type
Foldseek,pooled_oof,roc_auc,tri,0.9941757084400625,_type_grouped,TPS_Type
HMM,pooled_oof,ap,di,0.43122641879275597,_type_grouped,TPS_Type
HMM,pooled_oof,ap,mono,0.368415418770247,_type_grouped,TPS_Type
HMM,pooled_oof,ap,phytoene,0.5771459777544969,_type_grouped,TPS_Type
HMM,pooled_oof,ap,sesq,0.5218108722448348,_type_grouped,TPS_Type
HMM,pooled_oof,ap,sester,0.5056845206352135,_type_grouped,TPS_Type
HMM,pooled_oof,ap,squalene,0.8565212049732174,_type_grouped,TPS_Type
HMM,pooled_oof,ap,tri,0.966507735956044,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,di,0.7910068788891818,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,mono,0.8940850402708801,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,phytoene,0.9994483837384561,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,sesq,0.9261631686936739,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,sester,0.8110776373619207,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,squalene,0.9997983730793298,_type_grouped,TPS_Type
HMM,pooled_oof,roc_auc,tri,0.9942295764664186,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,di,0.7300156003603057,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,mono,0.6987817143687776,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,phytoene,0.8444915577639256,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,sesq,0.9092629445937916,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,sester,0.6656256983047495,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,squalene,0.9295397269361716,_type_grouped,TPS_Type
PLM_Domains,pooled_oof,ap,tri,0.9855131772543191,_type_grouped,TPS_Type
