classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains,BLAST,2xFPP,ap,pooled_oof,0.4586709699770296
PLM_Domains,HMM,2xFPP,ap,pooled_oof,0.07301852196295422
PLM_Domains,Foldseek,2xFPP,ap,pooled_oof,0.2228836088162801
PLM_Domains,CLEAN,2xFPP,ap,pooled_oof,0.08433464753583608
PLM_Domains,BLAST,2xFPP,roc_auc,pooled_oof,0.0009038448167975055
PLM_Domains,HMM,2xFPP,roc_auc,pooled_oof,6.720897355660949e-05
PLM_Domains,Foldseek,2xFPP,roc_auc,pooled_oof,0.0003059167072237967
PLM_Domains,CLEAN,2xFPP,roc_auc,pooled_oof,0.0525411944656885
PLM_Domains,BLAST,2xGGPP,ap,pooled_oof,-0.09677283264143643
PLM_Domains,HMM,2xGGPP,ap,pooled_oof,0.26734558000942865
PLM_Domains,Foldseek,2xGGPP,ap,pooled_oof,-0.09677283264143643
PLM_Domains,CLEAN,2xGGPP,ap,pooled_oof,0.21406361728933587
PLM_Domains,BLAST,2xGGPP,roc_auc,pooled_oof,0.028979276838850376
PLM_Domains,HMM,2xGGPP,roc_auc,pooled_oof,9.582066515090304e-05
PLM_Domains,Foldseek,2xGGPP,roc_auc,pooled_oof,0.028979276838850376
PLM_Domains,CLEAN,2xGGPP,roc_auc,pooled_oof,0.058631888081463024
PLM_Domains,BLAST,CPP,ap,pooled_oof,0.11283554445193256
PLM_Domains,HMM,CPP,ap,pooled_oof,0.11748935451095055
PLM_Domains,Foldseek,CPP,ap,pooled_oof,0.0920919972219405
PLM_Domains,CLEAN,CPP,ap,pooled_oof,0.19258241103534168
PLM_Domains,BLAST,CPP,roc_auc,pooled_oof,0.04750075448921076
PLM_Domains,HMM,CPP,roc_auc,pooled_oof,0.09279745737135958
PLM_Domains,Foldseek,CPP,roc_auc,pooled_oof,0.04291298853176406
PLM_Domains,CLEAN,CPP,roc_auc,pooled_oof,0.14581164176852268
PLM_Domains,BLAST,EDSQ,ap,pooled_oof,0.036093660221703905
PLM_Domains,HMM,EDSQ,ap,pooled_oof,0.019005441298275083
PLM_Domains,Foldseek,EDSQ,ap,pooled_oof,0.03404020373909078
PLM_Domains,CLEAN,EDSQ,ap,pooled_oof,0.019005441298275083
PLM_Domains,BLAST,EDSQ,roc_auc,pooled_oof,0.005740217163662131
PLM_Domains,HMM,EDSQ,roc_auc,pooled_oof,0.005689873213796659
PLM_Domains,Foldseek,EDSQ,roc_auc,pooled_oof,0.0057437412401527554
PLM_Domains,CLEAN,EDSQ,roc_auc,pooled_oof,0.0056908800927940595
PLM_Domains,BLAST,FPP,ap,pooled_oof,0.1375713442947334
PLM_Domains,HMM,FPP,ap,pooled_oof,0.38745207234895684
PLM_Domains,Foldseek,FPP,ap,pooled_oof,0.22905880935282008
PLM_Domains,CLEAN,FPP,ap,pooled_oof,0.2584691222077944
PLM_Domains,BLAST,FPP,roc_auc,pooled_oof,0.02383861095089146
PLM_Domains,HMM,FPP,roc_auc,pooled_oof,0.0675124874317462
PLM_Domains,Foldseek,FPP,roc_auc,pooled_oof,0.01816177792864604
PLM_Domains,CLEAN,FPP,roc_auc,pooled_oof,0.0881351485397045
PLM_Domains,BLAST,GFPP,ap,pooled_oof,0.03139973248681138
PLM_Domains,HMM,GFPP,ap,pooled_oof,0.15994117766953597
PLM_Domains,Foldseek,GFPP,ap,pooled_oof,0.2010474035877488
PLM_Domains,CLEAN,GFPP,ap,pooled_oof,0.2689012571309314
PLM_Domains,BLAST,GFPP,roc_auc,pooled_oof,0.019337973287658294
PLM_Domains,HMM,GFPP,roc_auc,pooled_oof,0.09071023760565611
PLM_Domains,Foldseek,GFPP,roc_auc,pooled_oof,0.03727251254541053
