classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
PLM_Domains,BLAST,2xFPP,ap,pooled_oof,0.052,0.208,holm
PLM_Domains,CLEAN,2xFPP,ap,pooled_oof,0.372,0.372,holm
PLM_Domains,Foldseek,2xFPP,ap,pooled_oof,0.12,0.36,holm
PLM_Domains,HMM,2xFPP,ap,pooled_oof,0.154,0.36,holm
PLM_Domains,BLAST,2xFPP,roc_auc,pooled_oof,0.052,0.208,holm
PLM_Domains,CLEAN,2xFPP,roc_auc,pooled_oof,0.434,0.63,holm
PLM_Domains,Foldseek,2xFPP,roc_auc,pooled_oof,0.21,0.63,holm
PLM_Domains,HMM,2xFPP,roc_auc,pooled_oof,0.296,0.63,holm
PLM_Domains,BLAST,2xGGPP,ap,pooled_oof,0.206,0.412,holm
PLM_Domains,CLEAN,2xGGPP,ap,pooled_oof,0.036,0.144,holm
PLM_Domains,Foldseek,2xGGPP,ap,pooled_oof,0.206,0.412,holm
PLM_Domains,HMM,2xGGPP,ap,pooled_oof,0.12,0.36,holm
PLM_Domains,BLAST,2xGGPP,roc_auc,pooled_oof,0.734,1.0,holm
PLM_Domains,CLEAN,2xGGPP,roc_auc,pooled_oof,0.096,0.384,holm
PLM_Domains,Foldseek,2xGGPP,roc_auc,pooled_oof,0.734,1.0,holm
PLM_Domains,HMM,2xGGPP,roc_auc,pooled_oof,0.868,1.0,holm
PLM_Domains,BLAST,CPP,ap,pooled_oof,0.148,0.33,holm
PLM_Domains,CLEAN,CPP,ap,pooled_oof,0.012,0.048,holm
PLM_Domains,Foldseek,CPP,ap,pooled_oof,0.27,0.33,holm
PLM_Domains,HMM,CPP,ap,pooled_oof,0.11,0.33,holm
PLM_Domains,BLAST,CPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,CLEAN,CPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,CPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,HMM,CPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,BLAST,EDSQ,ap,pooled_oof,0.242,0.968,holm
PLM_Domains,CLEAN,EDSQ,ap,pooled_oof,0.252,0.968,holm
PLM_Domains,Foldseek,EDSQ,ap,pooled_oof,0.248,0.968,holm
PLM_Domains,HMM,EDSQ,ap,pooled_oof,0.252,0.968,holm
PLM_Domains,BLAST,EDSQ,roc_auc,pooled_oof,0.27,1.0,holm
PLM_Domains,CLEAN,EDSQ,roc_auc,pooled_oof,0.274,1.0,holm
PLM_Domains,Foldseek,EDSQ,roc_auc,pooled_oof,0.27,1.0,holm
PLM_Domains,HMM,EDSQ,roc_auc,pooled_oof,0.274,1.0,holm
PLM_Domains,BLAST,FPP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,CLEAN,FPP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,FPP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,HMM,FPP,ap,pooled_oof,0.001,0.004,holm
PLM_Domains,BLAST,FPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,CLEAN,FPP,roc_auc,pooled_oof,0.001,0.004,holm
PLM_Domains,Foldseek,FPP,roc_auc,pooled_oof,0.001,0.004,holm
