classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
BLAST,2xFPP,ap,pooled_oof,0.470868756959142,0.06965938567261318,0.7817394561252597,bca,bca
BLAST,2xFPP,roc_auc,pooled_oof,0.9989617372360889,0.9958371269798145,0.9997544043604509,bca,bca
BLAST,2xGGPP,ap,pooled_oof,0.941264390405362,0.5002505851741544,1.0,bca,bca
BLAST,2xGGPP,roc_auc,pooled_oof,0.9705649275647567,0.7498147801811235,1.0,bca,bca
BLAST,CPP,ap,pooled_oof,0.5914440668686171,0.2477980964960487,0.7707287238986243,bca,bca
BLAST,CPP,roc_auc,pooled_oof,0.9482665610381772,0.8788123125576188,0.9818543807295136,bca,bca
BLAST,EDSQ,ap,pooled_oof,0.9494195170326152,0.6668397922932177,1.0,bca,bca
BLAST,EDSQ,roc_auc,pooled_oof,0.9941792325165532,0.9375,1.0,bca,bca
BLAST,FPP,ap,pooled_oof,0.7716916002990583,0.6265821693956988,0.8487365147409313,bca,bca
BLAST,FPP,roc_auc,pooled_oof,0.9698370451745286,0.9508942289693934,0.9814032429406203,bca,bca
BLAST,GFPP,ap,pooled_oof,0.6342259658179381,0.3983111562954381,0.7897373896688267,bca,bca
BLAST,GFPP,roc_auc,pooled_oof,0.8824499016799185,0.7409697435023157,0.9452932946635793,bca,bca
BLAST,GGPP,ap,pooled_oof,0.5637595893245025,0.4688726363162957,0.6785355291110613,bca,bca
BLAST,GGPP,roc_auc,pooled_oof,0.9396996629108273,0.9067936922806428,0.9645374066324692,bca,bca
BLAST,GPP,ap,pooled_oof,0.560486015543721,0.3517779375121006,0.7629878371776991,bca,bca
BLAST,GPP,roc_auc,pooled_oof,0.924698725825959,0.8690314160697513,0.9645446660198032,bca,bca
BLAST,IDS,ap,pooled_oof,0.9764565709157256,0.9541567937618914,0.9890888064478451,bca,bca
BLAST,IDS,roc_auc,pooled_oof,0.9997011253580449,0.9994125216317741,0.9998709206097125,bca,bca
BLAST,Overall_mAP,ap,pooled_oof,0.744987277768569,0.6865026002207724,0.7862947531340372,bca,bca
BLAST,Overall_mAP,roc_auc,pooled_oof,0.9623352391240474,0.945871767761691,0.9754408973931553,bca,bca
BLAST,Substrate_mAP,ap,pooled_oof,0.6853949877813695,0.613330148109279,0.7358870015515021,bca,bca
BLAST,Substrate_mAP,roc_auc,pooled_oof,0.9535822242433512,0.9331269824118563,0.9696197369088436,bca,bca
BLAST,TPS,ap,pooled_oof,0.9902563045190086,0.9734560864336097,0.9969232002186491,bca,bca
BLAST,TPS,roc_auc,pooled_oof,0.9949934719356184,0.9850561960002214,0.9986489685478251,bca,bca
CLEAN,2xFPP,ap,pooled_oof,0.8452050794003355,0.32178201392204325,1.0,bca,bca
CLEAN,2xFPP,roc_auc,pooled_oof,0.947324387587198,0.6665878417589807,1.0,bca,bca
CLEAN,2xGGPP,ap,pooled_oof,0.6304279404745897,0.2263560651788484,0.9204345304372418,bca,bca
CLEAN,2xGGPP,roc_auc,pooled_oof,0.940912316322144,0.749683534839675,0.9998681005386982,bca,bca
CLEAN,CPP,ap,pooled_oof,0.5116972002852079,0.2373488628669938,0.698012804134895,bca,bca
CLEAN,CPP,roc_auc,pooled_oof,0.8499556737588653,0.7084447454334997,0.9217937072024456,bca,bca
CLEAN,EDSQ,ap,pooled_oof,0.966507735956044,0.8668400765651235,1.0,bca,bca
CLEAN,EDSQ,roc_auc,pooled_oof,0.9942285695874212,0.9374943453024321,1.0,bca,bca
CLEAN,FPP,ap,pooled_oof,0.6507938223859973,0.4540155111413491,0.7475934055794727,bca,bca
CLEAN,FPP,roc_auc,pooled_oof,0.9055405075857156,0.871481340462859,0.93407310640089,bca,bca
CLEAN,GFPP,ap,pooled_oof,0.3967244411738181,0.23297739041109153,0.5692918884443334,bca,bca
CLEAN,GFPP,roc_auc,pooled_oof,0.737439736383357,0.6482947041225646,0.8230407276330008,bca,bca
CLEAN,GGPP,ap,pooled_oof,0.39737945598445135,0.27948421912388505,0.5581401067292777,bca,bca
CLEAN,GGPP,roc_auc,pooled_oof,0.8049545085676831,0.7439238499325277,0.8708393690482908,bca,bca
CLEAN,GPP,ap,pooled_oof,0.3543282563918741,0.16621678300682677,0.5519774019737335,bca,bca
CLEAN,GPP,roc_auc,pooled_oof,0.7132302505447415,0.6080312866946889,0.8061790157216677,bca,bca
CLEAN,IDS,ap,pooled_oof,0.7018819360404134,0.5647291910097677,0.8199300740915817,bca,bca
CLEAN,IDS,roc_auc,pooled_oof,0.8643728593196319,0.7977131396510575,0.9246744833903892,bca,bca
CLEAN,Overall_mAP,ap,pooled_oof,0.6425390056083264,0.5853548195467018,0.7041919212475131,bca,bca
CLEAN,Overall_mAP,roc_auc,pooled_oof,0.8751844060826711,0.8539066781452451,0.8998376307026831,bca,bca
CLEAN,Substrate_mAP,ap,pooled_oof,0.5941329915065398,0.5191434942370503,0.6644135606809465,bca,bca
CLEAN,Substrate_mAP,roc_auc,pooled_oof,0.8616982437921408,0.83368346875595,0.8888266593787929,bca,bca
