classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
BLAST,2xFPP,ap,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
BLAST,2xFPP,ap,pooled_oof,Kingdom,Bacteria,0.75,0.18333333333333335,1.0,percentile
BLAST,2xFPP,ap,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
BLAST,2xFPP,ap,pooled_oof,Kingdom,Plants,0.48226120857699806,0.05263157894736842,1.0,percentile
BLAST,2xFPP,roc_auc,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
BLAST,2xFPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.9997238583816455,0.998559312268658,1.0,percentile
BLAST,2xFPP,roc_auc,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
BLAST,2xFPP,roc_auc,pooled_oof,Kingdom,Plants,0.994980340570256,0.9842446749782747,1.0,percentile
BLAST,2xGGPP,ap,pooled_oof,Kingdom,Bacteria,1.0,1.0,1.0,percentile
BLAST,2xGGPP,ap,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
BLAST,2xGGPP,ap,pooled_oof,Kingdom,Plants,0.9059667240390132,0.0006085687276037051,1.0,percentile
BLAST,2xGGPP,roc_auc,pooled_oof,Kingdom,Bacteria,1.0,1.0,1.0,percentile
BLAST,2xGGPP,roc_auc,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
BLAST,2xGGPP,roc_auc,pooled_oof,Kingdom,Plants,0.9523523523523523,0.4991387588024884,1.0,percentile
BLAST,CPP,ap,pooled_oof,Kingdom,Bacteria,0.0012612612612612612,0.00034854784751763,0.00288595905358102,percentile
BLAST,CPP,ap,pooled_oof,Kingdom,Fungi,0.6282467532467533,0.3333333333333333,1.0,percentile
BLAST,CPP,ap,pooled_oof,Kingdom,Plants,0.6755547846870588,0.3730985410836453,0.8923114493278128,percentile
BLAST,CPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.5,0.5,0.5,percentile
BLAST,CPP,roc_auc,pooled_oof,Kingdom,Fungi,0.9986622073578595,0.9963356348812907,1.0,percentile
BLAST,CPP,roc_auc,pooled_oof,Kingdom,Plants,0.9670285793217779,0.9127304404162474,0.9912442404574141,percentile
BLAST,EDSQ,ap,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
BLAST,EDSQ,ap,pooled_oof,Kingdom,Fungi,0.8895397270362643,0.500720823337658,1.0,percentile
BLAST,EDSQ,ap,pooled_oof,Kingdom,Plants,0.9543438640460801,0.9525741536722203,1.0,percentile
BLAST,EDSQ,ap,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,EDSQ,roc_auc,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
BLAST,EDSQ,roc_auc,pooled_oof,Kingdom,Fungi,0.9444444444444444,0.75,1.0,percentile
BLAST,EDSQ,roc_auc,pooled_oof,Kingdom,Plants,0.9990144665461121,0.9966086842222815,1.0,percentile
BLAST,EDSQ,roc_auc,pooled_oof,Kingdom,Protists,1.0,1.0,1.0,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Animals,0.5105506909359905,0.25377276536542054,0.7789714252192791,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Bacteria,0.5428049070759069,0.3743148034458468,0.7146388434525686,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Fungi,0.910172303784684,0.8095927081903157,0.9725174715384179,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Plants,0.7333306181098325,0.5289638755281509,0.9075391113944666,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Protists,0.8260282855731226,0.5998991690666235,0.9957792207792208,percentile
BLAST,FPP,ap,pooled_oof,Kingdom,Viruses,0.16666666666666666,0.0625,0.375,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Animals,0.86145335557268,0.6982274233154514,0.997775285276496,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.9581374622399434,0.899915422576779,0.9970178966004772,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Fungi,0.9702458330233787,0.932612277236245,0.9916105687789761,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Plants,0.9309882273721652,0.8692649482348207,0.9730123024333718,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Protists,0.9419191390232446,0.8289065477346103,0.9998720975993703,percentile
BLAST,FPP,roc_auc,pooled_oof,Kingdom,Viruses,0.5,0.5,0.5,percentile
BLAST,GFPP,ap,pooled_oof,Kingdom,Animals,0.0005307855626326964,0.0004717428856784844,0.0019430683981514687,percentile
BLAST,GFPP,ap,pooled_oof,Kingdom,Bacteria,0.2505509138259693,0.0010646655268682235,0.6004071587766171,percentile
BLAST,GFPP,ap,pooled_oof,Kingdom,Fungi,0.8569231212898255,0.7346003590778204,0.9420513352862886,percentile
BLAST,GFPP,ap,pooled_oof,Kingdom,Plants,0.003942183042137585,0.0030084660122714196,0.01219471443489437,percentile
BLAST,GFPP,roc_auc,pooled_oof,Kingdom,Animals,0.5,0.5,0.5,percentile
BLAST,GFPP,roc_auc,pooled_oof,Kingdom,Bacteria,0.6613286316472113,0.4999082226524111,0.8332161449919466,percentile
BLAST,GFPP,roc_auc,pooled_oof,Kingdom,Fungi,0.9858430525367092,0.9616524708902832,0.9983998988537408,percentile
BLAST,GFPP,roc_auc,pooled_oof,Kingdom,Plants,0.4389022758274914,0.39649577183623114,0.47345433774682893,percentile
