Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Blastp__with_minor_reactions,0.7108749869764155,0.6707177714996342,0.7510322024531968,0.9160295430600591,0.896311086958489,0.9357479991616292,0.22423839701827952,0.22157953438018166,0.2268972596563774
Foldseek__with_minor_reactions,0.5543101315186123,0.5065003873820931,0.6021198756551315,0.8469846529230249,0.8281843036015125,0.8657850022445374,0.22577392336893828,0.22490852705476388,0.22663931968311268
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.8475966483361642,0.813709133487541,0.8814841631847874,0.9918759371667666,0.9871766744111963,0.9965751999223369,0.4796096775517624,0.46712780486882405,0.4920915502347008
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.8580709808489255,0.8230806460132191,0.893061315684632,0.9937855658174987,0.9914862184860801,0.9960849131489172,0.48339599513652737,0.4697124028461786,0.49707958742687613
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8778028230251282,0.8467570509049005,0.908848595145356,0.9956013909426743,0.9933592009380471,0.9978435809473015,0.48865519721600187,0.47572630965148627,0.5015840847805174
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.848082124119533,0.8143990475701398,0.8817652006689262,0.9890995051366345,0.98170123146462,0.996497778808649,0.4784338682546695,0.46575572513159896,0.49111201137774
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.8781203967254458,0.8437736099563733,0.9124671834945184,0.9945741708435725,0.9920103994856828,0.9971379422014621,0.48832194651282873,0.47536266192656323,0.5012812310990943
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.8733975353835236,0.8530726168963043,0.8937224538707429,0.9896688854894271,0.9852880826296183,0.9940496883492359,0.4739388276914838,0.4639706982120188,0.48390695717094884
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.8528617174558085,0.8200480727843859,0.8856753621272312,0.9899554878482402,0.9833883563693245,0.9965226193271558,0.4802751059393456,0.4680043011549003,0.49254591072379084
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.878874528081218,0.8450862307745105,0.9126628253879255,0.9947989167892681,0.9923288298232175,0.9972690037553188,0.4890220201509766,0.47630801746417856,0.5017360228377746
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,0.8517378833750271,0.8188429784586461,0.8846327882914081,0.9898317231208268,0.9832548819147077,0.9964085643269459,0.47998928817818554,0.4675519924266106,0.49242658392976046
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.8791987161828081,0.8485710164064072,0.909826415959209,0.9958552445815875,0.9936330238745484,0.9980774652886265,0.4886039681403775,0.475644532303788,0.501563403976967
