classifier,target_class,n_pos,n_neg,family,a,b,c,T,eps,status,skip_reason,n_reliability_bins_used,identity_vetoed,identity_veto_reason
PLM_Domains,TPS,1256,10118,temperature,,,,0.17496690060629813,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,IDS,181,11193,temperature,,,,0.3428884275739909,1e-06,fit,,10,True,raw-score reliability has 9 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,FPP,597,10777,logit_platt,2.0278563047859017,-1.1884047199940366,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,GPP,298,11076,logit_platt,1.6839350709856695,-1.1203435612647814,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,GGPP,230,11144,temperature,,,,0.4158961572172674,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM_Domains,EDSQ,88,11286,temperature,,,,0.662608364665416,1e-06,fit_caveat,"n_pos=88 in [50, 100); calibration fitted with caveat",5,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=5)
PLM_Domains,CPP,94,11280,temperature,,,,0.6008492522280916,1e-06,fit_caveat,"n_pos=94 in [50, 100); calibration fitted with caveat",6,True,raw-score reliability has 7 bin(s) outside Wilson 95% CI (n_bins_eff=6)
PLM_Domains,GFPP,61,11313,temperature,,,,0.6382436088881311,1e-06,fit_caveat,"n_pos=61 in [50, 100); calibration fitted with caveat",4,True,raw-score reliability has 4 bin(s) outside Wilson 95% CI (n_bins_eff=4)
PLM_Domains,2xFPP,19,11355,temperature,,,,0.4530650198477981,1e-06,fit_borderline,"n_pos=19 in [15, 50); calibration borderline — recommend deployment via upper p̂ only",2,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2)
PLM_Domains,2xGGPP,17,11357,temperature,,,,0.5780356239513783,1e-06,fit_borderline,"n_pos=17 in [15, 50); calibration borderline — recommend deployment via upper p̂ only",2,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2)
PLM,TPS,1256,10118,temperature,,,,0.18034291949578019,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,IDS,181,11193,logit_platt,4.014447659048174,3.939173972808331,,,1e-06,fit,,10,True,raw-score reliability has 9 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,FPP,597,10777,logit_platt,2.2080817755138917,-0.9026926883702253,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,GPP,298,11076,logit_platt,1.6906449345161751,-0.8184177084422726,,,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,GGPP,230,11144,temperature,,,,0.42146483468798457,1e-06,fit,,10,True,raw-score reliability has 10 bin(s) outside Wilson 95% CI (n_bins_eff=10)
PLM,EDSQ,88,11286,temperature,,,,0.5900121238970738,1e-06,fit_caveat,"n_pos=88 in [50, 100); calibration fitted with caveat",5,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=5)
PLM,CPP,94,11280,temperature,,,,0.5751897272608737,1e-06,fit_caveat,"n_pos=94 in [50, 100); calibration fitted with caveat",6,True,raw-score reliability has 7 bin(s) outside Wilson 95% CI (n_bins_eff=6)
PLM,GFPP,61,11313,temperature,,,,0.6057195336651411,1e-06,fit_caveat,"n_pos=61 in [50, 100); calibration fitted with caveat",4,True,raw-score reliability has 4 bin(s) outside Wilson 95% CI (n_bins_eff=4)
PLM,2xFPP,19,11355,temperature,,,,0.5980302335172989,1e-06,fit_borderline,"n_pos=19 in [15, 50); calibration borderline — recommend deployment via upper p̂ only",2,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2)
PLM,2xGGPP,17,11357,logit_platt,3.547864741848265,6.085393454244606,,,1e-06,fit_borderline,"n_pos=17 in [15, 50); calibration borderline — recommend deployment via upper p̂ only",2,True,raw-score reliability has 2 bin(s) outside Wilson 95% CI (n_bins_eff=2)
