classifier,target_class,family,drift_flagged,spread_a,spread_b,spread_c,spread_T,threshold
PLM_Domains,TPS,temperature,False,,,,0.025535462305465745,0.5
PLM_Domains,IDS,temperature,False,,,,0.06100525636398913,0.5
PLM_Domains,FPP,logit_platt,False,0.07661525468665342,0.20515095730677954,,,0.5
PLM_Domains,GPP,logit_platt,False,0.029882153023625353,0.10160406829402019,,,0.5
PLM_Domains,GGPP,temperature,False,,,,0.02832300754799752,0.5
PLM_Domains,EDSQ,temperature,False,,,,0.06978306739981124,0.5
PLM_Domains,CPP,temperature,False,,,,0.03829275292489526,0.5
PLM_Domains,GFPP,temperature,False,,,,0.08562915469485848,0.5
PLM_Domains,2xFPP,temperature,False,,,,0.1349744299155607,0.5
PLM_Domains,2xGGPP,temperature,False,,,,0.03260139785920449,0.5
PLM,TPS,temperature,False,,,,0.020624088143693767,0.5
PLM,IDS,logit_platt,False,0.10776846986761836,0.2815138052356637,,,0.5
PLM,FPP,logit_platt,False,0.05147799233651045,0.2289438629343759,,,0.5
PLM,GPP,logit_platt,False,0.016230521363208454,0.1746870512072006,,,0.5
PLM,GGPP,temperature,False,,,,0.01872052561919592,0.5
PLM,EDSQ,temperature,False,,,,0.06926003199993319,0.5
PLM,CPP,temperature,False,,,,0.03385095240971369,0.5
PLM,GFPP,temperature,False,,,,0.08463869953249649,0.5
PLM,2xFPP,temperature,False,,,,0.049143017130180065,0.5
PLM,2xGGPP,logit_platt,False,0.28110929202049095,0.38182965288360365,,,0.5
