classifier,target_class,family,metric,point,ci_low,ci_high,n_resamples_used,ci
PLM_Domains,TPS,temperature,log_loss,0.004683171661170463,0.002592957094117557,0.0072063797946178764,1000,0.95
PLM_Domains,TPS,temperature,brier,0.001203628946122328,0.0006353566629379533,0.0018420538487465697,1000,0.95
PLM_Domains,TPS,temperature,ece,0.001006922528874617,0.0002563015223271141,0.002038497958352698,1000,0.95
PLM_Domains,TPS,temperature,mce,0.009355866379205324,0.0019241291308319745,0.018589796982887794,1000,0.95
PLM_Domains,IDS,temperature,log_loss,0.004116024989942324,0.0020410004931815393,0.007135023420106513,1000,0.95
PLM_Domains,IDS,temperature,brier,0.001185977708100187,0.0005261868004889023,0.0020779537006395407,1000,0.95
PLM_Domains,IDS,temperature,ece,0.0007331841035998894,5.8023363797014225e-05,0.0020708444464414564,1000,0.95
PLM_Domains,IDS,temperature,mce,0.006905631321886541,0.000275519338994959,0.01983671538970698,1000,0.95
PLM_Domains,FPP,logit_platt,log_loss,0.046296462448792895,0.03146460534450971,0.06596183793652804,1000,0.95
PLM_Domains,FPP,logit_platt,brier,0.013931440885190596,0.009058857708726172,0.02033464383370633,1000,0.95
PLM_Domains,FPP,logit_platt,ece,0.0007787677849799661,0.0005854377505898168,0.004978525388502572,1000,0.95
PLM_Domains,FPP,logit_platt,mce,0.006672812457461763,0.002659077719270259,0.037754327917007814,1000,0.95
PLM_Domains,GPP,logit_platt,log_loss,0.04242697296140946,0.030309183198196966,0.060248966836022044,1000,0.95
PLM_Domains,GPP,logit_platt,brier,0.012891235465880472,0.008511786175061348,0.01986601295063726,1000,0.95
PLM_Domains,GPP,logit_platt,ece,0.0017194297622087182,0.0007381065489405638,0.004913432852344142,1000,0.95
PLM_Domains,GPP,logit_platt,mce,0.03734630235615499,0.01846500180349724,0.14510778771325836,1000,0.95
PLM_Domains,GGPP,temperature,log_loss,0.032191076649251936,0.025762939717053377,0.03985668750611488,1000,0.95
PLM_Domains,GGPP,temperature,brier,0.009088122829123746,0.007241128233367397,0.011332471471227583,1000,0.95
PLM_Domains,GGPP,temperature,ece,0.00197926620347775,0.00098788942078543,0.004841553067006306,1000,0.95
PLM_Domains,GGPP,temperature,mce,0.009276363750719469,0.002254578203338703,0.038419212044117176,1000,0.95
PLM_Domains,EDSQ,temperature,log_loss,0.0015936656066665416,4.2423620849707626e-05,0.004494549447607838,995,0.95
PLM_Domains,EDSQ,temperature,brier,0.0002793363765766318,4.706808303165903e-06,0.0006936971145604578,995,0.95
PLM_Domains,EDSQ,temperature,ece,0.0002301623328913892,1.6997896316347467e-05,0.0006481778107505607,995,0.95
PLM_Domains,EDSQ,temperature,mce,0.0009379558347004102,0.00031530048379896077,0.004879074779752473,995,0.95
PLM_Domains,CPP,temperature,log_loss,0.013906587891327763,0.00829667627113449,0.02120031380651321,1000,0.95
PLM_Domains,CPP,temperature,brier,0.003813426797644072,0.002015121877660795,0.00613468445915025,1000,0.95
PLM_Domains,CPP,temperature,ece,0.001040935486018451,0.0004204011728892968,0.004419661822576923,1000,0.95
PLM_Domains,CPP,temperature,mce,0.981653658321423,0.018591573733187306,0.9894775342744218,1000,0.95
