classifier,target_class,family,n_reliability_bins_used,log_loss_raw,log_loss_cal,brier_raw,brier_cal,ece_raw,ece_cal,mce_raw,mce_cal,n,n_pos
PLM_Domains,TPS,temperature,10,0.14435567407571007,0.004683171661170463,0.021880082476145066,0.001203628946122328,0.1274019555052787,0.001006922528874617,0.2064366197580782,0.009355866379205324,11374,1256
PLM_Domains,IDS,temperature,10,0.03328942050479405,0.004116024989942324,0.0024900472305112,0.001185977708100187,0.025051972649431258,0.0007331841035998894,0.04274844776166926,0.006905631321886541,11374,181
PLM_Domains,FPP,logit_platt,10,0.09895667776625008,0.046296462448792895,0.018367222426057817,0.013931440885190596,0.0583469092898485,0.0007787677849799661,0.09398828323380909,0.006672812457461763,11374,597
PLM_Domains,GPP,logit_platt,10,0.07402579664717177,0.04242697296140946,0.01679454589795441,0.012891235465880472,0.040803428147335605,0.0017194297622087182,0.16016645376374966,0.03734630235615499,11374,298
PLM_Domains,GGPP,temperature,10,0.08443791534242755,0.032191076649251936,0.012941445044016165,0.009088122829123746,0.05714434137144867,0.00197926620347775,0.09005019906072367,0.009276363750719469,11374,230
PLM_Domains,EDSQ,temperature,5,0.00318077744576726,0.0015936656066665416,0.00028717952942408913,0.0002793363765766318,0.0019519276275017006,0.0002301623328913892,0.004331417091994583,0.0009379558347004102,11374,88
PLM_Domains,CPP,temperature,6,0.023703838662028895,0.013906587891327763,0.0037808947916855573,0.003813426797644072,0.012813135426346513,0.001040935486018451,0.9058880496232731,0.981653658321423,11374,94
PLM_Domains,GFPP,temperature,4,0.02622931619576189,0.01716757339442966,0.0029873919135289073,0.002796014489055137,0.014767928706843066,0.0032540759446273455,0.08801065148730658,0.01882777279073322,11374,61
PLM_Domains,2xFPP,temperature,2,0.006213579501696636,0.0016431713709221792,0.0005185454129477565,0.00042708198157914777,0.004333606734367201,0.0004792619371584077,0.18138663605029137,0.04461130376568734,11374,19
PLM_Domains,2xGGPP,temperature,2,0.008159456185245694,0.0030599647473453923,0.0008349022186056076,0.0008501905893492051,0.005333822709571645,0.000655648147965623,0.40049762902637964,0.33766864365304416,11374,17
PLM,TPS,temperature,10,0.18879295132890273,0.008589423782686853,0.03344769832905553,0.0017912213566542738,0.16155428646633233,0.0007099500409337219,0.22957927724020794,0.004858947393726387,11374,1256
PLM,IDS,logit_platt,10,0.043348911042187355,0.004137189849497287,0.0037589368613098694,0.0009376444750187018,0.0308703456130594,0.00045223197377741183,0.05090412128287558,0.00340327564190962,11374,181
PLM,FPP,logit_platt,10,0.1116699242541475,0.04393692870423557,0.018684779514670083,0.012618713142539541,0.07122429349412622,0.0011496769283756104,0.10926425985247139,0.004480378745371351,11374,597
PLM,GPP,logit_platt,10,0.0800620551184047,0.04539443426704022,0.01581654160529802,0.013347014948786555,0.04512603865858678,0.002943514414016338,0.11318202759822171,0.025251125731670765,11374,298
PLM,GGPP,temperature,10,0.08929170819663253,0.03194934046590142,0.012975401535456352,0.008886863367918683,0.06028572316948993,0.004714868924966347,0.0916557048056298,0.02993988159802105,11374,230
PLM,EDSQ,temperature,5,0.00438773431921478,0.0017941298661850466,0.0003754842121140784,0.00029272382866252266,0.002111674850215614,0.0001444426440756219,0.006729980076236486,0.0006258344151808953,11374,88
PLM,CPP,temperature,6,0.029526129912141923,0.015295004096070644,0.004143426310258572,0.00405997312687157,0.01667683147934267,0.0013652678419479518,0.8792688708753886,0.9746020032646084,11374,94
PLM,GFPP,temperature,4,0.025196751345863716,0.015479455593462699,0.002919663166240384,0.0026678843073410967,0.014066127619386422,0.0009648549603313137,0.21774614579764395,0.9186881035367336,11374,61
PLM,2xFPP,temperature,2,0.005950651313272924,0.0025006405486805426,0.0006565304353941,0.0006606379856558374,0.003308306423676914,0.0007675836193068578,0.27134661279468075,0.16965381048764427,11374,19
PLM,2xGGPP,logit_platt,2,0.007188876486753747,0.0019928985848774003,0.000950765000530733,0.0004937446710390501,0.0037403882685803644,9.531845710244659e-06,0.6117992871277209,0.007773491643038533,11374,17
