classifier,target_class,family,fold,n,n_pos,log_loss,brier,ece,mce,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_mean,ece_sd,mce_mean,mce_sd
PLM_Domains,TPS,temperature,0,2325,178,0.009427769731076273,0.002382375489538191,0.0014090030987407287,0.013925293696939844,,,,,,,,
PLM_Domains,TPS,temperature,1,2164,348,0.004209403014075698,0.0010718416471548425,0.00139309997207901,0.012428627677193327,,,,,,,,
PLM_Domains,TPS,temperature,2,2100,164,0.0031518028255069267,0.000841737562244716,0.00018928131507109472,0.0018617330399662846,,,,,,,,
PLM_Domains,TPS,temperature,3,2577,269,0.0038353422961664657,0.0011430896596856448,0.0005855898779528921,0.005723088012679005,,,,,,,,
PLM_Domains,TPS,temperature,4,2208,297,0.0025974722355775197,0.0005064295117084127,0.0018290110720103738,0.01278594833637492,,,,,,,,
PLM_Domains,TPS,temperature,__mean_sd__,11374,1256,0.004644,0.001189,0.001081,0.009345,0.004644358020480576,0.002745094821646842,0.0011890947740663613,0.0007117711228462819,0.0010811970671708198,0.0006717712030717871,0.009344938152630676,0.00527838768648361
PLM_Domains,IDS,temperature,0,2325,52,0.008642349151178121,0.002611606770364538,0.0025153878147300603,0.025192028378607123,,,,,,,,
PLM_Domains,IDS,temperature,1,2164,36,0.0023933449856348363,0.0005013387671816982,0.0003834430435278366,0.0031442485020097832,,,,,,,,
PLM_Domains,IDS,temperature,2,2100,24,0.0031080039076272596,0.0011502979972413418,0.0013796224297348636,0.013808966537697975,,,,,,,,
PLM_Domains,IDS,temperature,3,2577,46,0.003034757016446151,0.000670000010210143,0.0013943818999712422,0.013357434927865258,,,,,,,,
PLM_Domains,IDS,temperature,4,2208,23,0.003258890793841532,0.0009919437491550842,0.00048026109487199584,0.0038182228035391896,,,,,,,,
PLM_Domains,IDS,temperature,__mean_sd__,11374,181,0.004087,0.001185,0.001231,0.011864,0.0040874691709455796,0.002567639265885125,0.0011850374588305613,0.0008376006634969416,0.0012306192565671998,0.0008631910715181938,0.011864180229943866,0.009005806181248667
PLM_Domains,FPP,logit_platt,0,2325,101,0.029153886375071283,0.008879683796611653,0.00521553262569263,0.04542385433481483,,,,,,,,
PLM_Domains,FPP,logit_platt,1,2164,137,0.06028216740002709,0.019870492394935598,0.01892728600569502,0.16927783399902052,,,,,,,,
