classifier,target_class,family,parameter,point,ci_low,ci_high,n_resamples_used,ci
PLM_Domains,TPS,temperature,T,0.17496690060629813,0.1470666602577758,0.19351439659202607,1000,0.95
PLM_Domains,IDS,temperature,T,0.3428884275739909,0.25763331321119054,0.3970373830314714,1000,0.95
PLM_Domains,FPP,logit_platt,a,2.0278563047859017,1.816434749884739,2.361998460107505,1000,0.95
PLM_Domains,FPP,logit_platt,b,-1.1884047199940366,-1.7220803142607357,-0.5608901174005115,1000,0.95
PLM_Domains,GPP,logit_platt,a,1.6839350709856695,1.449452315775558,1.966154462402552,1000,0.95
PLM_Domains,GPP,logit_platt,b,-1.1203435612647814,-1.7278311459439328,-0.5540595099524251,1000,0.95
PLM_Domains,GGPP,temperature,T,0.4158961572172674,0.37835275979630323,0.44586615403389573,1000,0.95
PLM_Domains,EDSQ,temperature,T,0.662608364665416,0.4759975682174084,0.7408659906670028,1000,0.95
PLM_Domains,CPP,temperature,T,0.6008492522280916,0.528156628435103,0.6623669270015666,1000,0.95
PLM_Domains,GFPP,temperature,T,0.6382436088881311,0.5258649082757691,0.7424198187871324,1000,0.95
PLM_Domains,2xFPP,temperature,T,0.4530650198477981,0.20173835866601184,0.5605146861218069,1000,0.95
PLM_Domains,2xGGPP,temperature,T,0.5780356239513783,0.44432022004393434,0.6356341805831986,1000,0.95
PLM,TPS,temperature,T,0.18034291949578019,0.14865050106524133,0.20190336223359914,1000,0.95
PLM,IDS,logit_platt,a,4.014447659048174,3.203387367237208,5.257188663373907,1000,0.95
PLM,IDS,logit_platt,b,3.939173972808331,1.4113873278678004,6.351626730811508,1000,0.95
PLM,FPP,logit_platt,a,2.2080817755138917,1.9784491276259588,2.5691389741538293,1000,0.95
PLM,FPP,logit_platt,b,-0.9026926883702253,-1.4001149503730173,-0.2495461589551355,1000,0.95
PLM,GPP,logit_platt,a,1.6906449345161751,1.4693537515926685,1.9450390054776532,1000,0.95
PLM,GPP,logit_platt,b,-0.8184177084422726,-1.5193195321697563,-0.09280603762299806,1000,0.95
PLM,GGPP,temperature,T,0.42146483468798457,0.39299685528445255,0.44858480076670965,1000,0.95
PLM,EDSQ,temperature,T,0.5900121238970738,0.39536783131715597,0.6659042873214056,1000,0.95
PLM,CPP,temperature,T,0.5751897272608737,0.5006656100644044,0.6356405492473095,1000,0.95
PLM,GFPP,temperature,T,0.6057195336651411,0.4810175137037002,0.7089505083394133,1000,0.95
PLM,2xFPP,temperature,T,0.5980302335172989,0.43865264435205503,0.6777316153896722,1000,0.95
PLM,2xGGPP,logit_platt,a,3.547864741848265,2.3746159021748627,5.130606160300085,1000,0.95
PLM,2xGGPP,logit_platt,b,6.085393454244606,2.560877005671132,9.595255786299589,1000,0.95
