classifier,target_class,held_out_fold,family,a,b,c,T,n_train,n_pos_train
PLM_Domains,TPS,0,temperature,,,,0.15740920214366866,9049,1078
PLM_Domains,TPS,1,temperature,,,,0.17734418849723033,9210,908
PLM_Domains,TPS,2,temperature,,,,0.17311173457872867,9274,1092
PLM_Domains,TPS,3,temperature,,,,0.1751298415473101,8797,987
PLM_Domains,TPS,4,temperature,,,,0.18738979992937949,9166,959
PLM_Domains,IDS,0,temperature,,,,0.2861543372894639,9049,129
PLM_Domains,IDS,1,temperature,,,,0.35140550435512025,9210,145
PLM_Domains,IDS,2,temperature,,,,0.33888953910210823,9274,157
PLM_Domains,IDS,3,temperature,,,,0.3677999527314545,8797,135
PLM_Domains,IDS,4,temperature,,,,0.347437605336629,9166,158
PLM_Domains,FPP,0,logit_platt,2.007652083894249,-1.2413491847518106,,,9049,496
PLM_Domains,FPP,1,logit_platt,2.0248988203002787,-0.9160539650367157,,,9210,460
PLM_Domains,FPP,2,logit_platt,2.1028501814699982,-1.3646733843753676,,,9274,517
PLM_Domains,FPP,3,logit_platt,2.1404374580851306,-1.28039029834971,,,8797,459
PLM_Domains,FPP,4,logit_platt,1.907778126434988,-1.1314187614929945,,,9166,456
PLM_Domains,GPP,0,logit_platt,1.6685062908221786,-1.0293404119161558,,,9049,270
PLM_Domains,GPP,1,logit_platt,1.7036775209635084,-1.245426640479755,,,9210,209
PLM_Domains,GPP,2,logit_platt,1.7299988747450756,-1.1633847717139116,,,9274,272
PLM_Domains,GPP,3,logit_platt,1.6806186821243985,-1.0520761005352839,,,8797,225
PLM_Domains,GPP,4,logit_platt,1.6497203409014476,-1.143511067886784,,,9166,216
PLM_Domains,GGPP,0,temperature,,,,0.4269406955253064,9049,194
PLM_Domains,GGPP,1,temperature,,,,0.4262673752886975,9210,175
PLM_Domains,GGPP,2,temperature,,,,0.39301133185450804,9274,180
PLM_Domains,GGPP,3,temperature,,,,0.399651190177791,8797,193
PLM_Domains,GGPP,4,temperature,,,,0.43311094133948386,9166,178
PLM_Domains,EDSQ,0,temperature,,,,0.6808092623127013,9049,85
PLM_Domains,EDSQ,1,temperature,,,,0.6827645525382176,9210,43
PLM_Domains,EDSQ,2,temperature,,,,0.6458543684021469,9274,84
PLM_Domains,EDSQ,3,temperature,,,,0.6871976798726707,8797,86
PLM_Domains,EDSQ,4,temperature,,,,0.5717984772655181,9166,54
PLM_Domains,CPP,0,temperature,,,,0.5804760694933934,9049,89
PLM_Domains,CPP,1,temperature,,,,0.6268029518705217,9210,59
PLM_Domains,CPP,2,temperature,,,,0.5689798327229642,9274,85
PLM_Domains,CPP,3,temperature,,,,0.6051433806369689,8797,72
PLM_Domains,CPP,4,temperature,,,,0.6303381517464667,9166,71
PLM_Domains,GFPP,0,temperature,,,,0.6578506499296384,9049,44
PLM_Domains,GFPP,1,temperature,,,,0.6538452368600282,9210,55
PLM_Domains,GFPP,2,temperature,,,,0.5284905570060712,9274,48
PLM_Domains,GFPP,3,temperature,,,,0.6683253067900675,8797,45
PLM_Domains,GFPP,4,temperature,,,,0.6566248948885539,9166,52
PLM_Domains,2xFPP,0,temperature,,,,0.4948085554568233,9049,12
PLM_Domains,2xFPP,1,temperature,,,,0.49528135565310893,9210,11
PLM_Domains,2xFPP,2,temperature,,,,0.45375880847017713,9274,18
PLM_Domains,2xFPP,3,temperature,,,,0.2999566489584857,8797,17
PLM_Domains,2xFPP,4,temperature,,,,0.4918135118974007,9166,18
PLM_Domains,2xGGPP,0,temperature,,,,0.5933106225176217,9049,16
PLM_Domains,2xGGPP,1,temperature,,,,0.5620215612878815,9210,15
PLM_Domains,2xGGPP,2,temperature,,,,0.5474217885236263,9274,9
PLM_Domains,2xGGPP,3,temperature,,,,0.5736752054829802,8797,14
PLM_Domains,2xGGPP,4,temperature,,,,0.598770290742616,9166,14
PLM,TPS,0,temperature,,,,0.17269834725587982,9049,1078
PLM,TPS,1,temperature,,,,0.18281288201175522,9210,908
PLM,TPS,2,temperature,,,,0.16851281155023293,9274,1092
PLM,TPS,3,temperature,,,,0.17551047624838706,8797,987
PLM,TPS,4,temperature,,,,0.19281768980788508,9166,959
PLM,IDS,0,logit_platt,4.034537973900017,3.7725054744110817,,,9049,129
PLM,IDS,1,logit_platt,4.1736336276090515,4.330556566897685,,,9210,145
PLM,IDS,2,logit_platt,3.949596564971486,4.077482020842733,,,9274,157
PLM,IDS,3,logit_platt,3.6380490502994616,2.971843506058287,,,8797,135
PLM,IDS,4,logit_platt,4.053035975971831,3.979875851375942,,,9166,158
PLM,FPP,0,logit_platt,2.165013714566307,-0.9678646438391916,,,9049,496
PLM,FPP,1,logit_platt,2.266654839048748,-0.628216522028409,,,9210,460
PLM,FPP,2,logit_platt,2.256407728920695,-1.0621082459599245,,,9274,517
PLM,FPP,3,logit_platt,2.286807406188247,-0.9344982154287839,,,8797,459
PLM,FPP,4,logit_platt,2.1210897269599958,-0.8832537316934487,,,9166,456
PLM,GPP,0,logit_platt,1.680792755091311,-0.6931770298920962,,,9049,270
PLM,GPP,1,logit_platt,1.707076597514499,-1.0122564219880066,,,9210,209
PLM,GPP,2,logit_platt,1.7189243798793088,-0.8337690037065694,,,9274,272
PLM,GPP,3,logit_platt,1.6752204766420498,-0.7409037785929321,,,8797,225
PLM,GPP,4,logit_platt,1.6814791252051404,-0.8527799726361063,,,9166,216
PLM,GGPP,0,temperature,,,,0.4338170474624446,9049,194
PLM,GGPP,1,temperature,,,,0.4242870948700435,9210,175
PLM,GGPP,2,temperature,,,,0.4104969327270227,9274,180
PLM,GGPP,3,temperature,,,,0.40721224814519397,8797,193
