classifier,target_class,family,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,TPS,temperature,1,2.4579034338827296e-08,7.674926206377106e-07,1138,0,3.761363570639901e-07,0.0,0.0,0.0033643895965955344
PLM_Domains,TPS,temperature,2,7.674926206377106e-07,2.208915464101512e-06,1137,0,1.4031732718145108e-06,0.0,0.0,0.0033673386384227223
PLM_Domains,TPS,temperature,3,2.208915464101512e-06,5.040485087528072e-06,1137,0,3.420280124183204e-06,0.0,0.0,0.0033673386384227223
PLM_Domains,TPS,temperature,4,5.040485087528072e-06,1.1754725284758392e-05,1138,0,7.972304943891328e-06,0.0,0.0,0.0033643895965955344
PLM_Domains,TPS,temperature,5,1.1754725284758392e-05,3.074461161716549e-05,1137,0,1.9670464785008928e-05,0.0,0.0,0.0033673386384227223
PLM_Domains,TPS,temperature,6,3.074461161716549e-05,0.00010023557490149444,1137,0,5.815731915975633e-05,0.0,0.0,0.0033673386384227223
PLM_Domains,TPS,temperature,7,0.00010023557490149444,0.00027281252256478164,1138,0,0.00017640616917481822,0.0,0.0,0.0033643895965955344
PLM_Domains,TPS,temperature,8,0.00027281252256478164,0.0007215421335034899,1137,0,0.00044932994806826554,0.0,0.0,0.0033673386384227223
PLM_Domains,TPS,temperature,9,0.0007215421335034899,0.99999981835131,1137,118,0.11313774852520357,0.10378188214599825,0.08736839811020426,0.12286376733677808
PLM_Domains,TPS,temperature,10,0.99999981835131,1.0,1138,1138,0.9999999969984781,1.0,0.9966356104034043,0.9999999999999999
PLM_Domains,IDS,temperature,1,1.9729551755027634e-18,7.394143154479758e-07,1138,0,1.9853048934974813e-07,0.0,0.0,0.0033643895965955344
PLM_Domains,IDS,temperature,2,7.394143154479758e-07,2.1647362870146276e-06,1137,0,1.4043081468064753e-06,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,3,2.1647362870146276e-06,4.294201776705176e-06,1137,0,3.128843041954601e-06,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,4,4.294201776705176e-06,9.300382969011886e-06,1138,0,6.345330347285072e-06,0.0,0.0,0.0033643895965955344
PLM_Domains,IDS,temperature,5,9.300382969011886e-06,5.123516640894037e-05,1137,0,2.9570977826502125e-05,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,6,5.123516640894037e-05,7.155248191657129e-05,1137,0,6.184730331874362e-05,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,7,7.155248191657129e-05,9.166635547450545e-05,1138,0,8.164493414325329e-05,0.0,0.0,0.0033643895965955344
PLM_Domains,IDS,temperature,8,9.166635547450545e-05,0.00011899630965661313,1137,0,0.00010400066908957238,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,9,0.00011899630965661313,0.00016997281476236148,1137,0,0.000140570615963514,0.0,0.0,0.0033673386384227223
PLM_Domains,IDS,temperature,10,0.00016997281476236148,0.9999999969960915,1137,180,0.15140571432455147,0.158311345646438,0.13824830209041308,0.18067555201869376
PLM_Domains,IDS,temperature,11,0.9999999969960915,1.0,1,1,0.9999999969960915,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,1,2.8364215444396995e-13,0.00022098424417649215,1138,0,0.00014403364961956626,0.0,0.0,0.0033643895965955344
PLM_Domains,FPP,logit_platt,2,0.00022098424417649215,0.0003266652151318372,1137,0,0.00027324691746892754,0.0,0.0,0.0033673386384227223
PLM_Domains,FPP,logit_platt,3,0.0003266652151318372,0.0004419650039906763,1137,0,0.0003815418054096861,0.0,0.0,0.0033673386384227223
PLM_Domains,FPP,logit_platt,4,0.0004419650039906763,0.0005992778335034053,1138,0,0.0005156740915066637,0.0,0.0,0.0033643895965955344
PLM_Domains,FPP,logit_platt,5,0.0005992778335034053,0.0009261978008417727,1137,0,0.0007301786736352149,0.0,0.0,0.0033673386384227223
PLM_Domains,FPP,logit_platt,6,0.0009261978008417727,0.0017590022809431888,1137,1,0.0013161208255238763,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM_Domains,FPP,logit_platt,7,0.0017590022809431888,0.00251311638455094,1138,3,0.0021463080257786023,0.0026362038664323375,0.0008969271709489187,0.0077221317247858304
PLM_Domains,FPP,logit_platt,8,0.00251311638455094,0.003532160746943415,1137,3,0.0029891772984683125,0.002638522427440633,0.0008977163741823919,0.007728897522085066
PLM_Domains,FPP,logit_platt,9,0.003532160746943415,0.006306080350461065,1137,2,0.004493078239405935,0.001759014951627089,0.0004825078564778145,0.006391014287174731
PLM_Domains,FPP,logit_platt,10,0.006306080350461065,0.9933271875425382,1137,587,0.5179985235205093,0.5162708883025505,0.4872170265508086,0.545215170872567
PLM_Domains,FPP,logit_platt,11,0.9933271875425382,1.0,1,1,0.9933271875425382,1.0,0.2065432914738929,1.0
PLM_Domains,GPP,logit_platt,1,1.726051289226354e-11,0.0002576446049743747,1138,0,0.00016789468332823056,0.0,0.0,0.0033643895965955344
PLM_Domains,GPP,logit_platt,2,0.0002576446049743747,0.00038157708013859294,1137,0,0.00032333940930582054,0.0,0.0,0.0033673386384227223
PLM_Domains,GPP,logit_platt,3,0.00038157708013859294,0.0004993313362360505,1137,0,0.0004405025566167365,0.0,0.0,0.0033673386384227223
PLM_Domains,GPP,logit_platt,4,0.0004993313362360505,0.000629184860637843,1138,0,0.0005642472710072029,0.0,0.0,0.0033643895965955344
PLM_Domains,GPP,logit_platt,5,0.000629184860637843,0.000795584302730009,1137,0,0.0007079484722110911,0.0,0.0,0.0033673386384227223
PLM_Domains,GPP,logit_platt,6,0.000795584302730009,0.0010097774944988968,1137,0,0.0008943045428487199,0.0,0.0,0.0033673386384227223
