classifier,target_class,family,fold,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,TPS,temperature,0,1,5.1604196429173495e-08,5.901431058992489e-07,233,0,3.635830112965759e-07,0.0,0.0,0.016220123491819005
PLM_Domains,TPS,temperature,0,2,5.901431058992489e-07,1.0250374937509937e-06,232,0,7.976235599540304e-07,0.0,0.0,0.016288898989830464
PLM_Domains,TPS,temperature,0,3,1.0250374937509937e-06,1.698733311055801e-06,233,0,1.3496880726975618e-06,0.0,0.0,0.016220123491819005
PLM_Domains,TPS,temperature,0,4,1.698733311055801e-06,2.5520899933608904e-06,232,0,2.109892112812153e-06,0.0,0.0,0.016288898989830464
PLM_Domains,TPS,temperature,0,5,2.5520899933608904e-06,3.844569393642667e-06,232,0,3.1690342496413417e-06,0.0,0.0,0.016288898989830464
PLM_Domains,TPS,temperature,0,6,3.844569393642667e-06,5.858984340290131e-06,233,0,4.763810599106536e-06,0.0,0.0,0.016220123491819005
PLM_Domains,TPS,temperature,0,7,5.858984340290131e-06,9.915825314102064e-06,232,0,7.633348780335172e-06,0.0,0.0,0.016288898989830464
PLM_Domains,TPS,temperature,0,8,9.915825314102064e-06,2.110011903744575e-05,233,0,1.3970467383709997e-05,0.0,0.0,0.016220123491819005
PLM_Domains,TPS,temperature,0,9,2.110011903744575e-05,0.0007975908786026069,232,0,0.00010083533514485996,0.0,0.0,0.016288898989830464
PLM_Domains,TPS,temperature,0,10,0.0007975908786026069,1.0,233,178,0.7778737915510171,0.7639484978540773,0.7054148150200802,0.8139196262267278
PLM_Domains,TPS,temperature,1,1,9.83310291266516e-06,4.048518891015597e-05,217,0,2.937795927357799e-05,0.0,0.0,0.017395273354295568
PLM_Domains,TPS,temperature,1,2,4.048518891015597e-05,6.185757409238679e-05,216,0,5.136817115794312e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,TPS,temperature,1,3,6.185757409238679e-05,8.699286731157144e-05,216,0,7.399164879149205e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,TPS,temperature,1,4,8.699286731157144e-05,0.00011701687373683274,217,0,0.0001015484403164298,0.0,0.0,0.017395273354295568
PLM_Domains,TPS,temperature,1,5,0.00011701687373683274,0.00015757747367810114,216,0,0.00013631786374387626,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,TPS,temperature,1,6,0.00015757747367810114,0.00023385065683593766,216,0,0.00019130498814000404,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,TPS,temperature,1,7,0.00023385065683593766,0.00039020352093755475,217,0,0.00029900865153488146,0.0,0.0,0.017395273354295568
PLM_Domains,TPS,temperature,1,8,0.00039020352093755475,0.001231296300813164,216,0,0.0006432620178291093,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,TPS,temperature,1,9,0.001231296300813164,0.999999999925477,216,131,0.6189101091586748,0.6064814814814815,0.5400148061494605,0.6692267568668204
PLM_Domains,TPS,temperature,1,10,0.999999999925477,1.0,217,217,0.9999999999896588,1.0,0.9826047266457046,1.0
PLM_Domains,TPS,temperature,2,1,2.4579034338827296e-08,1.6331744822158558e-07,210,0,1.0192528433938643e-07,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,2,1.6331744822158558e-07,3.3071819886189114e-07,210,0,2.3862260686278266e-07,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,3,3.3071819886189114e-07,5.500775576343936e-07,210,0,4.2925364816105983e-07,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,4,5.500775576343936e-07,8.231687479464493e-07,210,0,6.788997813763891e-07,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,5,8.231687479464493e-07,1.2410715070735512e-06,210,0,1.013215745800735e-06,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,6,1.2410715070735512e-06,1.8337760208316578e-06,210,0,1.5200089730553999e-06,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,7,1.8337760208316578e-06,2.991048503865516e-06,210,0,2.3482677976380055e-06,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,8,2.991048503865516e-06,6.303594400432381e-06,210,0,4.206500186626299e-06,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,9,6.303594400432381e-06,0.00011435955793333086,210,0,2.0543416720802532e-05,0.0,0.0,0.017964699104383804
PLM_Domains,TPS,temperature,2,10,0.00011435955793333086,1.0,210,164,0.7790906479124147,0.780952380952381,0.7202399120608588,0.8315703998709637
PLM_Domains,TPS,temperature,3,1,9.415985177467097e-07,3.3523481786005884e-06,258,0,2.3959337022601546e-06,0.0,0.0,0.01467146549669724
PLM_Domains,TPS,temperature,3,2,3.3523481786005884e-06,5.5217884843790485e-06,258,0,4.386765250413755e-06,0.0,0.0,0.01467146549669724
PLM_Domains,TPS,temperature,3,3,5.5217884843790485e-06,8.121943077278834e-06,257,0,6.910640533091511e-06,0.0,0.0,0.014727712144075176
PLM_Domains,TPS,temperature,3,4,8.121943077278834e-06,1.1334107094903512e-05,258,0,9.60545518209524e-06,0.0,0.0,0.01467146549669724
PLM_Domains,TPS,temperature,3,5,1.1334107094903512e-05,1.5563108390249263e-05,257,0,1.3346832910071028e-05,0.0,0.0,0.014727712144075176
PLM_Domains,TPS,temperature,3,6,1.5563108390249263e-05,2.2106120610858054e-05,258,0,1.864121653771327e-05,0.0,0.0,0.01467146549669724
PLM_Domains,TPS,temperature,3,7,2.2106120610858054e-05,3.149556826084115e-05,258,0,2.6355232698078638e-05,0.0,0.0,0.01467146549669724
PLM_Domains,TPS,temperature,3,8,3.149556826084115e-05,6.159166190788473e-05,257,0,4.27530459496254e-05,0.0,0.0,0.014727712144075176
PLM_Domains,TPS,temperature,3,9,6.159166190788473e-05,0.9996495848759408,258,11,0.048358746927407686,0.04263565891472868,0.023970981394562624,0.0747207467341992
PLM_Domains,TPS,temperature,3,10,0.9996495848759408,1.0,258,258,0.9999981493137214,1.0,0.9853285345033028,1.0
PLM_Domains,TPS,temperature,4,1,5.883333017306225e-05,0.00021571632870748882,221,0,0.00016476558490948463,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,2,0.00021571632870748882,0.00028451303007546357,221,0,0.00024868677161140083,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,3,0.00028451303007546357,0.0003795424238531738,221,0,0.0003285565653013258,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,4,0.0003795424238531738,0.0004901413288455179,220,0,0.000431711361820034,0.0,0.0,0.017162136081943655
PLM_Domains,TPS,temperature,4,5,0.0004901413288455179,0.0006427391383474842,221,0,0.0005672737740841435,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,6,0.0006427391383474842,0.0008837673796761121,221,0,0.0007573439336357131,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,7,0.0008837673796761121,0.001338465045700881,220,0,0.0010886999088516984,0.0,0.0,0.017162136081943655
PLM_Domains,TPS,temperature,4,8,0.001338465045700881,0.0029498270965404973,221,0,0.0019074519887614073,0.0,0.0,0.01708580618533225
PLM_Domains,TPS,temperature,4,9,0.0029498270965404973,0.9999999994199454,221,76,0.35667735105130705,0.3438914027149321,0.2844121522247289,0.40870513567928896
PLM_Domains,TPS,temperature,4,10,0.9999999994199454,1.0,221,221,0.9999999999526371,1.0,0.9829141938146678,1.0
PLM_Domains,IDS,temperature,0,1,4.4476128999730225e-17,4.731495997125356e-07,233,0,1.8199453826779256e-07,0.0,0.0,0.016220123491819005
PLM_Domains,IDS,temperature,0,2,4.731495997125356e-07,7.664540031736146e-07,232,0,6.29057543145067e-07,0.0,0.0,0.016288898989830464
PLM_Domains,IDS,temperature,0,3,7.664540031736146e-07,1.0558753293448535e-06,233,0,9.147650573168835e-07,0.0,0.0,0.016220123491819005
PLM_Domains,IDS,temperature,0,4,1.0558753293448535e-06,1.392042338943597e-06,232,0,1.2282246811115428e-06,0.0,0.0,0.016288898989830464
PLM_Domains,IDS,temperature,0,5,1.392042338943597e-06,1.7483229133436297e-06,232,0,1.5607191704919898e-06,0.0,0.0,0.016288898989830464
PLM_Domains,IDS,temperature,0,6,1.7483229133436297e-06,2.189626566861138e-06,233,0,1.95478031072409e-06,0.0,0.0,0.016220123491819005
PLM_Domains,IDS,temperature,0,7,2.189626566861138e-06,2.72156779772371e-06,232,0,2.446366156484534e-06,0.0,0.0,0.016288898989830464
PLM_Domains,IDS,temperature,0,8,2.72156779772371e-06,3.43813792694278e-06,233,0,3.051267883757473e-06,0.0,0.0,0.016220123491819005
PLM_Domains,IDS,temperature,0,9,3.43813792694278e-06,4.981922092177723e-06,232,0,4.067058749496439e-06,0.0,0.0,0.016288898989830464
PLM_Domains,IDS,temperature,0,10,4.981922092177723e-06,0.9999999597063175,232,51,0.19463555782828942,0.21982758620689655,0.17134009202149328,0.2774424806883256
PLM_Domains,IDS,temperature,0,11,0.9999999597063175,1.0,1,1,0.9999999597063175,1.0,0.2065432914738929,1.0
PLM_Domains,IDS,temperature,1,1,8.42771385395426e-18,4.217939614204185e-07,217,0,4.2173664413245765e-08,0.0,0.0,0.017395273354295568
PLM_Domains,IDS,temperature,1,2,4.217939614204185e-07,4.7048463406508046e-05,216,0,2.584065939522831e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,IDS,temperature,1,3,4.7048463406508046e-05,6.235570784529073e-05,216,0,5.512003786941354e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,IDS,temperature,1,4,6.235570784529073e-05,7.497222182464902e-05,217,0,6.847960827971263e-05,0.0,0.0,0.017395273354295568
PLM_Domains,IDS,temperature,1,5,7.497222182464902e-05,8.545172363108377e-05,216,0,8.018119889079172e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,IDS,temperature,1,6,8.545172363108377e-05,9.756085726268585e-05,216,0,9.175213816032775e-05,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,IDS,temperature,1,7,9.756085726268585e-05,0.00011269003029147749,217,0,0.00010473280305631231,0.0,0.0,0.017395273354295568
PLM_Domains,IDS,temperature,1,8,0.00011269003029147749,0.00013265794658216094,216,0,0.00012151874472729915,0.0,1.734723475976807e-18,0.017474399749637923
