classifier,target_class,family,bootstrap_unit,n_resamples_used,pct_deployment_outside_ribbon,ci
PLM_Domains,TPS,temperature,cluster,1000,0.0,0.95
PLM_Domains,IDS,temperature,cluster,1000,0.0,0.95
PLM_Domains,FPP,logit_platt,cluster,1000,0.0,0.95
PLM_Domains,GPP,logit_platt,cluster,1000,0.0,0.95
PLM_Domains,GGPP,temperature,cluster,1000,0.0,0.95
PLM_Domains,EDSQ,temperature,cluster,1000,0.0,0.95
PLM_Domains,CPP,temperature,cluster,1000,0.0,0.95
PLM_Domains,GFPP,temperature,cluster,1000,0.0,0.95
PLM_Domains,2xFPP,temperature,cluster,1000,0.0,0.95
PLM_Domains,2xGGPP,temperature,cluster,1000,0.0,0.95
PLM,TPS,temperature,cluster,1000,0.0,0.95
PLM,IDS,logit_platt,cluster,1000,0.0,0.95
PLM,FPP,logit_platt,cluster,1000,0.0,0.95
PLM,GPP,logit_platt,cluster,1000,0.0,0.95
PLM,GGPP,temperature,cluster,1000,0.0,0.95
PLM,EDSQ,temperature,cluster,1000,0.0,0.95
PLM,CPP,temperature,cluster,1000,0.0,0.95
PLM,GFPP,temperature,cluster,1000,0.0,0.95
PLM,2xFPP,temperature,cluster,1000,0.0,0.95
PLM,2xGGPP,logit_platt,cluster,1000,0.0,0.95
