classifier_a,classifier_b,class,metric,ap_type,value
BLAST,HMM,2xFPP,ap,pooled_oof,-0.3856524480140754
BLAST,Foldseek,2xFPP,ap,pooled_oof,-0.2357873611607495
Foldseek,HMM,2xFPP,ap,pooled_oof,-0.1498650868533259
BLAST,HMM,2xFPP,roc_auc,pooled_oof,-0.000836635843240896
BLAST,Foldseek,2xFPP,roc_auc,pooled_oof,-0.0005979281095737088
Foldseek,HMM,2xFPP,roc_auc,pooled_oof,-0.00023870773366718723
BLAST,HMM,2xGGPP,ap,pooled_oof,0.3641184126508651
BLAST,Foldseek,2xGGPP,ap,pooled_oof,0.0
Foldseek,HMM,2xGGPP,ap,pooled_oof,0.3641184126508651
BLAST,HMM,2xGGPP,roc_auc,pooled_oof,-0.028883456173699473
BLAST,Foldseek,2xGGPP,roc_auc,pooled_oof,0.0
Foldseek,HMM,2xGGPP,roc_auc,pooled_oof,-0.028883456173699473
BLAST,HMM,CPP,ap,pooled_oof,0.004653810059017993
BLAST,Foldseek,CPP,ap,pooled_oof,-0.020743547229992054
Foldseek,HMM,CPP,ap,pooled_oof,0.025397357289010047
BLAST,HMM,CPP,roc_auc,pooled_oof,0.04529670288214882
BLAST,Foldseek,CPP,roc_auc,pooled_oof,-0.004587765957446699
Foldseek,HMM,CPP,roc_auc,pooled_oof,0.04988446883959552
BLAST,HMM,EDSQ,ap,pooled_oof,-0.017088218923428822
BLAST,Foldseek,EDSQ,ap,pooled_oof,-0.002053456482613125
Foldseek,HMM,EDSQ,ap,pooled_oof,-0.015034762440815697
BLAST,HMM,EDSQ,roc_auc,pooled_oof,-5.0343949865472304e-05
BLAST,Foldseek,EDSQ,roc_auc,pooled_oof,3.5240764906241395e-06
Foldseek,HMM,EDSQ,roc_auc,pooled_oof,-5.3868026356096443e-05
BLAST,HMM,FPP,ap,pooled_oof,0.24988072805422346
BLAST,Foldseek,FPP,ap,pooled_oof,0.09148746505808669
Foldseek,HMM,FPP,ap,pooled_oof,0.15839326299613676
BLAST,HMM,FPP,roc_auc,pooled_oof,0.043673876480854745
BLAST,Foldseek,FPP,roc_auc,pooled_oof,-0.00567683302224542
Foldseek,HMM,FPP,roc_auc,pooled_oof,0.049350709503100165
BLAST,HMM,GFPP,ap,pooled_oof,0.1285414451827246
BLAST,Foldseek,GFPP,ap,pooled_oof,0.16964767110093742
Foldseek,HMM,GFPP,ap,pooled_oof,-0.041106225918212835
BLAST,HMM,GFPP,roc_auc,pooled_oof,0.07137226431799781
BLAST,Foldseek,GFPP,roc_auc,pooled_oof,0.017934539257752236
Foldseek,HMM,GFPP,roc_auc,pooled_oof,0.05343772506024558
BLAST,HMM,GGPP,ap,pooled_oof,0.28809700854858966
BLAST,Foldseek,GGPP,ap,pooled_oof,0.0380962946047142
Foldseek,HMM,GGPP,ap,pooled_oof,0.25000071394387546
BLAST,HMM,GGPP,roc_auc,pooled_oof,0.26065576328849205
BLAST,Foldseek,GGPP,roc_auc,pooled_oof,0.08416792815006702
Foldseek,HMM,GGPP,roc_auc,pooled_oof,0.17648783513842503
BLAST,HMM,GPP,ap,pooled_oof,0.192070596773474
BLAST,Foldseek,GPP,ap,pooled_oof,0.004881905079911819
Foldseek,HMM,GPP,ap,pooled_oof,0.18718869169356217
BLAST,HMM,GPP,roc_auc,pooled_oof,0.03061368555507893
BLAST,Foldseek,GPP,roc_auc,pooled_oof,0.003272690695887537
Foldseek,HMM,GPP,roc_auc,pooled_oof,0.027340994859191392
BLAST,HMM,IDS,ap,pooled_oof,0.035697622670963436
BLAST,Foldseek,IDS,ap,pooled_oof,0.03431929946721746
Foldseek,HMM,IDS,ap,pooled_oof,0.0013783232037459792
BLAST,HMM,IDS,roc_auc,pooled_oof,0.013781304712446096
BLAST,Foldseek,IDS,roc_auc,pooled_oof,0.013965170615217848
Foldseek,HMM,IDS,roc_auc,pooled_oof,-0.00018386590277175152
BLAST,HMM,TPS,ap,pooled_oof,0.08420868308751928
BLAST,Foldseek,TPS,ap,pooled_oof,-0.008873567480593758
PFAM,BLAST,TPS,ap,pooled_oof,-0.014841386088684128
SUPFAM,BLAST,TPS,ap,pooled_oof,-0.05972858271383086
Foldseek,HMM,TPS,ap,pooled_oof,0.09308225056811303
PFAM,HMM,TPS,ap,pooled_oof,0.06936729699883515
SUPFAM,HMM,TPS,ap,pooled_oof,0.024480100373688418
PFAM,Foldseek,TPS,ap,pooled_oof,-0.023714953569277886
SUPFAM,Foldseek,TPS,ap,pooled_oof,-0.06860215019442462
PFAM,SUPFAM,TPS,ap,pooled_oof,0.04488719662514673
BLAST,HMM,TPS,roc_auc,pooled_oof,0.025124510080414275
BLAST,Foldseek,TPS,roc_auc,pooled_oof,-0.004894435155609611
PFAM,BLAST,TPS,roc_auc,pooled_oof,-0.00643647003574388
SUPFAM,BLAST,TPS,roc_auc,pooled_oof,-0.01393422266931732
Foldseek,HMM,TPS,roc_auc,pooled_oof,0.030018945236023886
PFAM,HMM,TPS,roc_auc,pooled_oof,0.018688040044670395
SUPFAM,HMM,TPS,roc_auc,pooled_oof,0.011190287411096955
PFAM,Foldseek,TPS,roc_auc,pooled_oof,-0.01133090519135349
SUPFAM,Foldseek,TPS,roc_auc,pooled_oof,-0.01882865782492693
PFAM,SUPFAM,TPS,roc_auc,pooled_oof,0.00749775263357344
BLAST,Foldseek,Substrate_mAP,ap,pooled_oof,0.005691121371286932
BLAST,Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.011814519386366448
BLAST,HMM,Substrate_mAP,ap,pooled_oof,0.10307766679142383
BLAST,HMM,Substrate_mAP,roc_auc,pooled_oof,0.052730232069720814
Foldseek,HMM,Substrate_mAP,ap,pooled_oof,0.09738654542013689
Foldseek,HMM,Substrate_mAP,roc_auc,pooled_oof,0.040915712683354366
