classifier_a,classifier_b,class,metric,ap_type,p_raw,p_adjusted,adjustment
BLAST,Foldseek,2xFPP,ap,pooled_oof,0.102,0.306,holm
BLAST,HMM,2xFPP,ap,pooled_oof,0.116,0.306,holm
Foldseek,HMM,2xFPP,ap,pooled_oof,0.368,0.368,holm
BLAST,Foldseek,2xFPP,roc_auc,pooled_oof,0.096,0.28800000000000003,holm
BLAST,HMM,2xFPP,roc_auc,pooled_oof,0.096,0.28800000000000003,holm
Foldseek,HMM,2xFPP,roc_auc,pooled_oof,0.356,0.356,holm
BLAST,Foldseek,2xGGPP,ap,pooled_oof,1.0,1.0,holm
BLAST,HMM,2xGGPP,ap,pooled_oof,0.022,0.066,holm
Foldseek,HMM,2xGGPP,ap,pooled_oof,0.022,0.066,holm
BLAST,Foldseek,2xGGPP,roc_auc,pooled_oof,1.0,1.0,holm
BLAST,HMM,2xGGPP,roc_auc,pooled_oof,0.734,1.0,holm
Foldseek,HMM,2xGGPP,roc_auc,pooled_oof,0.734,1.0,holm
BLAST,Foldseek,CPP,ap,pooled_oof,0.938,1.0,holm
BLAST,HMM,CPP,ap,pooled_oof,0.806,1.0,holm
Foldseek,HMM,CPP,ap,pooled_oof,0.866,1.0,holm
BLAST,Foldseek,CPP,roc_auc,pooled_oof,0.604,0.616,holm
BLAST,HMM,CPP,roc_auc,pooled_oof,0.308,0.616,holm
Foldseek,HMM,CPP,roc_auc,pooled_oof,0.144,0.43199999999999994,holm
BLAST,Foldseek,EDSQ,ap,pooled_oof,0.726,1.0,holm
BLAST,HMM,EDSQ,ap,pooled_oof,0.65,1.0,holm
Foldseek,HMM,EDSQ,ap,pooled_oof,0.666,1.0,holm
BLAST,Foldseek,EDSQ,roc_auc,pooled_oof,0.53,1.0,holm
BLAST,HMM,EDSQ,roc_auc,pooled_oof,0.748,1.0,holm
Foldseek,HMM,EDSQ,roc_auc,pooled_oof,0.426,1.0,holm
BLAST,Foldseek,FPP,ap,pooled_oof,0.001,0.003,holm
BLAST,HMM,FPP,ap,pooled_oof,0.001,0.003,holm
Foldseek,HMM,FPP,ap,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,FPP,roc_auc,pooled_oof,0.166,0.166,holm
BLAST,HMM,FPP,roc_auc,pooled_oof,0.001,0.003,holm
Foldseek,HMM,FPP,roc_auc,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,GFPP,ap,pooled_oof,0.01,0.03,holm
BLAST,HMM,GFPP,ap,pooled_oof,0.05,0.1,holm
Foldseek,HMM,GFPP,ap,pooled_oof,0.73,0.73,holm
BLAST,Foldseek,GFPP,roc_auc,pooled_oof,0.202,0.202,holm
BLAST,HMM,GFPP,roc_auc,pooled_oof,0.001,0.003,holm
Foldseek,HMM,GFPP,roc_auc,pooled_oof,0.062,0.124,holm
BLAST,Foldseek,GGPP,ap,pooled_oof,0.33,0.33,holm
BLAST,HMM,GGPP,ap,pooled_oof,0.001,0.003,holm
Foldseek,HMM,GGPP,ap,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,GGPP,roc_auc,pooled_oof,0.001,0.003,holm
BLAST,HMM,GGPP,roc_auc,pooled_oof,0.001,0.003,holm
Foldseek,HMM,GGPP,roc_auc,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,GPP,ap,pooled_oof,0.952,0.952,holm
BLAST,HMM,GPP,ap,pooled_oof,0.001,0.003,holm
Foldseek,HMM,GPP,ap,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,GPP,roc_auc,pooled_oof,0.178,0.178,holm
BLAST,HMM,GPP,roc_auc,pooled_oof,0.001,0.003,holm
Foldseek,HMM,GPP,roc_auc,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,IDS,ap,pooled_oof,0.154,0.46199999999999997,holm
BLAST,HMM,IDS,ap,pooled_oof,0.166,0.46199999999999997,holm
Foldseek,HMM,IDS,ap,pooled_oof,0.958,0.958,holm
BLAST,Foldseek,IDS,roc_auc,pooled_oof,0.556,1.0,holm
BLAST,HMM,IDS,roc_auc,pooled_oof,0.476,1.0,holm
Foldseek,HMM,IDS,roc_auc,pooled_oof,0.368,1.0,holm
BLAST,Foldseek,Substrate_mAP,ap,pooled_oof,0.51,0.51,holm
BLAST,HMM,Substrate_mAP,ap,pooled_oof,0.004,0.008,holm
Foldseek,HMM,Substrate_mAP,ap,pooled_oof,0.001,0.003,holm
BLAST,Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.001,0.003,holm
BLAST,HMM,Substrate_mAP,roc_auc,pooled_oof,0.004,0.008,holm
Foldseek,HMM,Substrate_mAP,roc_auc,pooled_oof,0.008,0.008,holm
BLAST,Foldseek,TPS,ap,pooled_oof,0.004,0.012,holm
BLAST,HMM,TPS,ap,pooled_oof,0.001,0.01,holm
Foldseek,HMM,TPS,ap,pooled_oof,0.001,0.01,holm
PFAM,BLAST,TPS,ap,pooled_oof,0.044,0.088,holm
PFAM,Foldseek,TPS,ap,pooled_oof,0.001,0.01,holm
PFAM,HMM,TPS,ap,pooled_oof,0.001,0.01,holm
PFAM,SUPFAM,TPS,ap,pooled_oof,0.001,0.01,holm
SUPFAM,BLAST,TPS,ap,pooled_oof,0.001,0.01,holm
SUPFAM,Foldseek,TPS,ap,pooled_oof,0.001,0.01,holm
SUPFAM,HMM,TPS,ap,pooled_oof,0.194,0.194,holm
BLAST,Foldseek,TPS,roc_auc,pooled_oof,0.004,0.012,holm
BLAST,HMM,TPS,roc_auc,pooled_oof,0.001,0.01,holm
Foldseek,HMM,TPS,roc_auc,pooled_oof,0.001,0.01,holm
PFAM,BLAST,TPS,roc_auc,pooled_oof,0.098,0.112,holm
PFAM,Foldseek,TPS,roc_auc,pooled_oof,0.001,0.01,holm
PFAM,HMM,TPS,roc_auc,pooled_oof,0.001,0.01,holm
PFAM,SUPFAM,TPS,roc_auc,pooled_oof,0.001,0.01,holm
SUPFAM,BLAST,TPS,roc_auc,pooled_oof,0.001,0.01,holm
SUPFAM,Foldseek,TPS,roc_auc,pooled_oof,0.001,0.01,holm
SUPFAM,HMM,TPS,roc_auc,pooled_oof,0.056,0.112,holm
