classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
BLAST,2xFPP,ap,pooled_oof,0.470868756959142,0.06965938567261318,0.7817394561252597,bca,bca
BLAST,2xFPP,roc_auc,pooled_oof,0.9989617372360889,0.9958371269798145,0.9997544043604509,bca,bca
BLAST,2xGGPP,ap,pooled_oof,0.941264390405362,0.5002505851741544,1.0,bca,bca
BLAST,2xGGPP,roc_auc,pooled_oof,0.9705649275647567,0.7498147801811235,1.0,bca,bca
BLAST,CPP,ap,pooled_oof,0.5914440668686171,0.2477980964960487,0.7707287238986243,bca,bca
BLAST,CPP,roc_auc,pooled_oof,0.9482665610381772,0.8788123125576188,0.9818543807295136,bca,bca
BLAST,EDSQ,ap,pooled_oof,0.9494195170326152,0.6668397922932177,1.0,bca,bca
BLAST,EDSQ,roc_auc,pooled_oof,0.9941792325165532,0.9375,1.0,bca,bca
BLAST,FPP,ap,pooled_oof,0.7716916002990583,0.6265821693956988,0.8487365147409313,bca,bca
BLAST,FPP,roc_auc,pooled_oof,0.9698370451745286,0.9508942289693934,0.9814032429406203,bca,bca
BLAST,GFPP,ap,pooled_oof,0.6342259658179381,0.3983111562954381,0.7897373896688267,bca,bca
BLAST,GFPP,roc_auc,pooled_oof,0.8824499016799185,0.7409697435023157,0.9452932946635793,bca,bca
BLAST,GGPP,ap,pooled_oof,0.5637595893245025,0.4688726363162957,0.6785355291110613,bca,bca
BLAST,GGPP,roc_auc,pooled_oof,0.9396996629108273,0.9067936922806428,0.9645374066324692,bca,bca
BLAST,GPP,ap,pooled_oof,0.560486015543721,0.3517779375121006,0.7629878371776991,bca,bca
BLAST,GPP,roc_auc,pooled_oof,0.924698725825959,0.8690314160697513,0.9645446660198032,bca,bca
BLAST,IDS,ap,pooled_oof,0.9764565709157256,0.9541567937618914,0.9890888064478451,bca,bca
BLAST,IDS,roc_auc,pooled_oof,0.9997011253580449,0.9994125216317741,0.9998709206097125,bca,bca
BLAST,Substrate_mAP,ap,pooled_oof,0.6853949877813695,0.613330148109279,0.7358870015515021,bca,bca
BLAST,Substrate_mAP,roc_auc,pooled_oof,0.9535822242433512,0.9331269824118563,0.9696197369088436,bca,bca
BLAST,TPS,ap,pooled_oof,0.9902563045190086,0.9734560864336097,0.9969232002186491,bca,bca
BLAST,TPS,roc_auc,pooled_oof,0.9949934719356184,0.9850561960002214,0.9986489685478251,bca,bca
Foldseek,2xFPP,ap,pooled_oof,0.7066561181198915,0.3113113039443375,0.9305925682347588,bca,bca
Foldseek,2xFPP,roc_auc,pooled_oof,0.9995596653456627,0.9987023505556353,0.9999116009497097,bca,bca
Foldseek,2xGGPP,ap,pooled_oof,0.941264390405362,0.5002505851741544,1.0,bca,bca
Foldseek,2xGGPP,roc_auc,pooled_oof,0.9705649275647567,0.7498147801811235,1.0,bca,bca
Foldseek,CPP,ap,pooled_oof,0.6121876140986091,0.33419259407428753,0.7985265204905823,bca,bca
Foldseek,CPP,roc_auc,pooled_oof,0.9528543269956239,0.8852099064042388,0.9842327891729622,bca,bca
Foldseek,EDSQ,ap,pooled_oof,0.9514729735152283,0.6669285686941606,1.0,bca,bca
Foldseek,EDSQ,roc_auc,pooled_oof,0.9941757084400625,0.9374942989651744,1.0,bca,bca
Foldseek,FPP,ap,pooled_oof,0.6802041352409716,0.5571014919063689,0.7584186764037485,bca,bca
Foldseek,FPP,roc_auc,pooled_oof,0.975513878196774,0.9595957547347393,0.9845492327317102,bca,bca
Foldseek,GFPP,ap,pooled_oof,0.4645782947170007,0.2444243550338273,0.6494405796521371,bca,bca
Foldseek,GFPP,roc_auc,pooled_oof,0.8645153624221663,0.7279652598044859,0.9330647432554261,bca,bca
Foldseek,GGPP,ap,pooled_oof,0.5256632947197883,0.40235519532907515,0.6855604280865879,bca,bca
Foldseek,GGPP,roc_auc,pooled_oof,0.8555317347607603,0.8057613942904801,0.9062143427742864,bca,bca
Foldseek,GPP,ap,pooled_oof,0.5556041104638092,0.33411169436616855,0.7498183456496773,bca,bca
Foldseek,GPP,roc_auc,pooled_oof,0.9214260351300715,0.8657891531182352,0.9614608723925795,bca,bca
Foldseek,IDS,ap,pooled_oof,0.9421372714485081,0.8490260247696746,0.9812424177597234,bca,bca
Foldseek,IDS,roc_auc,pooled_oof,0.985735954742827,0.9332381152347702,0.9998193362678166,bca,bca
Foldseek,Substrate_mAP,ap,pooled_oof,0.6797038664100826,0.6237910742408439,0.7321576672954803,bca,bca
Foldseek,Substrate_mAP,roc_auc,pooled_oof,0.9417677048569847,0.9208164776742132,0.9602036469410844,bca,bca
Foldseek,TPS,ap,pooled_oof,0.9991298719996023,0.997918805251563,0.9996078036781308,bca,bca
Foldseek,TPS,roc_auc,pooled_oof,0.999887907091228,0.9997187055293476,0.9999453519340361,bca,bca
HMM,2xFPP,ap,pooled_oof,0.8565212049732174,0.4616181798416576,1.0,bca,bca
HMM,2xFPP,roc_auc,pooled_oof,0.9997983730793298,0.9988825806664062,0.9999577593223458,bca,bca
