version,class,metric,value,x_axis,x_label
eval1e-1,TPS,ap,0.9098686708203492,neglog10,E-value (-log10)
eval1e-1,IDS,ap,0.8350767255873899,neglog10,E-value (-log10)
eval1e-1,GPP,ap,0.3393953688867154,neglog10,E-value (-log10)
eval1e-1,FPP,ap,0.5445320298501504,neglog10,E-value (-log10)
eval1e-1,GGPP,ap,0.3647118244367683,neglog10,E-value (-log10)
eval1e-1,GFPP,ap,0.27383045230869535,neglog10,E-value (-log10)
eval1e-1,CPP,ap,0.4135640597401336,neglog10,E-value (-log10)
eval1e-1,EDSQ,ap,0.7110843378991405,neglog10,E-value (-log10)
eval1e-1,2xFPP,ap,0.8450680272108844,neglog10,E-value (-log10)
eval1e-1,2xGGPP,ap,0.8128472222222222,neglog10,E-value (-log10)
eval1e-10,TPS,ap,0.9868436843313694,neglog10,E-value (-log10)
eval1e-10,IDS,ap,0.9727713629616968,neglog10,E-value (-log10)
eval1e-10,GPP,ap,0.3694502124990994,neglog10,E-value (-log10)
eval1e-10,FPP,ap,0.7885587494148171,neglog10,E-value (-log10)
eval1e-10,GGPP,ap,0.5287608222205811,neglog10,E-value (-log10)
eval1e-10,GFPP,ap,0.5710411132633761,neglog10,E-value (-log10)
eval1e-10,CPP,ap,0.27366940624861635,neglog10,E-value (-log10)
eval1e-10,EDSQ,ap,0.9017284467129668,neglog10,E-value (-log10)
eval1e-10,2xFPP,ap,0.6972998318458156,neglog10,E-value (-log10)
eval1e-10,2xGGPP,ap,0.7334257547751077,neglog10,E-value (-log10)
eval1e-120,TPS,ap,0.7259690128595746,neglog10,E-value (-log10)
eval1e-120,IDS,ap,0.3771812310619758,neglog10,E-value (-log10)
eval1e-120,GPP,ap,0.5539139133497725,neglog10,E-value (-log10)
eval1e-120,FPP,ap,0.5800316227196317,neglog10,E-value (-log10)
eval1e-120,GGPP,ap,0.41440613501897444,neglog10,E-value (-log10)
eval1e-120,GFPP,ap,0.5437088397872607,neglog10,E-value (-log10)
eval1e-120,CPP,ap,0.635548232777491,neglog10,E-value (-log10)
eval1e-120,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-120,2xFPP,ap,0.06569740902118898,neglog10,E-value (-log10)
eval1e-120,2xGGPP,ap,0.3339276063031836,neglog10,E-value (-log10)
eval1e-150,TPS,ap,0.6633526621073256,neglog10,E-value (-log10)
eval1e-150,IDS,ap,0.25566187917758887,neglog10,E-value (-log10)
eval1e-150,GPP,ap,0.44944922810435556,neglog10,E-value (-log10)
eval1e-150,FPP,ap,0.5215334553821244,neglog10,E-value (-log10)
eval1e-150,GGPP,ap,0.3663990107945773,neglog10,E-value (-log10)
eval1e-150,GFPP,ap,0.3895104108520274,neglog10,E-value (-log10)
eval1e-150,CPP,ap,0.6093837177268491,neglog10,E-value (-log10)
eval1e-150,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-150,2xFPP,ap,0.001682559124400016,neglog10,E-value (-log10)
eval1e-150,2xGGPP,ap,0.2673515193466618,neglog10,E-value (-log10)
eval1e-20,TPS,ap,0.9708768904691484,neglog10,E-value (-log10)
eval1e-20,IDS,ap,0.9445898605561082,neglog10,E-value (-log10)
eval1e-20,GPP,ap,0.32753733303315424,neglog10,E-value (-log10)
eval1e-20,FPP,ap,0.8114173168699249,neglog10,E-value (-log10)
eval1e-20,GGPP,ap,0.5986895313530476,neglog10,E-value (-log10)
eval1e-20,GFPP,ap,0.5381558145960817,neglog10,E-value (-log10)
eval1e-20,CPP,ap,0.275634812211141,neglog10,E-value (-log10)
eval1e-20,EDSQ,ap,0.9339881850175967,neglog10,E-value (-log10)
eval1e-20,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-20,2xGGPP,ap,0.7160646436639967,neglog10,E-value (-log10)
eval1e-200,TPS,ap,0.37249808745213714,neglog10,E-value (-log10)
eval1e-200,IDS,ap,0.06450971558579194,neglog10,E-value (-log10)
eval1e-200,GPP,ap,0.06943046751724852,neglog10,E-value (-log10)
eval1e-200,FPP,ap,0.19110729365125909,neglog10,E-value (-log10)
eval1e-200,GGPP,ap,0.2748897531621976,neglog10,E-value (-log10)
eval1e-200,GFPP,ap,0.13014351801191323,neglog10,E-value (-log10)
eval1e-200,CPP,ap,0.5558237681124059,neglog10,E-value (-log10)
eval1e-200,EDSQ,ap,0.889079365079365,neglog10,E-value (-log10)
eval1e-200,2xFPP,ap,0.001682559124400016,neglog10,E-value (-log10)
eval1e-200,2xGGPP,ap,0.1179229479180904,neglog10,E-value (-log10)
eval1e-3,TPS,ap,0.9907609451470591,neglog10,E-value (-log10)
eval1e-3,IDS,ap,0.9366748589605317,neglog10,E-value (-log10)
eval1e-3,GPP,ap,0.42292571114317257,neglog10,E-value (-log10)
eval1e-3,FPP,ap,0.7089132810702816,neglog10,E-value (-log10)
eval1e-3,GGPP,ap,0.5238627552831767,neglog10,E-value (-log10)
eval1e-3,GFPP,ap,0.3880206665360212,neglog10,E-value (-log10)
eval1e-3,CPP,ap,0.5200541085105923,neglog10,E-value (-log10)
eval1e-3,EDSQ,ap,0.8242305777820482,neglog10,E-value (-log10)
eval1e-3,2xFPP,ap,0.8342517006802721,neglog10,E-value (-log10)
eval1e-3,2xGGPP,ap,0.7622222222222221,neglog10,E-value (-log10)
eval1e-30,TPS,ap,0.9346485730602166,neglog10,E-value (-log10)
eval1e-30,IDS,ap,0.941285263350583,neglog10,E-value (-log10)
eval1e-30,GPP,ap,0.2903425309852944,neglog10,E-value (-log10)
eval1e-30,FPP,ap,0.7965949431826975,neglog10,E-value (-log10)
eval1e-30,GGPP,ap,0.5727921560608286,neglog10,E-value (-log10)
eval1e-30,GFPP,ap,0.5405997788559,neglog10,E-value (-log10)
eval1e-30,CPP,ap,0.34841406085708915,neglog10,E-value (-log10)
eval1e-30,EDSQ,ap,0.9374182102948707,neglog10,E-value (-log10)
eval1e-30,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-30,2xGGPP,ap,0.9000924214417745,neglog10,E-value (-log10)
eval1e-40,TPS,ap,0.916565944435854,neglog10,E-value (-log10)
eval1e-40,IDS,ap,0.9364678720317237,neglog10,E-value (-log10)
eval1e-40,GPP,ap,0.3599997342236685,neglog10,E-value (-log10)
eval1e-40,FPP,ap,0.7623110734301369,neglog10,E-value (-log10)
eval1e-40,GGPP,ap,0.571962015228681,neglog10,E-value (-log10)
eval1e-40,GFPP,ap,0.6320260314438491,neglog10,E-value (-log10)
eval1e-40,CPP,ap,0.41740304023624264,neglog10,E-value (-log10)
eval1e-40,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-40,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-40,2xGGPP,ap,0.6335893859040775,neglog10,E-value (-log10)
eval1e-5,TPS,ap,0.990909890196944,neglog10,E-value (-log10)
eval1e-5,IDS,ap,0.9850702640720593,neglog10,E-value (-log10)
eval1e-5,GPP,ap,0.4070590056426123,neglog10,E-value (-log10)
eval1e-5,FPP,ap,0.7477585482254148,neglog10,E-value (-log10)
eval1e-5,GGPP,ap,0.5046992318078536,neglog10,E-value (-log10)
eval1e-5,GFPP,ap,0.5263761310859842,neglog10,E-value (-log10)
eval1e-5,CPP,ap,0.3897179353947654,neglog10,E-value (-log10)
eval1e-5,EDSQ,ap,0.9206892562620116,neglog10,E-value (-log10)
eval1e-5,2xFPP,ap,0.8390136054421768,neglog10,E-value (-log10)
eval1e-5,2xGGPP,ap,0.7685714285714285,neglog10,E-value (-log10)
eval1e-50,TPS,ap,0.8865620093918956,neglog10,E-value (-log10)
eval1e-50,IDS,ap,0.9084995219294418,neglog10,E-value (-log10)
eval1e-50,GPP,ap,0.4725411835589057,neglog10,E-value (-log10)
eval1e-50,FPP,ap,0.7353158580645255,neglog10,E-value (-log10)
eval1e-50,GGPP,ap,0.5432245806898953,neglog10,E-value (-log10)
eval1e-50,GFPP,ap,0.6204888005534512,neglog10,E-value (-log10)
eval1e-50,CPP,ap,0.52460750882285,neglog10,E-value (-log10)
eval1e-50,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-50,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-50,2xGGPP,ap,0.6335893859040775,neglog10,E-value (-log10)
eval1e-70,TPS,ap,0.8442995185120384,neglog10,E-value (-log10)
eval1e-70,IDS,ap,0.848998584386058,neglog10,E-value (-log10)
eval1e-70,GPP,ap,0.572195426994908,neglog10,E-value (-log10)
eval1e-70,FPP,ap,0.7208091736092368,neglog10,E-value (-log10)
eval1e-70,GGPP,ap,0.5099905177416338,neglog10,E-value (-log10)
eval1e-70,GFPP,ap,0.6423446629784335,neglog10,E-value (-log10)
eval1e-70,CPP,ap,0.5653863518236614,neglog10,E-value (-log10)
eval1e-70,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-70,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-70,2xGGPP,ap,0.6335893859040775,neglog10,E-value (-log10)
eval1e-90,TPS,ap,0.7968023928567404,neglog10,E-value (-log10)
eval1e-90,IDS,ap,0.7038457518625032,neglog10,E-value (-log10)
eval1e-90,GPP,ap,0.4934753556842664,neglog10,E-value (-log10)
eval1e-90,FPP,ap,0.6978567663333102,neglog10,E-value (-log10)
eval1e-90,GGPP,ap,0.45867592792149753,neglog10,E-value (-log10)
eval1e-90,GFPP,ap,0.6821675399969066,neglog10,E-value (-log10)
eval1e-90,CPP,ap,0.5917400019766074,neglog10,E-value (-log10)
eval1e-90,EDSQ,ap,0.938984126984127,neglog10,E-value (-log10)
eval1e-90,2xFPP,ap,0.5752504573424247,neglog10,E-value (-log10)
eval1e-90,2xGGPP,ap,0.40050369325970525,neglog10,E-value (-log10)
eval1e0,TPS,ap,0.7871988374954203,neglog10,E-value (-log10)
eval1e0,IDS,ap,0.643526075729242,neglog10,E-value (-log10)
eval1e0,GPP,ap,0.25388747606571804,neglog10,E-value (-log10)
eval1e0,FPP,ap,0.44899727658030386,neglog10,E-value (-log10)
eval1e0,GGPP,ap,0.2324801570884148,neglog10,E-value (-log10)
eval1e0,GFPP,ap,0.14188028643930575,neglog10,E-value (-log10)
eval1e0,CPP,ap,0.22058959902402134,neglog10,E-value (-log10)
eval1e0,EDSQ,ap,0.521922307393765,neglog10,E-value (-log10)
eval1e0,2xFPP,ap,0.5188945578231293,neglog10,E-value (-log10)
eval1e0,2xGGPP,ap,0.5323484848484848,neglog10,E-value (-log10)
