version,class,metric,value,x_axis,x_label
eval10,TPS,ap,0.8964292166256774,neglog10,E-value (-log10)
eval10,IDS,ap,0.45022383698207086,neglog10,E-value (-log10)
eval10,GPP,ap,0.2918769996179823,neglog10,E-value (-log10)
eval10,FPP,ap,0.5101483987336706,neglog10,E-value (-log10)
eval10,GGPP,ap,0.19864811782677005,neglog10,E-value (-log10)
eval10,GFPP,ap,0.06662897178883893,neglog10,E-value (-log10)
eval10,CPP,ap,0.10742814449975566,neglog10,E-value (-log10)
eval10,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval10,2xFPP,ap,0.8388888888888889,neglog10,E-value (-log10)
eval10,2xGGPP,ap,0.74,neglog10,E-value (-log10)
eval100,TPS,ap,0.8955258343264851,neglog10,E-value (-log10)
eval100,IDS,ap,0.4468879792980788,neglog10,E-value (-log10)
eval100,GPP,ap,0.28903992249493826,neglog10,E-value (-log10)
eval100,FPP,ap,0.5105056290303709,neglog10,E-value (-log10)
eval100,GGPP,ap,0.19777455646211406,neglog10,E-value (-log10)
eval100,GFPP,ap,0.06708354738783766,neglog10,E-value (-log10)
eval100,CPP,ap,0.10721789446772209,neglog10,E-value (-log10)
eval100,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval100,2xFPP,ap,0.8388888888888889,neglog10,E-value (-log10)
eval100,2xGGPP,ap,0.74,neglog10,E-value (-log10)
eval1e-1,TPS,ap,0.8919503487555653,neglog10,E-value (-log10)
eval1e-1,IDS,ap,0.4866947041122076,neglog10,E-value (-log10)
eval1e-1,GPP,ap,0.29812391564465685,neglog10,E-value (-log10)
eval1e-1,FPP,ap,0.5121490481980352,neglog10,E-value (-log10)
eval1e-1,GGPP,ap,0.19754980974400183,neglog10,E-value (-log10)
eval1e-1,GFPP,ap,0.06826841916019474,neglog10,E-value (-log10)
eval1e-1,CPP,ap,0.10701887654506408,neglog10,E-value (-log10)
eval1e-1,EDSQ,ap,0.9122807017543859,neglog10,E-value (-log10)
eval1e-1,2xFPP,ap,0.8388888888888889,neglog10,E-value (-log10)
eval1e-1,2xGGPP,ap,0.7266666666666667,neglog10,E-value (-log10)
eval1e-10,TPS,ap,0.8772156106625548,neglog10,E-value (-log10)
eval1e-10,IDS,ap,0.5253213443452929,neglog10,E-value (-log10)
eval1e-10,GPP,ap,0.2751935829031334,neglog10,E-value (-log10)
eval1e-10,FPP,ap,0.5227398009879318,neglog10,E-value (-log10)
