Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Blastp__with_minor_reactions,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5476597476092591,0.8503841539274767,0.21693820459887517,0.2403009714950367,0.13001824512511742,0.0018049048279754614
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5648159326379962,0.8674549820876551,0.22379052749141115,0.0967711964888396,0.04313182783819768,0.0061933438715781825
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.95,0.9999550965424338,0.21346990186200823,0.11180339887498947,0.00010040718354290711,0.0025538682640612593
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6254634949204166,0.8830741873913321,0.2309786959934524,0.08482769426613831,0.03943378461049382,0.007265358556289536
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8576260610694961,0.9572836424718034,0.2529422645723341,0.02208637725153428,0.00802324144768355,0.014338790567613622
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7137394102158767,0.945339771696943,0.21493480582452254,0.12344183602680973,0.045474100737123976,0.0011422137180621707
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.9743319097010372,0.9963384992085397,0.22841929722253754,0.02389134991763945,0.00793640387819725,0.011887237215243953
Blastp__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.453363339657241,0.8284060111542892,0.21243347858109476,,,
Foldseek__with_minor_reactions,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4777715527751056,0.8488312142960959,0.21693820459887517,0.15986201659079113,0.0791476163731507,0.0018049048279754614
Foldseek__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.3257001681790995,0.753450015394699,0.22532949082182774,0.057688235474855645,0.044315571840322525,0.0029200683575544596
Foldseek__with_minor_reactions,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9199999999999999,0.9999101930848676,0.21346990186200823,0.1788854381999832,0.0002008143670857149,0.0025538682640612593
Foldseek__with_minor_reactions,CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.3979598746968953,0.7764670548954697,0.23497863895676668,0.13930407945102224,0.07812281665900718,0.0034744633980897887
