Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8576890940105739,0.9572521401005363,0.2535339391498007,0.02208191202033478,0.008015779603454079,0.01456929178000585
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5648674084046695,0.8674290177324334,0.22401966048884475,0.09677457288963276,0.04312249383196209,0.006291930456690359
Blastp__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.41604212306391486,0.7410714285714285,0.2757366963044131,,,
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7137463711879801,0.9453320306095868,0.21502765276503003,0.12344292303311195,0.04547069194881046,0.0011757759911693955
Blastp__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.5895383153261304,0.8468614718614719,0.29164560459708544,,,
Blastp__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8003091478487864,0.9179243814078054,0.40571256747286616,0.16302721573951864,0.07205505710697781,0.061264968370686415
Blastp__with_minor_reactions,With_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.547684400156603,0.8503742147825509,0.21706357037125504,0.24028571148643454,0.13001513552686497,0.001850235498175897
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.95,0.9999542543458372,0.2135289433450407,0.11180339887498947,0.00010229039238331352,0.002571463880530656
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.4533790259997345,0.828400863236418,0.21248573140886692,,,
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.625543754529353,0.883041129378433,0.23134725545966975,0.08480507265839177,0.039434867799324154,0.0074359642921140705
Blastp__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.9743335819452501,0.9963371766146686,0.22862926293830466,0.023890510378767243,0.007935688329807646,0.011844896883472353
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6810654028138103,0.9010334966168771,0.2664010669305593,0.054916445782468064,0.033894310526468706,0.0024228241432143875
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.32579998511679487,0.7534158474744024,0.22558714750488223,0.05770024423888145,0.04430316250850275,0.0029641756801525366
Foldseek__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.05603597371151851,0.4910714285714286,0.2419683962486282,,,
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.1956444453135347,0.6495434393830581,0.21502765276503003,0.0936883577480671,0.05764285308293464,0.0011757759911693955
Foldseek__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.07091014371850435,0.5,0.29164560459708533,,,
Foldseek__with_minor_reactions,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.32596884827910483,0.5910606060606061,0.40571256747286616,0.32167386403829296,0.20361770522384448,0.0612649683706864
Foldseek__with_minor_reactions,With_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.47779935482618463,0.8488144455102032,0.21706357037125504,0.15985868975751774,0.07914564844647054,0.001850235498175897
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9199999999999999,0.9999085086916744,0.2135289433450407,0.1788854381999832,0.0002045807847666767,0.002571463880530656
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.536975694339563,0.8838806612162159,0.21248573140886692,,,
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.3981147831881354,0.7764236793176325,0.2353873196042021,0.1392459201842372,0.0781247136530855,0.0034953404352065245
Foldseek__with_minor_reactions,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.899577755631005,0.9626694972687023,0.22280455196675053,0.06900270255801443,0.025724405692798432,0.002836281321076805
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.899692186824695,0.9929422459675191,0.5588239218409083,0.035195960490895635,0.0035272159497417503,0.010840615222363306
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7001888938482265,0.9878474052708872,0.446652997588758,0.04846496959193327,0.0033208261247627373,0.007588944338599709
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.18015873015873016,0.6986283643892339,0.3123568989329032,,,
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8773589432331701,0.9967295844362857,0.46143498457905363,0.07725802161626728,0.0035544977135664895,0.015195239187842692
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.784375,0.9381758377200172,0.4368417553166293,,,
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8649754456966733,0.9575288376475907,0.5869612511876819,0.15371332752829278,0.04413082652006237,0.08988747965659716
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.6882847762756619,0.9868935255564931,0.4459453103823451,0.17910713757766777,0.01139231997564801,0.0500432707499344
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9299062537295619,0.984421554306629,0.44021313148974334,0.12881868889195572,0.03471121369163446,0.05386129683493712
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.938888888888889,0.9997086692614215,0.4202810500196387,,,
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7583904722303965,0.9873240684350266,0.5055702760112526,0.10005252839730377,0.005303817332064659,0.04067963967451885
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.9886292051110714,0.9992379955845315,0.55888752779488,0.014695974834342228,0.001593876154020072,0.017305919778491365
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9316515785809768,0.9960986828572874,0.5732988244904942,0.014812560410905532,0.0017163014426928036,0.011137798817001365
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7364439340620236,0.9852832347012868,0.4621552265297453,0.07380509097771687,0.009052857824185174,0.021372354568182934
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.24607843137254903,0.8599896480331263,0.35234884988838405,,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8553052020167862,0.9963314807611912,0.4585711279928656,0.0926925518290969,0.004372673985708926,0.016977071268452416
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8491898148148149,0.9578216167890081,0.4418971648807921,,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.8965290526466998,0.9870111465311862,0.6012593156886881,0.14130087115851273,0.01394690093175513,0.07800148340305248
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7260179140510488,0.9856983924372024,0.44920754326978474,0.18618232260840203,0.013380990222464986,0.05657904001577684
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9046152518978605,0.9970459273313695,0.43787028177096926,0.1229742760244576,0.006382929632925626,0.057172147083824384
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O.CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.9537037037037037,0.9998106060606061,0.423554631572145,,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7637222173735603,0.9899643491210229,0.5062474263607466,0.08794982628775658,0.00413980751361533,0.040626744711345794
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C,0.9934605368904805,0.9997802573869714,0.5569991314350153,0.011519865042996458,0.00045794707280841506,0.014289373621391165
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.954895551684867,0.9969768598252575,0.577367991996352,0.02534895615519666,0.0017060679816628941,0.006544240103063081
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,With_|_CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.7444367242487511,0.990937178943156,0.473672195620234,0.07271804400927656,0.003407548983245666,0.008277070713257168
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Without_|_CC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,0.711111111111111,0.9736024844720497,0.4104326564311552,,,
