Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Blastp__with_minor_reactions,isTPS,0.9206133981911971,0.9752859031111033,0.2950308889322305,0.012953060420463578,0.008977136955151082,0.014524893259293696
Foldseek__with_minor_reactions,isTPS,0.8668812148479507,0.9442038166812117,0.32240671032468543,0.021889779443876378,0.014497726591067765,0.0040585496893974496
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,isTPS,0.9955685340285567,0.9993377367757494,0.5985878259414202,0.0021280005065825603,0.00041942060062656004,0.003084289140984557
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,isTPS,0.9969863422014204,0.9994109365061487,0.5999081402482676,0.0023020340938661736,0.0006738448539762224,0.003779030008694756
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,isTPS,0.9977376608653244,0.9997098683725092,0.6002935385495123,0.0018588516459792077,0.0002634697343868267,0.003494487744540014
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,isTPS,0.9963590063721816,0.9995076811225859,0.5985802765516868,0.0017167537350997462,0.0002934622216918107,0.0030849614731953195
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,isTPS,0.9977123607496526,0.9997007173714497,0.6000611943542931,0.0017524316596053279,0.0002587791429083425,0.002829309626029278
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,isTPS,0.9963590063721816,0.9995076811225859,0.5985802765516868,0.0017167537350997462,0.0002934622216918107,0.0030849614731953195
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions,isTPS,0.9976374392083308,0.9996910383089711,0.6005664419929371,0.0018418903026551784,0.00025648308745051195,0.004336099634679193
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,isTPS,0.9963301716426034,0.9994958945944958,0.5985671980666128,0.0017752892170752467,0.000318442605280169,0.003096956094890722
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,isTPS,0.9978143906410122,0.9997163921442189,0.6000649951275177,0.001736859125291911,0.00025679656279999156,0.0027279770275470006
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,isTPS,0.9962722464545839,0.99948089425845,0.5985697142624995,0.001843370643828692,0.00034064896076408757,0.0030935562746077015
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,isTPS,0.9976322681225941,0.9996923549595061,0.6003648846413749,0.0018363135706182176,0.0002562448742676382,0.004116154337831314
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions,isTPS,0.9956471447066146,0.9993619710275752,0.5985870110984536,0.002027362773834643,0.0003850083103981699,0.003084241798229666
PlmDomainsLogisticRegression__esm-2_with_minor_reactions,isTPS,0.9970445241078227,0.9994141090590342,0.5996303809730216,0.002231716483911541,0.0006729206036626763,0.004047860444361358
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions,isTPS,0.9977479362029372,0.9997053361541017,0.60050186425938,0.0018677993310647276,0.0002730398555076952,0.0036147730227251403
PfamSUPFAM__pfam,isTPS,0.963864794326696,0.9913205628160643,0.5933660296252613,0.011526465741940122,0.004039096421939698,0.004402416149202623
PfamSUPFAM__supfam,isTPS,0.9438221952301615,0.9936630603611682,0.5775821828282077,0.020175954778248743,0.0017432535323750418,0.005734680350195635
DomainsRandomForest__with_minor_reactions_global_tuning,isTPS,0.9768198297519721,0.9872688524749474,0.8149832936103595,0.008517101099898368,0.004682751688884925,0.03688983103272816
DomainsRandomForest__with_minor_reactions,isTPS,0.9767098892336531,0.9872536761957861,0.8275140195488273,0.008495335315290323,0.004678984930689231,0.021995317301661068
HMM__with_minor_reactions,isTPS,0.9203168295995685,0.9901303021900087,0.7962919271407414,0.02702191740283131,0.0038472455753096966,0.017175473759844788
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,isTPS,0.9755044809045852,0.9975574407937812,0.6992887798031575,0.011070729880721997,0.0017010925459965054,0.07816394349204028
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,isTPS,0.9776918660556383,0.9976524590730594,0.6391927753010136,0.012150360778251148,0.0019699903298978035,0.053188297586306846
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,isTPS,0.9724862408235266,0.9975559197578917,0.6577757203454124,0.016866273160282115,0.0018003183233319291,0.07451745176281543
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,isTPS,0.9762843860076025,0.9972114734367092,0.6851105599311185,0.011081160895585593,0.0025551406145645195,0.058276279438100285
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,isTPS,0.978791022569248,0.9976158689223137,0.6657619616334498,0.011979395709465615,0.0018453480346833783,0.04742406759311006
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,isTPS,0.9701441623661804,0.9973575781832992,0.6422000046084648,0.02137422678684027,0.0019353753781295106,0.05279124871730421
PlmDomainsMLP__ankh_base_with_minor_reactions,isTPS,0.9701860461213421,0.9980874493294698,0.5995551683913541,0.00977814109193499,0.0006058441824543551,0.0034648581130621737
PlmDomainsMLP__esm-1v_with_minor_reactions,isTPS,0.9799265293440259,0.9985184820913504,0.5984944438353696,0.008734159001687518,0.0006754762882927194,0.0030302976988447264
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,isTPS,0.9701860461213421,0.9980874493294698,0.5995551683913541,0.00977814109193499,0.0006058441824543551,0.0034648581130621737
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,isTPS,0.9806511387989156,0.9984754092252406,0.5989085688703264,0.010239005367708049,0.0007244188308084094,0.0036033034747681974
