Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
Blastp__with_minor_reactions,Archaea_|_isTPS,0.37397619047619046,0.9569979130767375,0.21195325622926195,,,
Blastp__with_minor_reactions,Fungi_|_isTPS,0.7349647953576429,0.9524197946022894,0.23575789390719387,0.04041909652481422,0.031944472732302436,0.004738218829377493
Blastp__with_minor_reactions,Bacteria_|_isTPS,0.688825883733301,0.961119647888875,0.23141440490598297,0.07810057510938724,0.023285125708531574,0.01497791979487563
Blastp__with_minor_reactions,Protists_|_isTPS,0.5944359418405553,0.9654637531952365,0.23774537106763266,,,
Blastp__with_minor_reactions,Plants_|_isTPS,0.9352985169631515,0.9822225798765626,0.27697079127061563,0.021272890175279703,0.008894323799425577,0.007775398746602381
Blastp__with_minor_reactions,Animals_|_isTPS,0.5893038430929367,0.9618947079757089,0.22370513573248924,0.13533773321981504,0.06466422473142078,0.017651250276883197
Foldseek__with_minor_reactions,Archaea_|_isTPS,0.33852769448609027,0.9237479964934875,0.21195325622926195,,,
Foldseek__with_minor_reactions,Fungi_|_isTPS,0.5336188085595481,0.8323115933210816,0.2334912787773929,0.09798051816199199,0.055863221764417006,0.0016082333802577417
Foldseek__with_minor_reactions,Bacteria_|_isTPS,0.6413649666496006,0.9341795145258331,0.22157288977247327,0.04563424635472336,0.02010839048072211,0.0025992237547324396
Foldseek__with_minor_reactions,Protists_|_isTPS,0.5437682956071359,0.9404762217098657,0.21492331997161024,,,
Foldseek__with_minor_reactions,Plants_|_isTPS,0.925256583282772,0.9790285164340847,0.29671634338565006,0.016954191779332464,0.011644861882456049,0.005162224514611902
Foldseek__with_minor_reactions,Animals_|_isTPS,0.3096725612914099,0.7855210980011708,0.21643249142046103,0.10547457454126793,0.05834646149526598,0.0021171523127531864
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Archaea_|_isTPS,0.23043011569327357,0.9898587186607672,0.3187123839592807,,,
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Fungi_|_isTPS,0.9493225462603077,0.9976861818363171,0.5523828491505323,0.02828319601071922,0.0023477560068557945,0.017588436809329137
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Bacteria_|_isTPS,0.9327604481535838,0.9982780862796228,0.5170029048667314,0.047646720986777684,0.001503402208066799,0.026215765615999646
