Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Blastp__with_minor_reactions,0.681193929315727,0.631481938913079,0.7309059197183749,0.89399800987647,0.8722509330995422,0.9157450866533979,0.25170280766374337,0.2455067181571279,0.25789889717035885
Foldseek__with_minor_reactions,0.44435385335801403,0.3988888526062219,0.48981885410980613,0.7598019645555273,0.7367608711329652,0.7828430579780894,0.24978295929228783,0.24202148687128516,0.2575444317132905
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.7828044359997341,0.75177146700486,0.8138374049946083,0.9572216444159668,0.9469065636639067,0.9675367251680269,0.4703608277403449,0.4575207690024525,0.4832008864782373
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.8051561488555002,0.773514499783318,0.8367977979276825,0.9777123038191143,0.9695540272582577,0.985870580379971,0.47849177489814826,0.4652164747703442,0.4917670750259523
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8644188863722078,0.8327048999292621,0.8961328728151534,0.9913050735869313,0.9871798539456605,0.9954302932282021,0.4882481098826083,0.475775492104589,0.5007207276606276
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.7938123270478791,0.7628868000543422,0.824737854041416,0.9716144675634303,0.9608126307128928,0.9824163044139678,0.47427509899131465,0.46159722995705665,0.48695296802557264
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.8522551113035366,0.8207247649673906,0.8837854576396826,0.9851037619576274,0.9744555414299093,0.9957519824853455,0.4865075655293827,0.4735201483883909,0.49949498267037445
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.8061593612007099,0.7861381670648038,0.8261805553366159,0.9705424406764379,0.9608356615246169,0.980249219828259,0.47007242859210924,0.4592292057593523,0.4809156514248662
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.7979819385357135,0.7674301608531873,0.8285337162182398,0.9731089164643154,0.9628103454301327,0.9834074874984982,0.47587778693861044,0.4634150539014946,0.48834051997572625
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.8532970479786267,0.822551288478534,0.8840428074787194,0.9851997183334451,0.9743162440269911,0.9960831926398991,0.48702116794607997,0.4741831314365033,0.4998592044556566
