Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Blastp__with_minor_reactions,0.9206133981911971,0.9076603377707335,0.9335664586116608,0.9752859031111033,0.9663087661559522,0.9842630400662544,0.2950308889322305,0.2805059956729368,0.3095557821915242
Foldseek__with_minor_reactions,0.8668812148479507,0.8449914354040743,0.888770994291827,0.9442038166812117,0.9297060900901439,0.9587015432722794,0.32240671032468543,0.318348160635288,0.3264652600140829
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.9955685340285567,0.9934405335219741,0.9976965345351393,0.9993377367757494,0.9989183161751228,0.999757157376376,0.5985878259414202,0.5955035368004357,0.6016721150824048
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.9969863422014204,0.9946843081075541,0.9992883762952866,0.9994109365061487,0.9987370916521724,1.0000847813601248,0.5999081402482676,0.5961291102395728,0.6036871702569623
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.9977376608653244,0.9958788092193452,0.9995965125113037,0.9997098683725092,0.9994463986381223,0.999973338106896,0.6002935385495123,0.5967990508049723,0.6037880262940523
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.9963590063721816,0.9946422526370818,0.9980757601072813,0.9995076811225859,0.9992142189008941,0.9998011433442777,0.5985802765516868,0.5954953150784914,0.6016652380248821
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.9977123607496526,0.9959599290900473,0.999464792409258,0.9997007173714497,0.9994419382285413,0.9999594965143581,0.6000611943542931,0.5972318847282638,0.6028905039803223
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.9963590063721816,0.9946422526370818,0.9980757601072813,0.9995076811225859,0.9992142189008941,0.9998011433442777,0.5985802765516868,0.5954953150784914,0.6016652380248821
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions,0.9976374392083308,0.9957955489056757,0.999479329510986,0.9996910383089711,0.9994345552215206,0.9999475213964216,0.6005664419929371,0.5962303423582579,0.6049025416276163
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.9963301716426034,0.9945548824255281,0.9981054608596787,0.9994958945944958,0.9991774519892157,0.999814337199776,0.5985671980666128,0.5954702419717222,0.6016641541615035
