Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
Blastp__with_minor_reactions,0.6528008619106297,0.6158805887468147,0.6897211350744447,0.9633530661025683,0.9446207519255414,0.9820853802795952,0.23625780885219605,0.22751557943549058,0.24500003826890152
Foldseek__with_minor_reactions,0.5487014849794262,0.5174364757379151,0.5799664942209373,0.8992108234142541,0.8799578943433741,0.918463752485134,0.23251492992614156,0.23143149925493386,0.23359836059734926
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.7722301247526798,0.747013914836909,0.7974463346684506,0.9960032406711062,0.9940573254051684,0.997949155937044,0.47303621559623776,0.46297166485272384,0.4831007663397517
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.8596905002541563,0.8145043039748225,0.90487669653349,0.9981596632306808,0.9963839793709136,0.9999353470904481,0.4937118870545594,0.4850983934828519,0.5023253806262669
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8959254916982334,0.8663588663403434,0.9254921170561234,0.998460293260318,0.9976633156704421,0.999257270850194,0.49520860090880325,0.4868579542345606,0.5035592475830459
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.8217439431713188,0.788594442286158,0.8548934440564796,0.9981716947441169,0.9973668029190234,0.9989765865692105,0.48501097375457,0.4739709575726265,0.4960509899365135
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.8547272408664427,0.8263529325937744,0.883101549139111,0.9986215019479842,0.9978475282451048,0.9993954756508635,0.49153450813485167,0.48381855552545394,0.4992504607442494
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.8217439431713188,0.788594442286158,0.8548934440564796,0.9981716947441169,0.9973668029190234,0.9989765865692105,0.48501097375457,0.4739709575726265,0.4960509899365135
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions,0.9046741499493751,0.8772507925877822,0.9320975073109681,0.998066950433922,0.9970175100140385,0.9991163908538055,0.4980798619065605,0.4886569210022016,0.5075028028109194
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.8213339280249135,0.7881477249617274,0.8545201310880995,0.9981621364034591,0.9973467866771922,0.9989774861297259,0.48475065568042924,0.4736765888332698,0.4958247225275887
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.8636161588327237,0.8393718947470289,0.8878604229184185,0.9987230802094688,0.9979480270766526,0.9994981333422849,0.49341233508909815,0.4856667835468664,0.5011578866313299
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,0.8190738893419914,0.7854275593201067,0.8527202193638762,0.9981134561187973,0.9972977449670697,0.9989291672705249,0.4838247761830636,0.4730646719560969,0.49458488041003024
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.9047179010963186,0.8772595011359683,0.9321763010566688,0.9981501731632333,0.9971678527813191,0.9991324935451474,0.4978533060795159,0.4885293022224771,0.5071773099365547
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions,0.774064783855923,0.7485776859998693,0.7995518817119768,0.9960500218702038,0.9941140319568045,0.997986011783603,0.4733135446245524,0.4631131141597506,0.4835139750893542
PlmDomainsLogisticRegression__esm-2_with_minor_reactions,0.859468193522508,0.8142517214154733,0.9046846656295428,0.9979954479479677,0.9961858309779089,0.9998050649180265,0.49396693987302714,0.4855549474385137,0.5023789323075406
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions,0.8961833233819797,0.867093579844064,0.9252730669198954,0.9983046702939821,0.9974003674219302,0.999208973166034,0.49541445611984086,0.4869221050398927,0.5039068071997891
PfamSUPFAM__pfam,0.6461920532186717,0.6055825608911352,0.6868015455462082,0.9634335870147005,0.9426780605415284,0.9841891134878726,0.5307406256265738,0.5162198386070626,0.545261412646085
PfamSUPFAM__supfam,0.6568493775242488,0.6298537163509597,0.6838450386975379,0.990283724603171,0.9842415265527,0.9963259226536421,0.5513672669590105,0.5399776509056649,0.5627568830123562
DomainsRandomForest__with_minor_reactions_global_tuning,0.6043914934357694,0.5663469221088623,0.6424360647626765,0.8019562090341701,0.7828660679425994,0.8210463501257408,0.5164034126829223,0.47652991811912915,0.5562769072467155
DomainsRandomForest__with_minor_reactions,0.6039506747612428,0.5661843102714459,0.6417170392510396,0.8019507233627649,0.7828637983478207,0.821037648377709,0.5240553991774339,0.5011441281042515,0.5469666702506164
HMM__with_minor_reactions,0.6212078066641595,0.573721075405071,0.6686945379232481,0.9847004297934204,0.97621188289181,0.9931889766950308,0.5916005494081236,0.5556993159693947,0.6275017828468524
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.7015212990713623,0.6720040637923298,0.7310385343503948,0.9898900188751877,0.9804687118843203,0.9993113258660551,0.5334508438266627,0.5126297442127893,0.5542719434405362
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.7348014631404797,0.686545207800726,0.7830577184802333,0.9901210799386245,0.9808593973702265,0.9993827625070225,0.4979897903488413,0.4846136677738781,0.5113659129238045
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.680212668415126,0.6487090589144157,0.7117162779158362,0.9909674634330327,0.9830768786682023,0.9988580481978631,0.5117924657828297,0.4897773121067867,0.5338076194588726
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.714956912475861,0.6740761350390101,0.7558376899127119,0.9891938808500415,0.9790789042185569,0.999308857481526,0.5168326578312775,0.5012986777970257,0.5323666378655293
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.7021054195052799,0.6544516489863483,0.7497591900242115,0.9894829127116748,0.9794141350738659,0.9995516903494837,0.5027222266050644,0.4879107150935215,0.5175337381166072
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.6760616075153815,0.6228847920623316,0.7292384229684313,0.9894442653417942,0.9797551330713241,0.9991333976122643,0.502213218921887,0.484207395580285,0.5202190422634889
