track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,Blastp,sesq,0,144,2002,0.9931513409961685,1.0069444444444444,1.0,1.0,2.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,mono,0,15,2002,0.9375,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,di-int,0,41,2002,0.9761904761904762,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,ggpps,0,21,2002,0.20632174438402812,0.23809523809523808,0.0,0.0,1.0,0.7619047619047619,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,sester,0,9,2002,0.9,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,di,0,56,2002,0.9824561403508771,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,gfpps,0,3,2002,0.16766417290108063,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,tri,0,8,2002,0.8888888888888888,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,tetra,0,3,2002,0.75,1.0,1.0,1.0,1.0,0.0,0.0004995004995004995,0.0,1.0,0.0004995004995004995
A,Blastp,sesq,1,49,1988,0.9800827547513851,1.0,1.0,0.0,2.0,0.02040816326530612,0.0,0.0,0.0,0.0
A,Blastp,ggpps,1,20,1988,0.30697211155378484,0.3,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0
A,Blastp,di,1,36,1988,0.9454325867369345,0.9444444444444444,1.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0
A,Blastp,tri,1,5,1988,0.8005017561465129,0.8,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
A,Blastp,sester,1,13,1988,0.9235766732018607,0.9230769230769231,1.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0
A,Blastp,fpps,1,11,1988,0.27672927372777295,0.2727272727272727,0.0,0.0,1.0,0.7272727272727273,0.0,0.0,0.0,0.0
A,Blastp,mono,1,13,1988,0.4650367124130243,0.46153846153846156,0.0,0.0,1.0,0.5384615384615384,0.0,0.0,0.0,0.0
A,Blastp,gpps,1,14,1988,0.6453546453546454,0.6428571428571429,1.0,0.0,1.0,0.35714285714285715,0.0,0.0,0.0,0.0
A,Blastp,sesq,2,101,1982,0.9625363400478311,1.0297029702970297,1.0,0.0,2.0,0.0297029702970297,0.0005045408678102926,0.0,1.0,0.0005045408678102926
A,Blastp,di,2,28,1982,0.8600090208299164,0.8928571428571429,1.0,0.0,1.0,0.10714285714285714,0.0005045408678102926,0.0,1.0,0.0005045408678102926
A,Blastp,mono,2,95,1982,0.9357542789729902,1.5157894736842106,2.0,0.0,2.0,0.06315789473684211,0.0005045408678102926,0.0,1.0,0.0005045408678102926
A,Blastp,sesq,3,113,1985,0.9743937380422634,1.008849557522124,1.0,0.0,3.0,0.008849557522123894,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,di,3,9,1985,0.8181818181818182,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,mono,3,86,1985,0.9215793248341755,0.9418604651162791,1.0,0.0,1.0,0.05813953488372093,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,ggpps,3,5,1985,0.20150753768844223,0.4,0.0,0.0,1.0,0.6,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,sester,3,6,1985,0.75,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,tri,3,6,1985,0.7916666666666666,1.1666666666666667,1.0,1.0,2.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,negative,3,3,1985,0.6,1.0,1.0,1.0,1.0,0.0,0.0010075566750629723,0.0,1.0,0.0010075566750629723
A,Blastp,sesq,4,78,1987,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Blastp,tri,4,111,1987,0.14676354142512388,0.0990990990990991,0.0,0.0,1.0,0.9009009009009009,0.0,0.0,0.0,0.0
A,Blastp,di-int,4,5,1987,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Blastp,di,4,7,1987,0.7152887233127956,0.7142857142857143,1.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.0
A,Blastp,sester,4,3,1987,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A,Blastp,ggpps,4,12,1987,0.08883608470902117,0.08333333333333333,0.0,0.0,1.0,0.9166666666666666,0.0,0.0,0.0,0.0
A,Blastp,mono,4,20,1987,0.9009965122072746,0.9,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0
A,CLEAN,sesq,0,144,2002,0.9309632428114267,0.9430236111111111,0.9976,0.0,0.9989,0.013888888888888888,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,mono,0,15,2002,0.5930724382829646,0.9249533333333334,0.9958,0.1309,0.9989,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,di-int,0,41,2002,0.8265383595541055,0.990768292682927,0.9967,0.8336,0.9989,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,ggpps,0,21,2002,0.679880066234297,0.9954190476190476,0.9979,0.9679,0.9987,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,sester,0,9,2002,0.42751661918328593,0.9829,0.9974,0.8654,0.9986,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,di,0,56,2002,0.8059145113676267,0.8675107142857144,0.9943500000000001,0.0,0.9989,0.017857142857142856,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,gfpps,0,3,2002,0.2685185185185185,0.9960666666666667,0.9971,0.9926,0.9985,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,tri,0,8,2002,0.6728238866396761,0.9690124999999999,0.9979,0.8429,0.9989,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,tetra,0,3,2002,0.19266381766381768,0.9896666666666666,0.9964,0.9758,0.9968,0.0,0.005811088911088911,0.0,0.9987,0.012487512487512488
A,CLEAN,sesq,1,49,1988,0.7493602102194236,0.7750326530612246,0.9948,0.0,0.9989,0.061224489795918366,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,ggpps,1,20,1988,0.8010641660970608,0.99779,0.9984,0.9882,0.9989,0.0,0.006458299798792757,0.0,0.9989,0.01659959758551308
A,CLEAN,di,1,36,1988,0.7662571934583153,0.8393333333333333,0.99745,0.0,0.9989,0.027777777777777776,0.006458299798792757,0.0,0.9989,0.01659959758551308
