track,model,tps_type,ap_mean,ap_std,n_folds,mean_n_pos,ap_sem
A,Blastp,di,0.8642736578824683,0.1059398726166288,5,27.2,0.0473777513396901
A,Blastp,di-int,0.9880952380952381,0.016835875742536824,2,23.0,0.011904761904761888
A,Blastp,fpps,0.27672927372777295,,1,11.0,
A,Blastp,gfpps,0.16766417290108063,,1,3.0,
A,Blastp,ggpps,0.20090936958381908,0.08914291525947621,4,14.5,0.044571457629738104
A,Blastp,gpps,0.6453546453546454,,1,14.0,
A,Blastp,mono,0.8321733656854929,0.205755971175843,5,45.8,0.09201686766513445
A,Blastp,negative,0.6,,1,3.0,
A,Blastp,sesq,0.9820328347675297,0.014905637561420729,5,97.0,0.006666003767062189
A,Blastp,sester,0.8933941683004651,0.10469210646700641,4,7.75,0.052346053233503206
A,Blastp,tetra,0.75,,1,3.0,
A,Blastp,tri,0.6569552132817981,0.3429487607762995,4,32.5,0.17147438038814974
A,CLEAN,di,0.6889678634116225,0.17536682576532692,5,27.2,0.07842642868192651
A,CLEAN,di-int,0.6880943546022276,0.19578938943219357,2,23.0,0.13844400495187784
A,CLEAN,fpps,0.5343706353064641,,1,11.0,
A,CLEAN,gfpps,0.2685185185185185,,1,3.0,
A,CLEAN,ggpps,0.6863810188582181,0.12205711561109348,4,14.5,0.06102855780554674
A,CLEAN,gpps,0.6290335190020064,,1,14.0,
A,CLEAN,mono,0.731702664918074,0.14373565121550852,5,45.8,0.06428053738161546
A,CLEAN,negative,0.4888888888888888,,1,3.0,
A,CLEAN,sesq,0.8696346913615953,0.07568282941638728,5,97.0,0.03384639026091254
A,CLEAN,sester,0.4641200061963719,0.07225864626981976,4,7.75,0.03612932313490988
A,CLEAN,tetra,0.19266381766381768,,1,3.0,
A,CLEAN,tri,0.6182015188535959,0.21725595600567987,4,32.5,0.10862797800283994
A,CLEANEc,di,0.6643375842353418,0.2071361490656868,5,27.2,0.09263410198168105
A,CLEANEc,di-int,0.6889498254382376,0.1969992078906935,2,23.0,0.1392994757878878
A,CLEANEc,fpps,0.011496007744131806,,1,11.0,
A,CLEANEc,gfpps,0.0014962593516209476,,1,3.0,
A,CLEANEc,ggpps,0.05088302170157446,0.07370135631791412,4,14.5,0.03685067815895706
A,CLEANEc,gpps,0.006993006993006993,,1,14.0,
A,CLEANEc,mono,0.713423357968699,0.1572149034078756,5,45.8,0.07030864221921464
A,CLEANEc,negative,0.4888888888888888,,1,3.0,
A,CLEANEc,sesq,0.858427680366133,0.084664603067676,5,97.0,0.03786316154947215
A,CLEANEc,sester,0.10115321830260215,0.0666652392467057,4,7.75,0.03333261962335285
A,CLEANEc,tetra,0.19266381766381768,,1,3.0,
A,CLEANEc,tri,0.6626394511249448,0.1955163962056363,4,32.5,0.09775819810281815
A,CLEANProp,di,0.46224328100067513,0.21469492470788007,5,27.2,0.0960144892142038
A,CLEANProp,di-int,0.4474576271186441,0.3499579323838507,2,23.0,0.2474576271186441
A,CLEANProp,fpps,0.28205128205128205,,1,11.0,
A,CLEANProp,gfpps,0.14285714285714285,,1,3.0,
A,CLEANProp,ggpps,0.38060897435897434,0.14341829565275882,4,14.5,0.07170914782637941
A,CLEANProp,gpps,0.3333333333333333,,1,14.0,
A,CLEANProp,mono,0.5691201153876264,0.2102596834402032,5,45.8,0.09403098901997624
A,CLEANProp,negative,0.125,,1,3.0,
A,CLEANProp,sesq,0.7779033625450833,0.11274763307291637,5,97.0,0.0504222743706489
A,CLEANProp,sester,0.25076587722398963,0.0940006286377238,4,7.75,0.0470003143188619
A,CLEANProp,tetra,0.14285714285714285,,1,3.0,
A,CLEANProp,tri,0.357830657263397,0.30737475952893273,4,32.5,0.15368737976446636
A,Foldseek,di,0.8745986590963607,0.043360436428634436,5,27.2,0.01939137667769696
A,Foldseek,di-int,0.9880952380952381,0.016835875742536824,2,23.0,0.011904761904761888
