dark_id,closest_marts_id,closest_marts_kingdom,distance
A0A1F7R6L2,marts_E01474,Fungi,7.7311558201
A0A7S1CP13,marts_E01521,Bacteria,7.6722406550999995
A0AAD7E0U8,marts_E00183,Plants,7.624248678400002
A0A0N0B3U9,marts_E01521,Bacteria,7.2988764692
A0A7K2MIX3,marts_E01521,Bacteria,7.276337786999999
A0A4Y3QZ16,marts_E01521,Bacteria,7.158916635799999
A0A7W7FTQ8,marts_E01521,Bacteria,7.098445756
S9PKN9,marts_E01521,Bacteria,7.096124248299999
L1KQT8,marts_E01521,Bacteria,7.0846144684
A0AAI8PRU9,marts_E01521,Bacteria,6.9926640043
A0A932JYY9,marts_E01521,Bacteria,6.8586373901
A0A0K8PW03,marts_E01521,Bacteria,6.777738701199999
A0AAD6GQ70,marts_E01521,Bacteria,6.7552583867
A0A3F3PY94,marts_E01521,Bacteria,6.703110111499999
A0A318YEX8,marts_E01521,Bacteria,6.696654220299999
A0A364KP06,marts_E01521,Bacteria,6.6946236413
A0A8G1RBF0,marts_E01521,Bacteria,6.6871735164
C5FNJ1,marts_E01521,Bacteria,6.6485977459
A0A8J2KYP7,marts_E01083,Protists,6.6161208381000005
A0A9P9WB49,marts_E01521,Bacteria,6.6127875854
A0A8J2KSA0,marts_E01083,Protists,6.6004246595
A0A1L9RXI0,marts_E01521,Bacteria,6.596884900799999
A0A9X0BC34,marts_E01521,Bacteria,6.577297206699999
A0A9W9FCS2,marts_E01521,Bacteria,6.566186564000001
Q2J9I8,marts_E01521,Bacteria,6.559109168299999
A0A370P9R1,marts_E01521,Bacteria,6.551566510100001
A0A0M9WKX4,marts_E01521,Bacteria,6.538352699800001
Q0CZT9,marts_E01521,Bacteria,6.535260381800001
A0A229X4H3,marts_E01521,Bacteria,6.534762602900001
A0A093ZWX0,marts_E01521,Bacteria,6.5297253518
A0A8J2KTG1,marts_E01083,Protists,6.5036300945
A0A9W9LHY4,marts_E01521,Bacteria,6.493268046200001
A0A5M3YXD3,marts_E01521,Bacteria,6.4915759281
A0A316EVJ7,marts_E01521,Bacteria,6.485760960999999
A0A8J2P3K2,marts_E01083,Protists,6.4840721185
A0A8J2KHU9,marts_E01083,Protists,6.483968884599999
A0A1V6RZU5,marts_E01521,Bacteria,6.4811777821
A0A840Q571,marts_E01521,Bacteria,6.4702972282
A0AAU1BM03,marts_E01521,Bacteria,6.4677759234
A0A401QV78,marts_E01521,Bacteria,6.4584989986
A0A6G2RRG9,marts_E01521,Bacteria,6.4535529617
A0A9W9S486,marts_E01521,Bacteria,6.4497333635
A0A7X7UL22,marts_E01521,Bacteria,6.4430391197
A0A1F5LCU4,marts_E01521,Bacteria,6.4266733949
A0A9W9WHX4,marts_E01521,Bacteria,6.413977472199999
A0A9W9INU2,marts_E01521,Bacteria,6.405103432599999
A0A0A2JTN6,marts_E01521,Bacteria,6.4024687799999995
A0A7M1TB34,marts_E01521,Bacteria,6.4011811793
A0A5N6T1W8,marts_E01521,Bacteria,6.387476571999999
A0AAD4CLB1,marts_E01521,Bacteria,6.3854221883
A0A8J2P8V8,marts_E01083,Protists,6.3769744882
A0A7C4JUD2,marts_E01521,Bacteria,6.369429452399999
A0A8J2KB18,marts_E01083,Protists,6.367250801800001
A0A2V5TZS0,marts_E01521,Bacteria,6.362122187800001
A0A2V6CF99,marts_E01521,Bacteria,6.3566002695999995
B8MD00,marts_E01521,Bacteria,6.349663665
B6QE04,marts_E01521,Bacteria,6.348776024799999
A0A1I7NGK0,marts_E01521,Bacteria,6.3471327006
A0A970Z8K5,marts_E01185,Plants,6.3462472159
A0A9N9LXD5,marts_E00183,Plants,6.337413808200001
A0A8J2KSX0,marts_E01083,Protists,6.323871132400001
