test_id,train_id,percent_identity,test_fold,cluster,test_substrate,train_substrate,is_major_substrate_used_in_metrics
Q9UVY5,S0EA85,99.8,fold_0,456,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
S0EA85,Q9UVY5,99.8,fold_4,456,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D2X8Y8,D2X8G1,99.4,fold_0,87,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D2X8G1,D2X8Y8,99.4,fold_1,87,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D2XEB3,D2X8G1,99.3,fold_0,87,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC1(C)CCCC2(C)C1CCC(=C)C2CCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076KZS5,A0A076L784,98.9,fold_0,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076L784,A0A076KZS5,98.9,fold_3,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
Q6ZJL3,A0A076L784,98.6,fold_0,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076L4M0,A0A076L784,98.4,fold_0,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076KZH5,A0A076L784,98.4,fold_0,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR6,D0VMR8,98.3,fold_4,162,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR8,D0VMR6,98.3,fold_3,162,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
Q50L36,Q9AR86,98.3,fold_0,48,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
Q9AR86,Q50L36,98.3,fold_1,48,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
Q7XAS7,Q9AR86,98.3,fold_0,48,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,False
S0ENM8,A0A1L7VZE7,98.2,fold_2,283,Negative,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR5,D0VMR8,97.6,fold_4,162,Negative,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
D0VMR7,D0VMR8,97.6,fold_4,162,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
A0A076L503,A0A076L784,97.0,fold_0,155,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,CC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])([O-])=O,True
