marts_id,uniprot,kingdom,domain_configuration
marts_E00000,W6HUT3,Plants,β + α1D
marts_E00001,,Animals,α1E
marts_E00002,X5AIS9,Plants,γ + β + α1D
marts_E00003,X5AHD9,Plants,β + α1D
marts_E00004,X5A4D6,Plants,γ + β + α1D
marts_E00005,X5A2Z7,Plants,β + α1D
marts_E00006,X4ZWN5,Plants,γ + β + α1D
marts_E00007,A0A6P6W6H5,Plants,β + α1D
marts_E00008,,Bacteria,α1G
marts_E00009,,Bacteria,α1G
marts_E00010,,Fungi,α1G
marts_E00011,,Fungi,α3B
marts_E00012,,Animals,α1F
marts_E00013,,Animals,α1F
marts_E00014,,Animals,α1F
marts_E00015,,Animals,α1F
marts_E00016,W8QMF8,Plants,β + α1D
marts_E00017,W8QEG7,Plants,β + α1D
marts_E00018,W8NXF3,Plants,β + α1D
marts_E00019,W6QAE7,Fungi,α1B + α3B
marts_E00020,W6Q4Q9,Fungi,α1G
marts_E00021,W4JX79,Fungi,α1G
marts_E00022,W0FFD7,Plants,β + α1D
marts_E00023,V6RG22,Fungi,α3B
marts_E00024,UTU07507,Plants,ε + δ2
marts_E00025,UTU07506,Plants,ε + δ2
marts_E00026,,Animals,α1E
marts_E00027,,Animals,α1E
marts_E00029,U5PZT6,Plants,β + α1D
marts_E00030,U5N1F1,Plants,β + α1D
marts_E00031,U5N0S4,Plants,β + α1D
marts_E00032,U3LW50,Plants,β + α1D
marts_E00033,U3LVZ7,Plants,β + α1D
marts_E00034,U3LVL5,Plants,β + α1D
marts_E00035,U3KYL2,Plants,β + α1D
marts_E00036,,Plants,γ + β + α1D
marts_E00037,,Plants,γ + β + α1D
marts_E00038,,Plants,γ + β + α1D
marts_E00039,,Animals,α1E
marts_E00040,,Animals,α1E
marts_E00042,T1WGD9,Plants,β + α1D
marts_E00043,T1RRS0,Plants,β + α1D
marts_E00044,T1RRR9,Plants,β + α1D
marts_E00045,T1RRJ6,Plants,β + α1D
marts_E00046,T1RRJ4,Plants,β + α1D
marts_E00047,T1RRI8,Plants,β + α1D
marts_E00048,T1RRI5,Plants,β + α1D
marts_E00049,T1RR72,Plants,β + α1D
marts_E00050,T1RR71,Plants,β + α1D
marts_E00051,,Animals,α1F
marts_E00052,,Fungi,α1G
marts_E00053,S0EGZ9,Fungi,α1B
marts_E00054,S0ECT9,Fungi,α1G
marts_E00055,S0EA85,Fungi,γ + δ1 + α1C
marts_E00056,S0E627,Fungi,α3B
marts_E00057,S0DX56,Fungi,α1G
marts_E00058,,Animals,α1E
marts_E00059,R9WSX5,Plants,β + α1D
marts_E00060,R9W377,Plants,β + α1D
marts_E00061,R9UPX9,Plants,γ + β + α1D
marts_E00062,R9UPX6,Plants,γ + β + α1D
marts_E00063,R9UM72,Plants,γ + β + α1D
marts_E00064,R9QMZ0,Plants,β + α1D
marts_E00065,R9QMY9,Plants,β + α1D
marts_E00066,R9QMY8,Plants,β + α1D
marts_E00067,R9QMW8,Plants,β + α1D
marts_E00068,R9QMW7,Plants,β + α1D
marts_E00069,R9QMW5,Plants,β + α1D
marts_E00070,R9QMW4,Plants,β + α1D
marts_E00071,R9QMW3,Plants,β + α1D
marts_E00072,R9QMW2,Plants,β + α1D
marts_E00073,R9QMW1,Plants,β + α1D
marts_E00074,R9QMR6,Plants,β + α1D
marts_E00075,R9QMR5,Plants,β + α1D
marts_E00076,R9QMR4,Plants,β + α1D
marts_E00077,R9QMR3,Plants,β + α1D
marts_E00078,R9QMR1,Plants,β + α1D
marts_E00079,R9QMR0,Plants,β + α1D
marts_E00080,R9QMQ9,Plants,β + α1D
marts_E00081,R4YZC3,Plants,β + α1D
marts_E00082,R4YXW8,Plants,β + α1D
marts_E00083,R4JQT5,Plants,β + α1D
marts_E00085,R4JQS2,Plants,β + α1D
marts_E00086,R4JND9,Plants,β + α1D
marts_E00089,R4JJJ1,Plants,β + α1D
marts_E00092,R4JGL8,Plants,β + α1D
marts_E00093,R4I3I0,Plants,β + α1D
marts_E00095,A0A7G6J4K0,Plants,β + α1D
marts_E00096,Q9ZUH4,Plants,β + α1D
marts_E00097,Q9ZU77,Plants,α3A
marts_E00098,Q9ZTN8,Plants,γ + β + α1D
marts_E00099,Q9Y753,Fungi,α4A
marts_E00101,Q9XEI0,Plants,γ + β + α1D
marts_E00102,Q9XEH9,Plants,γ + β + α1D
marts_E00103,Q9X839,Bacteria,α1G + α1G
marts_E00104,Q9WTN0,Animals,α3B
marts_E00105,Q9UWR6,Archaea,α3A
marts_E00106,Q9UVY5,Fungi,γ + δ1 + α1C
marts_E00107,Q9UR08,Fungi,α1G
marts_E00108,Q9T0K1,Plants,β + α1D
marts_E00109,Q9T0J9,Plants,β + α1D
marts_E00110,Q9SYN1,Plants,ε + δ2
marts_E00112,Q9SW77,Plants,β + α1D
marts_E00113,Q9SW76,Plants,β + α1D
marts_E00116,Q9SSU5,Plants,ε + δ2
marts_E00117,Q9SPN1,Plants,β + α1D
marts_E00118,Q9SPN0,Plants,β + α1D
marts_E00119,Q9SLW3,Plants,ε + δ2
marts_E00120,Q9SLW1,Plants,ε + δ2
marts_E00123,Q9SLG2,Plants,α3A
marts_E00124,Q9SDW9,Plants,α4A
marts_E00125,Q9SAK2,Plants,γ + β + α1D
marts_E00126,Q9P885,Fungi,α3B
marts_E00127,Q9NH03,Protists,α3B
marts_E00128,Q9MB42,Plants,ε + δ2
marts_E00129,Q9M7D1,Plants,β + α1D
marts_E00130,Q9M7D0,Plants,β + α1D
marts_E00131,Q9M7C9,Plants,β + α1D
marts_E00132,Q9LVY2,Plants,ε + δ2
marts_E00134,Q9LUE2,Plants,β + α1D
marts_E00135,Q9LUE1,Plants,α3A
marts_E00136,Q9LUE0,Plants,β + α1D
marts_E00137,Q9LUD9,Plants,α3A
