DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	FPP_p
COLOR	#0173b2
WIDTH	60
MARGIN	2
SHOW_INTERNAL	0
BAR_ZERO	0
DATASET_SCALE	0-0-#808080-1-0-8	0.406152-0.406152-#808080-1-1-8	0.812305-0.812305-#808080-1-0-8
MAXIMUM_WIDTH	60
HEIGHT_FACTOR	1
DATA
A0A975BBU3	0.0523962
A0A1L9VTD9	0.130467
A0A2A4N9P5	0.0198339
A0A4U3L267	0.0232588
A0A094CY22	0.0766318
A0A7Y5NYH3	0.0513612
A0A067KBW5	0.0209749
Q2J9I8	0.0215003
A0A135LUB0	0.0496501
A0A7K2MIX3	0.026211
A0A0E3NXY0	0.164093
A0A2S9YKT6	0.0367168
A0A1G0GBF6	0.172371
A0A0C2A690	0.0365268
A0AA38W0J5	0.0874393
A0A6G1YMD5	0.0363169
A0A1U8BA93	0.022961
A0A1H7WIY8	0.0314612
A0A563CU41	0.0207128
G3ESX7	0.0285134
A0A1M5A2J8	0.0186321
A0A5C6AYT2	0.0990801
A0A7N0VLE9	0.0208498
A0A956RW10	0.0182113
A0A0B5I449	0.0439013
A0A8T4Z0T6	0.0384574
A0A562SZW9	0.0194916
A0A255IDD0	0.0168558
A0A173MFZ3	0.0199999
A0AAJ1UU37	0.0381561
A0A954M883	0.105369
A0A2J6I229	0.0164985
A0A1M5V3T4	0.0202995
A0AA96TN97	0.0584215
A0A810NJB3	0.0487593
A0A1L9MUW0	0.106685
A0A7Y2ADC3	0.0328267
A0A819LIG3	0.0202964
A0A975PI69	0.0123253
A0A2V5MR06	0.0599967
A0A522H0Y8	0.0156269
D3H588	0.0418772
A0A6G9ZD13	0.0923548
A0A846PU88	0.0357266
A0A936Y4V4	0.025196
A0A0G0PZ33	0.0306067
A0A7K4P4R8	0.0376118
S9PKN9	0.0226735
A0A7J2Y4J3	0.0370458
A0A6A6D2H1	0.08146
A0A969XMW3	0.0112832
A0A194XD21	0.091303
A0A9D9V8W1	0.020651
A0A958VN12	0.0231764
A9B7K7	0.0512194
A0A9D4ZRB7	0.0224875
A0A1Q3RNZ9	0.0161365
A0A950ILY3	0.0204738
A0AA91GJ74	0.0231408
A0A9E3CI23	0.0421192
A0A9P5SNK6	0.209986
