DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	TPS_p_calibrated (0.95–1.00)
COLOR	#009e73
WIDTH	60
MARGIN	2
SHOW_INTERNAL	0
BAR_ZERO	0.95
DATASET_SCALE	0.95-0.95-#808080-1-0-8	0.975-0.975-#808080-1-1-8	1-1-#808080-1-0-8
MAXIMUM_WIDTH	60
HEIGHT_FACTOR	1
DATA
A0A8J8BXU5	0.996603
A0A849E6P4	0.989065
A0A1L8PP56	0.993026
H1YX77	0.988753
A0A847PSM8	0.996843
A0AAE0LGC9	0.993022
A0A7X8JFF5	0.983039
A0A972IDB8	0.990283
A0A0G2I0Z4	0.999885
A0A2M7TSD8	0.998705
B6TZQ0	0.970134
A0A0K1EM95	0.998271
A0A4Q1JN77	0.993965
A0A9P9WA47	0.981701
A0A1I1JAY4	0.986425
A0A534KA55	0.995656
A0A0G2F937	0.997688
A0A1Y1CI58	0.994592
A0A2N2CL51	0.990775
A0A564Q8U0	0.997686
A0A8H5YKE8	0.953007
A0A931BWY3	0.990372
A0A3R7G8R5	0.999009
A0A7J3XKB6	0.998945
A0A842Q332	0.98853
A0A7C4WRA2	0.996984
A0A2Z7CWA3	0.968462
A0A9P7ZFL0	0.991229
A0A151FBT9	0.993402
A0A8T4BV78	0.999762
A0A1L9NF15	0.996047
N9WMZ7	0.983884
A0A0C1UKD5	0.983546
A0A550GSS6	0.987466
A0A6N2SJE6	0.985835
A0A1F5YUD2	0.972099
Q0CZT9	0.956738
A0A5M8SQJ6	0.99735
A0A218VZC7	0.958167
I4VYH5	0.981954
A0AAW9S5E9	0.97392
A0AA40A7I0	0.995855
A0A533VI05	0.97676
A0A964YJW6	0.989736
A0A1U8K8F7	0.964182
A0A1R3RGK6	0.952832
A0A7W7CES7	0.994642
A0A534L1E5	0.992844
A0A1S1YV72	0.991046
A0A3N5SBP6	0.975599
A0A3N1HZA8	0.988231
A0A3F3PY94	0.971684
A0A1F7WVI2	0.99444
A0A522H0Y8	0.974325
A0A975PI69	0.969036
A0A6A7AQY6	0.978868
A0A318YY84	0.994836
A0A8J6ZZQ7	0.974233
A0A8J8BXY4	0.985962
A0A8T7GBV5	0.970547
S3D7Y6	0.98583
A0A2J6I229	0.973555
B6QE04	0.970013
A0AAU4S5S7	0.993452
A0A4R4RME5	0.961836
A0AAD4D271	0.953527
A0A6I0F856	0.965265
A0A6A7K4J1	0.968711
A0AAV6C737	0.991679
A0A7N0VLE9	0.970631
A0A8J8FHC4	0.991373
A0A819NSV9	0.98332
A0A197JKB3	0.998078
A0A9Q8Z963	0.980055
A0A814MQF4	0.98787
A0A9Q0GMC1	0.974482
A0A0D2EX40	0.98989
A0A7V9LBC5	0.998912
A0A1J5RY00	0.98142
U2NAG0	0.982855
A0A821N0S2	0.996208
A0A5M3YXD3	0.98657
A0A7X8R3W7	0.977885
A0A7I8DJZ2	0.991564
A0A0J9W9X8	0.995709
V6KA23	0.956215
A0A356F5F7	0.988928
A0A5K7SEJ2	0.988168
A0A9W6S0K0	0.995242
A0A2G4GKA0	0.9858
A0A2N2BN85	0.994112
A0A5B8YLB8	0.96827
A0A534LUZ5	0.99139
A0AAU8JIN3	0.977888
A0A0G0MEM1	0.966976
A0A9Q8PJV8	0.984501
A0A950ILY3	0.954925
A0A1Y2V2U5	0.999667
A0A3E3IX31	0.985661
A0A1D8TTA1	0.969179
A0A954M883	0.99985
G8TA11	0.993261
A0A2K3CQ58	0.973562
A0A4V1XW68	0.970387
A0A061AFM7	0.996229
A0A835WMA9	0.979008
A0A8H6XMQ1	0.994938
A0A5B2YZ12	0.96328
A0A7C9AK93	0.958422
A0A4V6DW27	0.99412
A0A1F9ZBH2	0.99388
A0A1Q7PF01	0.996654
A0A840Q571	0.978685
A0A7G9GKB4	0.995598
A0A956QCW0	0.991268
A0A3B9T7E3	0.989945
A0A7M1TB34	0.984641
A0A843BHE9	0.982932
A0A7W7FT56	0.978536
A0A2V8N7Z9	0.997091
A0AA96TN97	0.984736
A0AAV9N2X8	0.968139
A0A918GRN6	0.994856
A0A3D5YVG1	0.992573
A0A8K0Y4Q5	0.984946
A0A1L9S1A3	0.992095
A0A959R5N9	0.993589
A0AAV5GWM0	0.984794
A0AA39YSI9	0.995389
X5DIC3	0.985526
A0A8H6Y0L0	0.976815
A0A6J0ZJ75	0.978487
A0AAD7AEK1	0.988441
A0A291QRE4	0.990776
A0A8J2KYP7	0.998023
A0A3M7MFL5	0.981792
A0A3D6CGS2	0.987831
A0A1M4M9K3	0.987274
A0A6G1LWV5	0.995273
K4RAX2	0.990979
A0A9X3XDJ5	0.998145
A0A151F9U9	0.99476
A0A959GUC4	0.997672
A0A2V6CF99	0.999292
A0A4P5TC99	0.992829
A0A2A2HPD2	0.999765
A0A255IDD0	0.97443
A0A0N0B3U9	0.974001
A0A654LYS7	0.956004
A0A1G2FN63	0.979995
A0A495PW84	0.994736
A0AAP0N1M1	0.951295
A0A8J2KSX0	1
A0A8J2KB18	1
A0A951JRQ0	0.999181
A0A3N5S0M5	0.987267
A0AAU1BM03	0.977364
A0A0M9WKX4	0.975086
A0A7X7WLK7	0.994581
A0A8H6YYI7	0.98685
A0A563CU41	0.971289
A0AAQ3U9W3	0.975724
A0A1H8T7Q5	0.988134
A0AAJ5WVI2	0.993257
A0A1M5A2J8	0.987802
A0A959B1V6	0.998865
A0A349DJ65	0.994068
A0A970J194	0.989853
A0A835SIX7	0.982982
A0A4P9A3L2	0.958017
A0A7J4CQM8	0.960122
A0A1M6PLQ2	0.983855
A0A067KBW5	0.957195
A0A2P5EZF5	0.957707
A0A925BVS9	0.991058
Q01J93	0.984905
A0A1G5FTL3	0.975784
A0A226DI62	0.986159
A0A9N9LDX7	0.985842
A0A8S4GHC7	0.978596
A0A1Q5KBG0	0.995236
A0A5J4K583	0.978889
A0A1F7YPZ2	0.991582
A0A537GEN9	0.999931
A0A517ZF24	0.999409
A0A0B5I449	0.996734
A0A5B0GM78	0.999381
A0A9E3CI23	0.997676
A0A6A6DZV1	0.999933
A0A1L9VTD9	0.99894
A0A1H1R5Y9	0.982206
A0A2T0BAU4	0.988199
A0A1Q3H2G0	0.994752
A0A842M0P2	0.999562
A0A415I5V1	0.997044
E2SM51	0.990722
A0A7X6TXB9	0.9867
A0A7J3BDX2	0.980083
A0A836UVJ4	0.995607
A0A935E2H9	0.999825
A0A3M9ZHN5	0.951962
A0A0F7ZFG5	0.967808
A0A317WYD1	0.961724
A0A814RZ73	0.993624
A0A1G3AME6	0.992801
A0A1Q7YTG4	0.999896
A0A835XW50	0.958071
A0A401QV78	0.983643
M2TYD8	0.992152
A0A1Y2MAW7	0.989615
A0A932G5R0	0.99478
A0A4Q4V082	0.98317
A0A0D3EGH7	0.951081
A0A3E2VI69	0.986057
A0A819RVC0	0.994915
A0A7X7VG90	0.997369
A0A814XX28	0.993771
A0A2G6GBF8	0.970707
A9GGD0	0.990683
S9PKN9	0.996586
A0A1F3MAV2	0.994307
A0A850PX55	0.957286
A0A819R3I3	0.995598
A0A2K8SKL8	0.976754
A0A1Q7NKG2	0.982169
E6N4G2	0.999567
A0A7C1IJG8	0.994695
A0AAE0NUQ2	0.993846
A0A350YZ16	0.996302
A0A9W4UWX1	0.967445
A0A975K135	0.999942
A0A1D2WW63	0.999893
A0A6N9NKM4	0.958266
A0A932JYY9	0.997855
A0A8G0PW25	0.999994
A0A6G2RRG9	0.963808
A0A814GTZ8	0.997784
A0A9D4Z019	0.958205
A0A2V5TZS0	0.999328
A0A087SRI6	0.956023
A0A6N7Q681	0.984088
A0A7K4P4R8	0.975188
A0A2H1EGH4	0.98569
A0A6J1JA44	0.961623
A0A5N5Q210	0.983324
A0A8J2I6E8	0.993887
A0A1L9MSP5	0.996118
A0A2A5E6Y4	0.993918
A0AAU7DNA2	0.996577
A0A8H5D1Z9	0.984788
A0A7X8J093	0.987288
F3KKW4	0.954573
A0A932NYT8	0.966022
A0A1M5V3T4	0.980496
A0A936Y4V4	0.993915
A0A7Y1VX50	0.996022
B4FH58	0.981192
A0A2H0W7N1	0.999969
A0A8J5XTU4	0.965154
A0A5B9P8W3	0.998765
A0A3N5RJA9	0.982567
A0A0A2SRZ6	0.999888
A0A3C2DA41	0.984649
A0A8H6YUL7	0.993803
A0A814NHJ7	0.991976
A0A2L0F576	0.999828
A0A1S3TE60	0.963978
A0AAV9NWN9	0.999999
A0A7C4XEE9	0.987434
A0AAJ4TL78	0.981884
A0A0K8R002	0.9946
A0A497DAD9	0.995194
A0A1E7GF31	0.999874
A0A2R7Y1V9	0.998594
A0A3Q9FK52	0.991598
A0A397WA44	0.999733
A0A0H3DHB6	0.983572
A0A9D7TT80	0.992095
A0A2G5HRD5	0.997469
A0A9P5HP58	0.99011
A0A5B9W5B9	0.988756
A0A9W8YIN3	0.989657
A0A7C6IYL6	0.991866
A0A3B9ZM74	0.993016
A0A921UC32	0.960124
A0A2V1E5A8	0.993568
A0A8J8BWA7	0.992747
J3PEC2	0.957671
A0A8J4LK58	0.976208
G3ESX7	0.966899
A0A193BV54	0.99578
A0A9X0BC34	0.989549
A0A959K078	0.991018
A0A358S6F6	0.982423
A0A2J6IIN5	0.994854
A0AAD7DJC7	0.984261
A0A318YEX8	0.977334
A0A8H3SRK5	0.965119
A0A7J2YC83	0.981712
A0A534K398	0.994572
A0A7U9MP07	0.997423
A0A2J6IB45	0.983204
A0AAD6E5M4	0.986478
A0A059B7H8	0.953766
A0A2N9M728	0.987187
A0A958EA20	0.99869
B0U0H2	0.979156
A0AA51R556	0.977958
A0A936UWD6	0.976065
A0A6A5UCJ1	0.992413
A0A7W7FTQ8	0.983382
A0A1J0KS35	0.978418
A0A2J6SXA7	0.996796
A0AA38XE48	0.990908
L1P1Y9	0.998983
A0A815MC16	0.971557
A0A7C3R9P0	0.987959
A0A9W9WHX4	0.997368
K0IC41	0.979106
A0A7Y2ADC3	0.978919
A0A356Z320	0.972011
A0A2Z2NUP9	0.99234
A0AAE3KKH6	0.97037
A0A1V5TWY6	0.958183
A9NHI0	0.99883
A0A8J2KTG1	0.999999
A0A661YZJ7	0.98659
A0A917J202	0.986408
A0A2N2MWN8	0.995983
A0A1H7WJN1	0.995497
A0A8T4P733	0.999162
A0A450SFA8	0.99994
A0A924WK08	0.991697
Q185E6	0.992232
A0A362XLW9	0.959034
A0A8J3RR72	0.995772
A0A2A4N9P5	0.99271
A0A534LEN8	0.989158
A0A815AY39	0.957762
U2EKI4	0.971569
A0A2J6I8N4	0.96196
A0A8T3WF21	0.998406
A0A094ITP4	0.98042
A0A956KIH0	0.988592
A0A3N9PIU6	0.994306
A0A0C5BQ82	0.991288
A0A074Y838	0.992818
A0A6P5GSG1	0.969076
A0A370LK89	0.983586
F9XLZ9	0.982251
A0A8X8WPB2	0.971241
A0A942RTW0	0.983791
A0A4Y8CX15	0.99721
A0A9E6F938	0.983769
A0A8J5NGN9	0.999306
A0A9Q8QK69	0.991107
A0AAE8N6U6	0.980068
A0A0K8PW03	0.953437
A0A6P6TKP1	0.962603
A0A5S9IQ85	0.999946
A0A2N8MLB9	0.996879
A0AA49GEB9	0.997031
A0A959M8E0	0.987294
A0A7J4S7F3	0.980846
A0A957BUK3	0.994517
A0A935Z7R4	0.992102
A0A848WYT6	0.997401
A0A1Q8CXS1	0.992226
A0A9D2NEH7	0.987902
A0A2E4EFW8	0.996846
A0A370P9R1	0.977351
A0AAN6S9X9	0.999383
A0AAN6V6L2	0.982834
A0A8H5DNH1	0.999673
A0AAV9GGH1	0.99084
A0A822C085	0.998493
A0A174HC34	0.990187
A0A522REQ7	0.970964
A0A7W7C8W6	0.987109
A0AAW1YLL9	0.970115
A0A1U8BA93	0.964898
A0A481ZCB8	0.99892
A0A7K2YD55	0.992114
A0A177D3H5	0.982174
A0A9X3F2H0	0.98061
A0A1S2P6Y4	0.999547
A0A8H6Y0C5	0.999125
A0A7Y1V6Q7	0.996469
A0A833RF65	0.959488
A0A8J3L562	0.992569
A0A497AMF9	0.96008
A0A661ZUN7	0.971053
A0A524HVY6	0.996204
A0A925UNE3	0.992839
A0AAV9W0Y7	0.98384
A0A6G1L843	0.988593
A0AAE0LFW0	0.995878
K2BT53	0.99963
A0A7Y3FB38	0.999378
A0A9R1NXD4	0.968775
A0A1G9F1C6	0.963875
A0A936GUW9	0.967123
A0A355D7Y7	0.993812
A0A0G1B358	0.986504
A0A929GIQ9	0.975322
A0A919SR20	0.981883
A0A7C7AGT6	0.997046
A0AAD5IKK0	0.973323
A0A137NY97	0.99962
A0AAJ2TDP0	0.986806
A0A534MI49	0.993131
A0A959RY73	0.985859
A0A397TYN6	0.996199
A0A8J2N6H6	1
A0A5C7HTK5	0.955412
A0A4Z0Z784	0.997665
A0AAD7CWW9	0.984028
A0AAX6DJ69	0.961703
A0A2P0VN22	0.959322
A0A7J4LEE8	0.995238
A0A0G4EYS2	0.999731
A0A520KY90	0.995685
A0A9Q8P973	0.995964
M5W5C9	0.967878
A0A345JSW1	0.968839
A0A968NKQ3	0.997263
A0A8J2KSA0	1
A0A6N7XY38	0.972177
A0A7K4MXE0	0.977162
A0A0L6U2M0	0.987454
A0A6G9ZD13	0.983823
A0A7C6JYH5	0.991911
M8ALX3	0.967968
A0AA39TW75	0.996628
A0A803PE27	0.971325
A0A1W1XBH0	0.992848
A0A7J6Q3Q9	0.951054
A0A1J5I442	0.986286
A0A849Z9L2	0.992969
A0A950YB40	0.998956
A0A073CFE2	0.980555
A0A9J6NXH4	0.989586
A0A534L5D8	0.99807
A0A971DY67	0.993606
A0A1I0RY35	0.995301
M7TSX6	0.993123
A9F9T5	0.999677
A0A395HAY6	0.994355
A0A367PWW1	0.968403
A0A2C5Z2E7	0.999982
A0A942S641	0.993333
A0A5M3Z5M1	0.976041
A0A3D4N910	0.996692
S8BQM8	0.988258
A0A820C6Y4	0.996361
A0A972ZSN7	0.994627
A0A7Y9PFL2	0.972767
A0A381Z6X0	0.958983
A0A976X9Y4	0.991831
A0A1F5A4P1	0.98839
A0A6P5ECR0	0.957908
A0A0E3NXY0	0.999941
A0A953LBE7	0.994288
A0A317WJU0	0.99989
A0A1B8ETF3	0.98812
A0A2N9L3F3	0.998458
A0AAU3FN81	0.964464
A0AA88QVQ5	0.955807
A0A835XJI8	0.981136
A0A8J8BX03	0.993925
A0AAJ1UU37	0.958562
A0A1L4BQQ3	0.979876
A0A093ZWX0	0.950269
A0A969XMW3	0.99115
A0AAD6ZEU8	0.99414
A0A818CZ14	0.995303
A0AAD7E0U8	0.963087
A0A7R7ZXS0	0.984077
A0A3P6CZX7	0.953964
A0AAW0A2Q2	0.989892
A0A562SZW9	0.984183
A0A4Q1ZYL4	0.988138
A0A364KP06	0.988388
A0A9Q0HW57	0.959506
A0A151F1W1	0.998904
A0A420P5S4	0.989773
Q5NEN5	0.969384
A0A9P6JAU0	0.999657
A0A6L3ZG46	0.992105
A0A1B8GS38	0.96574
A0A1F8U9Z9	0.989022
A0A9D6Y9I8	0.963553
A0A3D3CUH9	0.997442
A0A7X1MCQ6	0.996144
A0A0G0L667	0.951132
B3T924	0.990822
A0A3B0TUD5	0.995818
A0AA43BU68	0.987761
A0A3B9UNX1	0.998674
A0A1I7NGK0	0.988991
A0A534JSV4	0.993011
A0A2V1BR27	0.995156
A0A7C4JUD2	0.99752
A0A7Y2HKG6	0.969343
A0A9W9ICF8	0.999988
H2BU13	0.973661
I1MYQ6	0.962108
A0AAN7Q789	0.954323
A0A937FFW6	0.957674
A0A2G9Z049	0.999829
A0A7C5MI77	0.987398
A0A835WYY6	0.974882
A0A534J6E9	0.999178
A0A4U0TN37	0.980507
U5F5T7	0.987827
A0A8J5FAB0	0.967032
A0A8J5WT62	0.977601
A0A7Y6MCJ7	0.997707
A0AAE1C723	0.988599
A0A1F7R6W9	0.994759
A0A815GG47	0.996206
A0AAE0I198	0.996572
A0A835X7M5	0.979834
A0A7X7UL22	0.988555
A0A9X0BD86	0.987034
A6GKF9	0.985056
A0A7C1EIM8	0.993381
A0A931KKL4	0.994797
A0A534IYU1	0.999573
A0A814WG20	0.990228
A0A970Z8K5	0.957045
A0A151EZ24	0.992664
A0A6G2KUC1	0.9847
A0A8J3HTY4	0.996401
A0A8T4Z0T6	0.99295
A0AAV9GAZ4	0.998458
A0A534IKH2	0.998191
B5H2T1	0.985321
A0A8J6R3N3	0.980138
A0A4Y3QZ16	0.971147
A0A6I9UXZ5	0.972325
A0A2Z4Y032	0.978405
A0A9X0AUX0	0.999926
A0A955LDY0	0.974698
A0A7Y5NYH3	0.998882
A0A9D4ZRB7	0.96418
A0A8K0LW47	0.987291
A0A9P9XTS2	0.994067
C5FNJ1	0.965391
A0A2N2XK15	0.999251
A0A8J7L0E5	0.976688
A0A814RZ67	0.992485
A0A9X3AL34	0.990766
V4J0X8	0.999604
A0A1J5HDL7	0.994637
A0A7J2Y4J3	0.994008
A0A7D5M834	0.98278
A0A0T5ZFU2	0.981682
A0A3G1B411	0.98436
A0A075GJ91	0.971019
A0A2V8PUX6	0.998263
A0A9P5UL05	0.95629
A8YBZ0	0.973569
A0A0G1HL56	0.998135
A0AA40BZY6	0.994767
A0A7Y7E8H2	0.952823
F7KLQ2	0.983721
A0AAP0EQI6	0.964234
A0A9D6ZFR1	0.982422
V7I827	0.987776
A0A923HZF7	0.992416
A0A846NKI6	0.99716
A0A8J2P3K2	1
A0A7X8MT01	0.994366
A0A440IVB6	0.991608
A0A2V5MR06	0.999678
A0A7Y3A7N7	0.965336
A0A6I6K500	0.985957
A0A2N2VT92	0.965147
A0A8J2JNM3	0.999997
A0A366I6D9	0.971725
A0A975JVR2	0.999787
A0A1H7WIY8	0.997133
A0A0G0PZ33	0.99021
R9C645	0.99568
A0A7Y3H443	0.983831
M7T7U2	0.973012
A0AAV9MWT3	0.994361
A0A955PXD4	0.999146
A0A097EP79	0.985499
A0A8H6LNZ7	0.999742
A0A955V3R7	0.999857
A0A8J7Y4N4	0.996706
A0A942FAJ3	0.965527
A0AAJ2ADH1	0.990419
A0A3B9I7W2	0.996147
A0AA38W0J5	0.982422
A0A5N6D605	0.985257
A0A3C0RCR6	0.9716
A0A0F4GE55	0.992596
A0A949XRL7	0.997589
A0A0F2T6J0	0.993098
A0A1F4RI67	0.990609
A0A9W9F2U8	0.991984
A0A0T0M2L0	0.956519
A0A2V8RAG5	0.989968
A0A7C1EVZ1	0.998863
A0A8S0RED7	0.974119
A0A8J7XT75	0.99996
A0A522HA83	0.980923
A0A954JLP7	0.999878
B8MD00	0.961346
A0A662I836	0.997486
A0A1G6U366	0.996623
A0A8J8BUX3	0.997632
A0A0G2FYU1	0.998336
A0A356AZW6	0.97589
A0A429I1W2	0.999867
A0A835X289	0.988339
A0A975S9G4	0.967192
N1PCM6	0.989893
A0A8J2KHU9	1
A0A972R8P6	0.996712
A0A523YJB8	0.988963
A0A946QSK5	0.975442
A0A6A6VZ19	0.964827
A0A2S9YEA9	0.996279
A0A1V4IR00	0.997969
A0A7T7KTS5	0.990433
A0A7H8R269	0.978242
A0A2V8RDL1	0.996161
A0A846PU88	0.973048
V6AU54	0.977703
A0A8J2LF38	0.999813
A0A8T7JU97	0.985714
A0A949XT10	0.977508
A0A818BBL0	0.996085
A0A976CEE7	0.994652
A0A1J7IJ21	0.99279
A0A328RF77	0.992756
A0A958ZQR5	0.994982
A0A949XP54	0.995615
A0A4T0VRS3	0.961904
A0A1A9I0W5	0.980704
A0A0G1UC63	0.998736
A0A7C3XHT6	0.996623
A0A961I768	0.989946
A0A810NJB3	0.992219
A0A9P9DM28	0.993073
A0A1D1ZWE6	0.954476
F0YXG7	0.994509
A0A0G0TQD0	0.994681
A0A017T707	0.967227
A0A537EJD0	0.999943
A0AAE0IWX7	0.991464
A0A819J962	0.964874
A0A1Q7MPH8	0.99998
A0A4R3H127	0.999065
A0A9D7TUJ2	0.994717
A0A522WYX2	0.993187
A0A6P4AXI3	0.953636
