DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	GGPP_p
COLOR	#de8f05
WIDTH	60
MARGIN	2
SHOW_INTERNAL	0
BAR_ZERO	0
DATASET_SCALE	0-0-#808080-1-0-8	0.321769-0.321769-#808080-1-1-8	0.643537-0.643537-#808080-1-0-8
MAXIMUM_WIDTH	60
HEIGHT_FACTOR	1
DATA
A0A975BBU3	0.113865
A0A1L9VTD9	0.180183
A0A2A4N9P5	0.0481002
A0A4U3L267	0.0719296
A0A094CY22	0.105192
A0A7Y5NYH3	0.125196
A0A067KBW5	0.0432583
Q2J9I8	0.0665839
A0A135LUB0	0.120781
A0A7K2MIX3	0.09442
A0A0E3NXY0	0.185486
A0A2S9YKT6	0.0981104
A0A1G0GBF6	0.160259
A0A0C2A690	0.101716
A0AA38W0J5	0.121948
A0A6G1YMD5	0.10624
A0A1U8BA93	0.0480112
A0A1H7WIY8	0.0773535
A0A563CU41	0.0474298
G3ESX7	0.069021
A0A1M5A2J8	0.0511163
A0A5C6AYT2	0.147228
A0A7N0VLE9	0.0420594
A0A956RW10	0.0498849
A0A0B5I449	0.0763431
A0A8T4Z0T6	0.0830988
A0A562SZW9	0.0592991
A0A255IDD0	0.0473639
A0A173MFZ3	0.0632985
A0AAJ1UU37	0.0945665
A0A954M883	0.174404
A0A2J6I229	0.0380538
A0A1M5V3T4	0.0577552
A0AA96TN97	0.139762
A0A810NJB3	0.122845
A0A1L9MUW0	0.230328
A0A7Y2ADC3	0.0709005
A0A819LIG3	0.045559
A0A975PI69	0.0450779
A0A2V5MR06	0.0957904
A0A522H0Y8	0.0348258
D3H588	0.101627
A0A6G9ZD13	0.222837
A0A846PU88	0.10041
A0A936Y4V4	0.0763754
A0A0G0PZ33	0.0598465
A0A7K4P4R8	0.10293
S9PKN9	0.0541291
A0A7J2Y4J3	0.088897
A0A6A6D2H1	0.118883
A0A969XMW3	0.0323139
A0A194XD21	0.114719
A0A9D9V8W1	0.0383113
A0A958VN12	0.0698911
A9B7K7	0.121788
A0A9D4ZRB7	0.0494294
A0A1Q3RNZ9	0.052262
A0A950ILY3	0.103728
A0AA91GJ74	0.0538646
A0A9E3CI23	0.123038
A0A9P5SNK6	0.275738
A0A8J6ZZQ7	0.073865
A0A0J9W9X8	0.16309
A0A481ZCB8	0.0985661
A0A0A2JTN6	0.157737
A0A950YB40	0.0654099
A0A7X9DPH4	0.111546
A0A1G0AEZ5	0.0843425
A0A4R4RME5	0.094106
Q0CJ55	0.252166
A0A4Q1JN77	0.0507214
A0A0K8R002	0.0447225
A0AAJ2ADH1	0.122881
A0A399CYD9	0.043166
B4FH58	0.0501246
A0A060HJZ5	0.100512
A0A8J2KUV5	0.616223
A0A7U9MP07	0.0648254
A0A1C6ANR9	0.0555626
A0A356AZW6	0.0542518
A0A2V1D3A7	0.334969
A0AAU8JIN3	0.0722568
A0A6A6F8F9	0.148083
A0A3E2VI69	0.0622362
A0A370P9R1	0.167058
A0A6G1L843	0.144361
A0A3R7G8R5	0.160978
A0AA49GEB9	0.0801798
A0A0G1HL56	0.0432836
A0A7M1TB34	0.0778602
A0A6P4AA35	0.0467513
A0A1F7R6L2	0.0686377
A0A366I6D9	0.0463149
A0AAQ3KH34	0.0497266
A0A2E4JTY2	0.0918288
A0A5J4K583	0.0767763
A0A928ZSM8	0.0739214
A0A2I4H8Z3	0.0412936
A0A1L9BGH8	0.180139
V9H8C0	0.0600535
