module_id,seq_id,domain_type,canonical_domain_type,kingdom,reaction_labels,has_no_reactions
marts_E01021_gamma_0,marts_E01021,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E01021_delta_0,marts_E01021,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E01021_alpha_0,marts_E01021,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00664_beta_0,marts_E00664,beta,beta,Plants,['di Class 1'],False
marts_E00664_gamma_0,marts_E00664,gamma,gamma,Plants,['di Class 1'],False
marts_E00664_alpha_0,marts_E00664,alpha,alpha,Plants,['di Class 1'],False
marts_E01134_beta_0,marts_E01134,beta,beta,Plants,['di Class 1'],False
marts_E01134_gamma_0,marts_E01134,gamma,gamma,Plants,['di Class 1'],False
marts_E01134_alpha_0,marts_E01134,alpha,alpha,Plants,['di Class 1'],False
marts_E01000_ids_0,marts_E01000,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01000_alpha_0,marts_E01000,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00655_beta_0,marts_E00655,beta,beta,Plants,"['di Class 1', 'di Class 2']",False
marts_E00655_gamma_0,marts_E00655,gamma,gamma,Plants,"['di Class 1', 'di Class 2']",False
marts_E00655_alpha_0,marts_E00655,alpha,alpha,Plants,"['di Class 1', 'di Class 2']",False
marts_E01194_ids_0,marts_E01194,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01194_alpha_0,marts_E01194,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01004_ids_0,marts_E01004,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01004_alpha_0,marts_E01004,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01117_beta_0,marts_E01117,beta,beta,Plants,['di Class 2'],False
marts_E01117_gamma_0,marts_E01117,gamma,gamma,Plants,['di Class 2'],False
marts_E01117_alpha_0,marts_E01117,alpha,alpha,Plants,['di Class 2'],False
marts_E01140_beta_0,marts_E01140,beta,beta,Plants,['di Class 2'],False
marts_E01140_gamma_0,marts_E01140,gamma,gamma,Plants,['di Class 2'],False
marts_E01140_alpha_0,marts_E01140,alpha,alpha,Plants,['di Class 2'],False
marts_E00983_ids_0,marts_E00983,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00983_alpha_0,marts_E00983,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01036_ids_0,marts_E01036,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01036_alpha_0,marts_E01036,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00632_beta_0,marts_E00632,beta,beta,Plants,['mono Class 1'],False
marts_E00632_alpha_0,marts_E00632,alpha,alpha,Plants,['mono Class 1'],False
marts_E00138_beta_0,marts_E00138,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00138_alpha_0,marts_E00138,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
