clade_id,label,representative,n,mean_intra_tm,mean_inter_tm,top_kingdom,top_kingdom_frac,top_reaction_label,top_reaction_label_frac,reaction_label_perplexity,transitional_frac,bootstrap_support,is_unassigned
dtc_1,β1,marts_E00620_beta_0,634,0.907748420433347,0.37738712604745595,Plants,1.0,sesq Class 1,0.4883720930232558,3.2839065993209355,0.22555205047318613,0.15,False
dtc_2,α1,marts_E01427_alpha_0,467,0.9299341729599742,0.5159176419063656,Plants,1.0,sesq Class 1,0.6088560885608856,2.388543562616418,0.5374732334047109,0.36,False
dtc_3,α2,marts_E01496_alpha_0,244,0.8759341934487302,0.5258079659898861,Bacteria,0.48360655737704916,sesq Class 1,0.6333333333333333,2.746629867939314,0.610655737704918,0.0,False
dtc_4,α3,marts_E00129_alpha_0,203,0.9079131638977661,0.5583315086725941,Plants,0.9359605911330049,di Class 1,0.453781512605042,3.4533380967250524,1.0,0.0,False
dtc_5,γ1,marts_E01429_gamma_0,114,0.9040773016248019,0.41661427589226274,Plants,0.8333333333333334,di Class 2,0.6137931034482759,2.7056697461342214,0.24561403508771928,0.0,False
dtc_6,α4,marts_E00019_ids_0,103,0.9447252045574978,0.4800611024074517,Fungi,0.9320388349514563,pt,0.5964912280701754,2.814320283692213,0.009708737864077669,0.76,False
dtc_8,ε1,marts_E00407_epsilon_0,96,0.9397439692319878,0.3403500009181097,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_7,δ1,marts_E00531_delta_0,96,0.9549116447069361,0.4228047989986716,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False
dtc_9,β2,marts_E00969_beta_0,74,0.905219215110185,0.4964904991704237,Plants,1.0,di Class 1,0.8227848101265823,1.7738757255515263,0.14864864864864866,0.05,False
dtc_10,α5,marts_E01211_alpha_0,64,0.8658602182270746,0.5154625151835113,Fungi,1.0,pt,0.4732824427480916,3.1628307451364046,0.0,0.99,False
dtc_11,γ2,marts_E01505_gamma_0,58,0.9323996974414072,0.4310723977847397,Plants,1.0,di Class 1,0.8983050847457628,1.4544255135546191,0.08620689655172414,0.68,False
dtc_13,α7,marts_E01429_alpha_0,53,0.8870635704704023,0.5449202468698424,Plants,1.0,di Class 2,1.0,1.0,0.11320754716981132,1.0,False
dtc_12,α6,marts_E00574_ids_0,53,0.8395313498237987,0.48536524537088166,Bacteria,0.4339622641509434,pt,0.8490566037735849,1.6180358695491748,0.41509433962264153,0.0,False
dtc_14,α8,marts_E00379_ids_0,42,0.9345153309502539,0.49750165314648553,Animals,0.3333333333333333,pt,0.6938775510204082,2.5484374174000277,0.0,1.0,False
dtc_15,α9,marts_E01306_alpha_0,30,0.8436121840993392,0.5493640133379303,Protists,0.6,sesq Class 1,0.48,3.0156890714897484,1.0,0.0,False
dtc_16,δ2,marts_E00566_delta_0,20,0.8410473679063695,0.4503890839233951,Fungi,0.55,di Class 2,0.6206896551724138,2.438479520266363,0.35,0.21,False
dtc_17,α10,marts_E00491_ids_0,20,0.9060868421079297,0.4795068445557819,Bacteria,0.45,psy,0.6,3.127783626197224,0.0,1.0,False
dtc_18,α11,marts_E00872_alpha_0,20,0.8321178946521526,0.5081995180742618,Fungi,0.75,sesq Class 1,0.7272727272727273,2.1705764088025314,0.15,0.87,False
dtc_20,α13,marts_E00881_alpha_0,17,0.9321286763023475,0.5510231729652318,Animals,1.0,sesq Class 1,0.41935483870967744,2.856713324433877,0.0,1.0,False
dtc_19,α12,marts_E00554_ids_0,17,0.9291970588143587,0.4924987943093312,Plants,0.5882352941176471,sqs,0.8888888888888888,1.4174111811317323,0.0,1.0,False
dtc_unassigned,unassigned,marts_E00254_zeta_0,2,0.9187000021338463,0.29618214435184126,,0.0,irrelevant,0.0,,0.0,,True
