DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	TPS hits @ p≥0.99
COLOR	#4bb491
WIDTH	120
MARGIN	2
SHOW_INTERNAL	0
BAR_ZERO	0
DATASET_SCALE	1-1-#808080-1-0-8	3-3-#808080-1-1-8	6-6-#808080-1-0-8
DATASET_SCALE_MAX	6
HEIGHT_FACTOR	1
DATA
GB_GCA_030638685.1	0
GB_GCA_035542115.1	0
GB_GCA_051745525.1	2
GB_GCA_964445245.1	0
GB_GCA_964604995.1	1
GB_GCA_021654395.1	0
RS_GCF_000328665.1	0
GB_GCA_964476175.1	0
GB_GCA_036566445.1	0
GB_GCA_005881615.1	0
GB_GCA_030861865.1	0
GB_GCA_016784085.1	0
GB_GCA_964590665.1	0
GB_GCA_964618655.1	0
GB_GCA_938091495.1	1
GB_GCA_016187405.1	0
GB_GCA_015522885.1	0
GB_GCA_964481185.1	0
GB_GCA_035290775.1	0
GB_GCA_027038505.1	0
GB_GCA_964394755.1	0
GB_GCA_038046645.1	0
RS_GCF_900110215.1	1
GB_GCA_023246445.1	0
GB_GCA_013425425.1	0
GB_GCA_018302685.1	0
GB_GCA_042218075.1	0
GB_GCA_013538675.1	1
GB_GCA_039630105.1	0
GB_GCA_041479325.1	0
GB_GCA_009778275.1	0
GB_GCA_964623735.1	2
RS_GCF_000337675.1	2
GB_GCA_035656275.1	0
GB_GCA_965262905.1	0
GB_GCA_002719815.1	4
GB_GCA_052361065.1	0
GB_GCA_036446855.1	0
GB_GCA_021829835.1	0
GB_GCA_964407905.1	0
GB_GCA_001560915.1	0
GB_GCA_035935095.1	0
RS_GCF_000632495.1	0
RS_GCF_030848565.1	2
GB_GCA_019323575.1	0
RS_GCF_001541925.1	1
GB_GCA_046760555.1	0
GB_GCA_902578515.1	1
GB_GCA_003056285.1	1
GB_GCA_038851755.1	0
GB_GCA_030042955.1	0
GB_GCA_013331535.1	0
GB_GCA_021852055.1	0
GB_GCA_964373255.1	0
GB_GCA_004332335.1	1
GB_GCA_963703015.1	0
GB_GCA_013330385.1	1
GB_GCA_022865445.1	0
GB_GCA_015521175.1	0
GB_GCA_964373815.1	0
GB_GCA_002501845.1	0
GB_GCA_964359835.1	0
GB_GCA_028706745.1	0
GB_GCA_964480775.1	0
GB_GCA_041499475.1	1
GB_GCA_041654895.1	0
GB_GCA_026394995.1	0
RS_GCF_002156965.1	0
RS_GCF_002214565.1	0
GB_GCA_964347835.1	0
GB_GCA_021785805.1	0
GB_GCA_964491335.1	0
GB_GCA_013287585.1	0
GB_GCA_028715885.1	0
GB_GCA_024167805.1	0
GB_GCA_045568435.1	3
GB_GCA_021811435.1	0
GB_GCA_035289205.1	0
GB_GCA_013306035.1	0
GB_GCA_013329045.1	0
RS_GCF_900316895.1	0
GB_GCA_015523325.1	0
GB_GCA_014523525.1	0
GB_GCA_036158745.1	2
GB_GCA_963780265.1	0
GB_GCA_031282985.1	0
GB_GCA_964411035.1	0
GB_GCA_001593875.1	0
GB_GCA_020855015.1	0
GB_GCA_042571125.1	0
GB_GCA_964546225.1	0
GB_GCA_037445145.1	0
RS_GCF_042665015.1	2
GB_GCA_038882975.1	0
GB_GCA_036514975.1	0
GB_GCA_046293555.1	0
GB_GCA_002725315.1	2
GB_GCA_037447235.1	0
GB_GCA_018221085.1	0
GB_GCA_035253885.1	0
RS_GCF_037914945.1	3
GB_GCA_019322455.1	0
RS_GCF_003431325.1	0
GB_GCA_034521615.1	1
GB_GCA_030699005.1	0
GB_GCA_041641615.1	3
RS_GCF_023566055.1	3
GB_GCA_046712755.1	0
GB_GCA_964447525.1	0
RS_GCF_900114455.1	3
RS_GCF_031624605.1	2
GB_GCA_035455205.1	1
GB_GCA_002504495.1	0
GB_GCA_032906765.1	0
GB_GCA_015063285.1	0
GB_GCA_028355015.1	3
GB_GCA_964491245.1	0
RS_GCF_024362405.1	1
GB_GCA_022750155.1	0
GB_GCA_026015035.1	0
GB_GCA_028343215.1	0
GB_GCA_964587975.1	0
RS_GCF_008709555.1	0
GB_GCA_025457865.1	1
GB_GCA_017608525.1	0
GB_GCA_009903405.1	0
GB_GCA_028279595.1	0
GB_GCA_963841015.1	0
GB_GCA_028700095.1	0
GB_GCA_038801785.1	0
GB_GCA_902158745.1	1
GB_GCA_964572995.1	0
GB_GCA_031277345.1	0
GB_GCA_963737635.1	0
GB_GCA_902511005.1	2
RS_GCF_002067035.1	0
GB_GCA_034660355.1	0
RS_GCF_039641995.1	0
GB_GCA_964587675.1	0
GB_GCA_030615175.1	0
GB_GCA_014729705.1	0
GB_GCA_964547875.1	0
GB_GCA_964573785.1	0
GB_GCA_018829845.1	0
GB_GCA_963719945.1	0
GB_GCA_964594395.1	0
GB_GCA_040405695.1	2
RS_GCF_002252985.1	2
GB_GCA_034659995.1	0
GB_GCA_023248455.1	0
GB_GCA_002502135.1	0
GB_GCA_036396715.1	0
GB_GCA_041652755.1	0
GB_GCA_035526585.1	0
GB_GCA_000405245.1	0
GB_GCA_023485825.1	0
GB_GCA_042217765.1	0
GB_GCA_009780575.1	0
GB_GCA_026014595.1	0
GB_GCA_018304565.1	0
GB_GCA_050591185.1	0
GB_GCA_964501255.1	0
GB_GCA_029856045.1	0
GB_GCA_002412065.1	0
GB_GCA_018302915.1	1
RS_GCF_047711275.1	0
GB_GCA_035288785.1	0
GB_GCA_965234725.1	1
GB_GCA_964343325.1	0
GB_GCA_038110525.1	3
GB_GCA_003151735.1	0
GB_GCA_030037815.1	0
GB_GCA_002687075.1	3
RS_GCF_034480035.2	0
GB_GCA_030672415.1	0
GB_GCA_035542635.1	0
GB_GCA_002497295.1	3
GB_GCA_965238275.1	0
GB_GCA_049301735.1	0
GB_GCA_964527165.1	0
GB_GCA_035529655.1	0
GB_GCA_964389535.1	0
GB_GCA_027886905.1	0
GB_GCA_021826685.1	0
GB_GCA_964589905.1	0
GB_GCA_038046665.1	0
GB_GCA_016185865.1	0
GB_GCA_031260365.1	0
GB_GCA_036815945.1	0
GB_GCA_011391755.1	0
GB_GCA_016782225.1	0
GB_GCA_016177205.1	0
GB_GCA_024399275.1	0
GB_GCA_002697705.1	2
GB_GCA_938073845.1	0
GB_GCA_049969935.1	0
GB_GCA_964551065.1	0
GB_GCA_013153845.1	0
GB_GCA_015521615.1	0
GB_GCA_038850545.1	0
GB_GCA_003023465.1	2
GB_GCA_038820005.1	0
RS_GCF_042678045.1	2
GB_GCA_037440965.1	0
GB_GCA_038046405.1	0
GB_GCA_025060975.1	0
RS_GCF_000725425.1	0
GB_GCA_028679325.1	0
GB_GCA_043797705.1	0
GB_GCA_964366275.1	0
GB_GCA_027327295.1	0
GB_GCA_002010215.1	0
RS_GCF_003675875.1	3
GB_GCA_043810635.1	1
GB_GCA_964416905.1	0
RS_GCF_000970325.1	0
GB_GCA_964418195.1	0
GB_GCA_027021195.1	0
GB_GCA_965369365.1	0
GB_GCA_026552955.1	0
GB_GCA_030641225.1	0
GB_GCA_050012255.1	0
GB_GCA_024464205.1	0
GB_GCA_019322995.1	0
RS_GCF_002208625.1	0
GB_GCA_002494495.1	0
GB_GCA_027012045.1	0
GB_GCA_963817525.1	0
RS_GCF_013391085.1	1
GB_GCA_026015185.1	1
GB_GCA_023145185.1	0
GB_GCA_027339745.1	0
RS_GCF_020217425.1	2
GB_GCA_003978865.1	0
GB_GCA_021818475.1	0
GB_GCA_035281285.1	1
RS_GCF_963665055.2	0
GB_GCA_963800495.1	0
GB_GCA_018813975.1	1
GB_GCA_009784745.1	0
GB_GCA_016180165.1	0
GB_GCA_028822845.1	3
GB_GCA_049965815.1	0
GB_GCA_042217265.1	2
GB_GCA_902514095.1	1
GB_GCA_964412405.1	0
GB_GCA_964591795.1	0
GB_GCA_032249275.1	1
GB_GCA_015661645.1	0
GB_GCA_021735165.1	0
GB_GCA_018304045.1	0
GB_GCA_964515435.1	0
GB_GCA_964467095.1	0
RS_GCF_000875775.1	1
GB_GCA_026002795.1	0
GB_GCA_016198645.1	0
GB_GCA_026396355.1	1
RS_GCF_002835825.1	0
RS_GCF_005239435.1	3
GB_GCA_001587635.1	0
GB_GCA_038045665.1	0
GB_GCA_030697615.1	0
GB_GCA_036013185.1	0
RS_GCF_001577775.1	0
GB_GCA_903825675.1	0
GB_GCA_018238625.1	0
GB_GCA_038850285.1	0
GB_GCA_964594025.1	0
RS_GCF_045539575.1	0
GB_GCA_938091805.1	0
GB_GCA_964498505.1	0
GB_GCA_964530785.1	0
GB_GCA_964465105.1	0
GB_GCA_015522845.1	0
GB_GCA_030539985.1	0
GB_GCA_048883405.1	0
GB_GCA_964476225.1	0
GB_GCA_043818435.1	0
GB_GCA_005191425.1	0
GB_GCA_040755655.1	0
GB_GCA_964228865.1	4
GB_GCA_018830245.1	0
GB_GCA_048940925.1	0
GB_GCA_018304205.1	1
GB_GCA_964480805.1	0
GB_GCA_016839985.1	0
GB_GCA_035253345.1	0
GB_GCA_003116855.1	0
GB_GCA_005878525.1	2
GB_GCA_036376955.1	0
GB_GCA_016180275.1	0
GB_GCA_029241965.1	0
GB_GCA_902563095.1	3
GB_GCA_963820555.1	0
GB_GCA_947084985.1	1
GB_GCA_043810355.1	0
GB_GCA_964628745.1	1
GB_GCA_018676855.1	0
GB_GCA_003557905.1	1
GB_GCA_026626905.1	0
GB_GCA_964449865.1	0
GB_GCA_016198705.1	1
GB_GCA_964532175.1	0
GB_GCA_050013255.1	0
GB_GCA_964373415.1	0
GB_GCA_041500785.1	0
GB_GCA_030747695.1	3
GB_GCA_003022745.1	0
GB_GCA_019323135.1	0
GB_GCA_002498125.1	0
GB_GCA_964467035.1	0
GB_GCA_027366155.1	0
GB_GCA_030648155.1	1
GB_GCA_037439925.1	0
GB_GCA_002505405.1	3
GB_GCA_964534665.1	0
GB_GCA_038881895.1	0
RS_GCF_900110535.1	2
GB_GCA_002923215.1	0
GB_GCA_043803465.1	0
GB_GCA_964604105.1	0
GB_GCA_964452625.1	0
GB_GCA_023256115.1	0
GB_GCA_903916665.1	0
GB_GCA_964417765.1	0
GB_GCA_021160575.1	0
GB_GCA_013330015.1	1
GB_GCA_964490795.1	0
RS_GCF_050433505.1	1
GB_GCA_021828155.1	0
GB_GCA_038997165.1	0
GB_GCA_046758325.1	1
GB_GCA_003601835.1	0
GB_GCA_001742785.1	0
GB_GCA_038858525.1	0
GB_GCA_023484805.1	0
GB_GCA_007571225.1	0
GB_GCA_964550525.1	0
GB_GCA_027077895.1	0
GB_GCA_964588055.1	2
GB_GCA_963676235.1	0
GB_GCA_002737445.1	0
GB_GCA_024275415.1	0
GB_GCA_026014485.1	0
GB_GCA_031200235.1	0
GB_GCA_963640995.1	0
GB_GCA_013331625.1	0
GB_GCA_049623485.1	5
GB_GCA_964428965.1	1
GB_GCA_964373935.1	0
GB_GCA_003663345.1	0
GB_GCA_003661385.1	0
GB_GCA_964655125.1	0
GB_GCA_001507955.1	0
GB_GCA_036554685.1	0
GB_GCA_037478935.1	1
GB_GCA_023269965.1	0
GB_GCA_002010285.1	0
GB_GCA_028691435.1	0
RS_GCF_000015145.1	0
GB_GCA_035271165.1	0
GB_GCA_042216015.1	0
GB_GCA_049970695.1	0
GB_GCA_030615805.1	0
GB_GCA_023379825.1	1
GB_GCA_963729805.1	0
GB_GCA_964559555.1	0
GB_GCA_964577685.1	0
GB_GCA_003559395.1	0
RS_GCF_001261915.1	2
GB_GCA_964009815.1	3
GB_GCA_038881635.1	0
GB_GCA_964576015.1	0
GB_GCA_035703205.1	0
GB_GCA_964535955.1	1
GB_GCA_029785375.1	0
GB_GCA_038869895.1	0
GB_GCA_002498985.1	3
RS_GCF_900215575.1	2
GB_GCA_964496035.1	0
GB_GCA_964368095.1	0
GB_GCA_021163065.1	0
GB_GCA_964615235.1	0
GB_GCA_964596705.1	0
GB_GCA_046497275.1	1
GB_GCA_046705445.1	0
GB_GCA_014859805.1	0
GB_GCA_016919625.1	0
GB_GCA_029987395.1	0
GB_GCA_048883105.1	0
GB_GCA_038741355.1	0
GB_GCA_016187395.1	0
GB_GCA_964414035.1	0
GB_GCA_023140175.1	0
GB_GCA_003650545.1	0
GB_GCA_027013765.1	0
GB_GCA_963804475.1	0
GB_GCA_034667685.1	0
GB_GCA_041304825.1	1
GB_GCA_021798355.1	0
GB_GCA_964355745.1	0
GB_GCA_016839265.1	0
GB_GCA_029258795.1	0
GB_GCA_030599585.1	0
GB_GCA_964618505.1	1
GB_GCA_004524545.1	0
GB_GCA_003164295.1	0
GB_GCA_963583355.1	1
GB_GCA_002710015.1	3
GB_GCA_038884815.1	0
GB_GCA_027460615.1	0
GB_GCA_022450565.1	1
GB_GCA_048938385.1	1
GB_GCA_003021085.1	2
GB_GCA_012961645.1	0
GB_GCA_038883775.1	0
GB_GCA_050011875.1	0
GB_GCA_037141515.1	0
GB_GCA_016931175.1	0
GB_GCA_964430665.1	0
GB_GCA_964388035.1	0
GB_GCA_020056045.1	1
GB_GCA_964632045.1	0
GB_GCA_021817005.1	0
GB_GCA_964353355.1	1
RS_GCF_037031225.1	2
GB_GCA_034659295.1	0
GB_GCA_003554465.1	0
GB_GCA_049966015.1	0
GB_GCA_018303945.1	0
GB_GCA_903926075.1	0
GB_GCA_045809585.1	0
GB_GCA_902514485.1	0
GB_GCA_015063235.1	0
GB_GCA_002762915.1	0
GB_GCA_964649785.1	0
GB_GCA_038890745.1	0
GB_GCA_023266895.1	0
GB_GCA_964479815.1	1
GB_GCA_026127935.1	0
GB_GCA_030016755.1	0
GB_GCA_002813105.2	0
GB_GCA_963783755.1	0
GB_GCA_964373095.1	0
GB_GCA_963807605.1	1
GB_GCA_031283015.1	0
GB_GCA_937897875.1	1
GB_GCA_038869735.1	1
GB_GCA_903828975.1	0
GB_GCA_964559185.1	1
GB_GCA_027314465.1	0
GB_GCA_026014805.1	0
GB_GCA_018304325.1	0
GB_GCA_003601785.1	0
RS_GCF_000979455.1	0
GB_GCA_902772665.1	0
GB_GCA_026396375.1	0
GB_GCA_015520895.1	0
GB_GCA_964585285.1	0
GB_GCA_003551945.1	1
GB_GCA_030748895.1	1
GB_GCA_039793505.1	0
GB_GCA_964423085.1	0
GB_GCA_017613335.1	0
GB_GCA_963705355.1	0
GB_GCA_018812465.1	0
GB_GCA_964394465.1	1
RS_GCF_002214485.1	0
GB_GCA_043809265.1	0
RS_GCF_016294135.1	0
GB_GCA_035357435.1	0
GB_GCA_016214785.1	0
GB_GCA_031254265.1	0
GB_GCA_964627915.1	1
GB_GCA_037443005.1	0
GB_GCA_042219595.1	2
GB_GCA_963786915.1	0
GB_GCA_018920365.1	0
RS_GCF_046197875.1	0
GB_GCA_024278375.1	0
GB_GCA_038870975.1	0
GB_GCA_964598265.1	0
GB_GCA_028714235.1	1
GB_GCA_013821245.1	0
GB_GCA_036677555.1	0
GB_GCA_035276505.1	0
GB_GCA_002686315.1	0
GB_GCA_036160735.1	4
GB_GCA_965238065.1	0
GB_GCA_016215315.1	0
RS_GCF_020097815.1	2
GB_GCA_964358315.1	1
GB_GCA_030651815.1	0
GB_GCA_964557215.1	0
GB_GCA_964447785.1	0
GB_GCA_009937205.1	3
GB_GCA_964426695.1	0
GB_GCA_032249055.1	0
GB_GCA_027038805.1	0
GB_GCA_964633785.1	0
GB_GCA_030037265.1	0
GB_GCA_963760925.1	0
GB_GCA_029856235.1	0
GB_GCA_009786255.1	0
GB_GCA_027078475.1	0
GB_GCA_040514375.1	0
GB_GCA_964495395.1	0
GB_GCA_964362765.1	1
GB_GCA_018812505.1	1
GB_GCA_963968165.1	3
GB_GCA_012798335.1	0
GB_GCA_003551265.1	3
GB_GCA_964540655.1	0
RS_GCF_000336755.1	2
GB_GCA_964616085.1	0
GB_GCA_038885615.1	0
GB_GCA_964498465.1	0
GB_GCA_002688875.1	0
GB_GCA_049706655.1	1
GB_GCA_021826925.1	0
GB_GCA_030624445.1	0
GB_GCA_002790315.1	0
GB_GCA_030539595.1	0
GB_GCA_002726845.1	3
GB_GCA_038889235.1	0
GB_GCA_963749465.1	0
GB_GCA_964354195.1	0
GB_GCA_041287325.1	1
GB_GCA_021802105.1	0
GB_GCA_030636025.1	0
GB_GCA_964347265.1	0
GB_GCA_963820505.1	0
GB_GCA_027328425.1	0
GB_GCA_020356005.1	2
GB_GCA_035527915.1	0
GB_GCA_031256955.1	0
GB_GCA_964013425.1	2
RS_GCF_045636185.1	0
GB_GCA_944322255.1	0
RS_GCF_022014235.1	1
GB_GCA_943788655.1	3
GB_GCA_964015215.1	2
