DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Phylo distance to closest MARTS-DB
COLOR	#4d4d4d
WIDTH	60
MARGIN	2
SHOW_INTERNAL	0
BAR_ZERO	0
DATASET_SCALE	0-0-#808080-1-0-8	4-4-#808080-1-1-8	8-8-#808080-1-0-8
MAXIMUM_WIDTH	60
HEIGHT_FACTOR	1
DATA
A0A975BBU3	5.93459
A0A1L9VTD9	1.62433
A0A2A4N9P5	5.25539
A0A4U3L267	5.34455
A0A094CY22	5.27388
A0A7Y5NYH3	5.56742
A0A067KBW5	4.7418
Q2J9I8	6.55911
A0A135LUB0	3.35266
A0A7K2MIX3	7.27634
A0A0E3NXY0	5.23375
A0A2S9YKT6	4.86292
A0A1G0GBF6	4.22236
A0A0C2A690	4.89372
A0AA38W0J5	4.81413
A0A6G1YMD5	3.64561
A0A1U8BA93	4.48756
A0A1H7WIY8	1.98749
A0A563CU41	2.42064
G3ESX7	6.28765
A0A1M5A2J8	4.82918
A0A5C6AYT2	4.80087
A0A7N0VLE9	4.87094
A0A956RW10	4.25423
A0A0B5I449	5.80183
A0A8T4Z0T6	5.71264
A0A562SZW9	5.59602
A0A255IDD0	5.05362
A0A173MFZ3	5.71497
A0AAJ1UU37	4.0224
A0A954M883	5.143
A0A2J6I229	5.49416
A0A1M5V3T4	4.79035
A0AA96TN97	4.74142
A0A810NJB3	4.02113
A0A1L9MUW0	3.51271
A0A7Y2ADC3	5.95486
A0A819LIG3	5.12921
A0A975PI69	4.22699
A0A2V5MR06	6.01773
A0A522H0Y8	4.4898
D3H588	5.4507
A0A6G9ZD13	3.54291
A0A846PU88	3.49209
A0A936Y4V4	5.43901
A0A0G0PZ33	5.04834
A0A7K4P4R8	3.45461
S9PKN9	7.09612
A0A7J2Y4J3	5.27526
A0A6A6D2H1	5.09393
A0A969XMW3	4.26454
A0A194XD21	4.83063
A0A9D9V8W1	4.89533
A0A958VN12	5.67267
A9B7K7	4.96541
A0A9D4ZRB7	4.58844
A0A1Q3RNZ9	5.31128
A0A950ILY3	2.10954
A0AA91GJ74	5.28978
A0A9E3CI23	3.76067
A0A9P5SNK6	3.34097
A0A8J6ZZQ7	4.93508
A0A0J9W9X8	5.07569
A0A481ZCB8	4.27452
A0A0A2JTN6	6.40247
A0A950YB40	5.09694
A0A7X9DPH4	4.01924
A0A1G0AEZ5	5.12545
A0A4R4RME5	2.55729
Q0CJ55	3.86017
A0A4Q1JN77	5.17379
A0A0K8R002	4.89406
A0AAJ2ADH1	3.72172
A0A399CYD9	4.89746
B4FH58	4.96465
A0A060HJZ5	3.47998
A0A8J2KUV5	6.05483
A0A7U9MP07	4.94885
A0A1C6ANR9	4.56804
A0A356AZW6	5.20396
A0A2V1D3A7	2.34436
A0AAU8JIN3	6.17274
A0A6A6F8F9	4.98008
A0A3E2VI69	4.70179
A0A370P9R1	6.55157
A0A6G1L843	5.14866
A0A3R7G8R5	5.59915
A0AA49GEB9	4.15335
A0A0G1HL56	2.76094
A0A7M1TB34	6.40118
A0A6P4AA35	4.74717
A0A1F7R6L2	7.73116
A0A366I6D9	5.15472
A0AAQ3KH34	4.77329
A0A2E4JTY2	3.64566
A0A5J4K583	2.41524
A0A928ZSM8	6.15741
A0A2I4H8Z3	4.68053
A0A1L9BGH8	5.40347
V9H8C0	4.75126
A0A5B0GM78	3.16845
A0AAE0IWX7	4.80788
A0A8J6R3N3	5.71577
A0A1S2P6Y4	3.42841
A0A2Z7CWA3	5.0115
A0A5P8WIN9	5.65327
A0A512RJ56	5.60752
A0A921UC32	4.94719
A0A9P5HP58	5.07215
F0ZD71	4.26132
A0A1L8PP56	5.29605
A0A356Z320	5.50479
A0A388MAX7	4.4369
A0A1L4BQQ3	4.75563
A0AAJ0HKL4	4.77022
I3D0E6	3.47823
A0A8J3L3L5	3.99929
A0A8B8NZF9	4.84153
A0A7J4LEE8	6.00595
A0A4U7AS88	4.92071
K4RAX2	4.29237
A0A4V1XW68	5.22824
A0RY54	4.0058
A0A8J8BXY4	5.8677
A0A177D3H5	5.05618
A0A836BK38	3.4274
A0A924WK08	3.93613
A0A1F9ZBH2	5.24517
A0A1S3BX98	4.82308
A0A968NKQ3	4.01928
A0A6A6V2U8	2.45942
A0A017T707	5.89037
A0A3D4N910	4.8461
A0A7C4WRA2	5.84728
A0AAE0I198	4.77658
A0AAN8MK86	5.06703
A0A1F7IFX6	5.75283
A0A1G3AME6	2.81498
A0A367PWW1	5.63447
A0A1I7M278	5.10567
A0A328RF77	4.03244
A0A836UVJ4	3.4789
