clade_id,label,representative,n,mean_intra_tm,mean_inter_tm,top_kingdom,top_kingdom_frac,top_reaction_label,top_reaction_label_frac,reaction_label_perplexity,transitional_frac,bootstrap_support,is_unassigned,final_label
dtc_1,α1,marts_E01427_alpha_0,713,0.8988411297975035,0.4630711222936559,Plants,0.9957924263674616,sesq Class 1,0.4448529411764705,3.589881282649632,0.0084151472650771,0.89,False,alpha1D
dtc_2,β1,marts_E00620_beta_0,708,0.8959173582693967,0.3583921307189762,Plants,1.0,sesq Class 1,0.445679012345679,3.5798194880808185,0.0,1.0,False,beta
dtc_3,α2,marts_E01496_alpha_0,265,0.8748866523394443,0.5223171228586196,Bacteria,0.4452830188679245,sesq Class 1,0.6354515050167224,2.568679039291137,0.1132075471698113,0.98,False,alpha1F
dtc_4,γ1,marts_E00641_gamma_0,172,0.8797966952058786,0.4071988653022201,Plants,0.8895348837209303,di Class 1,0.4558823529411764,2.8588026469575984,0.0,1.0,False,gamma
dtc_5,α3,marts_E00019_ids_0,145,0.8888156704922008,0.4766658829226033,Fungi,0.7379310344827587,pt,0.6181818181818182,3.1368254817556127,0.2206896551724138,0.76,False,alpha3B
dtc_6,δ1,marts_E00531_delta_0,96,0.954911644706936,0.4228047989986716,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False,delta2
dtc_7,ε1,marts_E00407_epsilon_0,96,0.9397439692319878,0.3403500009181097,Plants,0.8229166666666666,tri Class 2,0.96875,1.172281518974869,0.0,1.0,False,epsilon
dtc_8,α4,marts_E01211_alpha_0,64,0.8658602182270746,0.5154625151835113,Fungi,1.0,pt,0.4732824427480916,3.1628307451364046,0.0,0.99,False,alpha1B
dtc_9,α5,marts_E00574_ids_0,46,0.9027634782203308,0.4921882265728975,Bacteria,0.391304347826087,pt,0.9782608695652174,1.110413467384501,0.0652173913043478,0.76,False,alpha3A
dtc_11,α6,marts_E00491_ids_0,20,0.9060868421079296,0.4795068445557819,Bacteria,0.45,psy,0.6,3.127783626197224,0.0,1.0,False,alpha4B
dtc_10,δ2,marts_E00566_delta_0,20,0.8410473679063695,0.4503890839233951,Fungi,0.55,di Class 2,0.6206896551724138,2.438479520266363,0.35,0.21,False,delta1
dtc_13,α8,marts_E00881_alpha_0,17,0.9321286763023476,0.5510231729652318,Animals,1.0,sesq Class 1,0.4193548387096774,2.856713324433877,0.0,1.0,False,alpha1E
dtc_14,α9,marts_E00858_alpha_0,17,0.8833352938013644,0.5089285330901008,Fungi,0.8823529411764706,sesq Class 1,0.8421052631578947,1.5467598527614164,0.0,1.0,False,alpha1G
dtc_12,α7,marts_E00554_ids_0,17,0.9291970588143588,0.4924987943093312,Plants,0.5882352941176471,sqs,0.8888888888888888,1.4174111811317325,0.0,1.0,False,alpha4A
dtc_15,α10,marts_E00106_alpha_0,10,0.8787088892074988,0.5221532270725374,Fungi,0.9,di Class 1,0.5294117647058824,1.996540789103284,0.1,0.9,False,alpha1C
dtc_16,α11,marts_E01534_ids_0,7,0.935795238152856,0.4467498701078973,Bacteria,0.7142857142857143,di Class 1,1.0,1.0,0.0,1.0,False,alpha2A
dtc_17,α12,marts_E00014_alpha_0,6,0.9546266668165724,0.5483704530144795,Animals,1.0,mono Class 1,0.3846153846153846,3.3881436186104086,0.0,1.0,False,alpha1A
dtc_19,α14,marts_E01327_ids_0,3,0.9623666666448116,0.5210398927605552,Bacteria,1.0,sesquar Class 1,0.375,3.746748297500993,0.0,1.0,False,alpha1H
dtc_18,α13,marts_E01310_ids_0,3,0.9949333332479,0.5065856434884343,Bacteria,1.0,di Class 1,1.0,1.0,0.0,1.0,False,alpha1I
dtc_unassigned,unassigned,marts_E00254_zeta_0,2,0.9187000021338464,0.2961821443518412,,0.0,irrelevant,0.0,,0.0,,True,zeta
