negative_id,tps_id,percent_identity
A2PZA5,A2PZA54,100.0
Q6JD69,Q6JD70,98.5
A0A5P8DI15,G3E4M6,98.4
A0A5P8DI07,A0A1W6QDI7,98.3
Q6JD72,Q6JD70,98.1
Q9LRR0,Q9LUD9,93.9
Q29VN1,Q29VN2,92.5
G8H5N3,G5CV52,80.5
A0A5P8DHZ6,H6VLG0,79.6
P49293,P37272,75.4
A0A3G1QTT3,A0A1Z3GCD1,74.2
B9T536,Q6PWU2,68.4
P22872,D5KXJ0,64.5
B9RHP7,A0A7G5KLV3,63.8
B9RXW4,A0A7S5L3H2,59.8
A0A075F9Z3,G3E4M6,59.6
B9RI00,A0A076GAR6,58.8
B9T825,Q50L36,57.0
A0A2K9RFZ8,A0A2K9RFZ7,56.0
B9RHX7,P0CV94,55.9
B9SBV6,A0A482AJV9,55.6
A0A0H5BB17,A0A0H5BB10,55.5
A0A348B785,W4JX79,53.5
B9S1N2,A0A076GAR6,53.4
B6SCF3,A0A7L7SES4,53.2
B9SBU9,A0A076GAR6,51.4
D8S255,D8RNZ9,45.0
A0A348B794,A0A348B793,44.5
O34707,M5AW86,41.2
