test_id,train_id,percent_identity,test_fold,test_cluster,train_cluster,same_cluster
Q9UVY5,S0EA85,99.8,fold_0,456,456,True
S0EA85,Q9UVY5,99.8,fold_4,456,456,True
D2X8G0,D2X8G2,99.7,fold_4,118,119,False
D2X8G2,D2X8G0,99.7,fold_1,119,118,False
D2X8Y8,D2X8G1,99.4,fold_0,87,87,True
D2X8G1,D2X8Y8,99.4,fold_1,87,87,True
D2XEB3,D2X8G1,99.3,fold_0,87,87,True
A0A076KZS5,A0A076L784,98.9,fold_0,155,155,True
A0A076L784,A0A076KZS5,98.9,fold_3,155,155,True
Q6TBY0,Q67DX4,98.8,fold_2,66,67,False
Q67DX4,Q6TBY0,98.8,fold_0,67,66,False
A0A1L7VZE7,A0A1L7U8F2,98.7,fold_0,283,282,False
Q6SA60,Q67DX4,98.7,fold_2,66,67,False
A0A1L7U8F2,A0A1L7VZE7,98.7,fold_2,282,283,False
O07854,A9JQL9,98.6,fold_2,NOT_FOUND,NOT_FOUND,True
A9JQL9,O07854,98.6,fold_4,NOT_FOUND,NOT_FOUND,True
Q6ZJL3,A0A076L784,98.6,fold_0,155,155,True
Q93YA3,Q67DX4,98.6,fold_2,66,67,False
Q2FV59,A9JQL9,98.6,fold_2,NOT_FOUND,NOT_FOUND,True
A0A076L4M0,A0A076L784,98.4,fold_0,155,155,True
A0A076KZH5,A0A076L784,98.4,fold_0,155,155,True
D0VMR6,D0VMR8,98.3,fold_4,162,162,True
J9R388,J9QS23,98.3,fold_3,117,116,False
D0VMR8,D0VMR6,98.3,fold_3,162,162,True
Q50L36,Q9AR86,98.3,fold_0,48,48,True
J9QS23,J9R388,98.3,fold_2,116,117,False
Q9AR86,Q50L36,98.3,fold_1,48,48,True
Q7XAS7,Q9AR86,98.3,fold_0,48,48,True
S0ENM8,A0A1L7VZE7,98.2,fold_2,283,283,True
Q41594,Q93YA3,98.2,fold_0,67,66,False
A0A023J8Z5,D0VMR8,98.1,fold_4,161,162,False
Q9FT37,Q6TBY0,98.1,fold_0,67,66,False
D0VMR5,D0VMR8,97.6,fold_4,162,162,True
D0VMR7,D0VMR8,97.6,fold_4,162,162,True
A0A076L503,A0A076L784,97.0,fold_0,155,155,True
